RANK,NAME,IMP_ATT,RUS_ATT,RUS_YDS,RUS_Y/A,LG,EXPLO,RUS_TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,RZ TGT,RUS_YACON,SNAPS,GRZ_ATT,FPTS,FPTS/G
1.0,Alvin Kamara,294.0,187.0,932.0,5.0,49.0,13.0,16.0,83.0,107.0,756.0,9.1,5.0,0.0,15.0,526.0,2.8,406.0,2.2,19.0,14.0,196.0,658.0,15.0,377.8,25.2
2.0,Dalvin Cook,366.0,312.0,1557.0,5.0,70.0,12.0,16.0,44.0,54.0,361.0,8.2,1.0,3.0,14.0,800.0,2.6,757.0,2.4,33.0,2.0,115.0,669.0,26.0,337.8,24.1
3.0,Derrick Henry,409.0,378.0,2027.0,5.4,94.0,30.0,17.0,19.0,31.0,114.0,6.0,0.0,2.0,16.0,945.0,2.5,1082.0,2.9,34.0,1.0,49.0,705.0,17.0,333.1,20.8
4.0,David Montgomery,315.0,247.0,1070.0,4.3,80.0,12.0,8.0,54.0,68.0,438.0,8.1,2.0,1.0,15.0,476.0,1.9,594.0,2.4,29.0,10.0,136.0,707.0,13.0,264.8,17.7
5.0,Aaron Jones,264.0,201.0,1104.0,5.5,77.0,17.0,9.0,47.0,63.0,355.0,7.6,2.0,0.0,14.0,510.0,2.5,594.0,3.0,14.0,10.0,86.0,539.0,9.0,258.9,18.5
6.0,Jonathan Taylor,272.0,232.0,1169.0,5.0,62.0,15.0,11.0,36.0,40.0,299.0,8.3,1.0,1.0,15.0,689.0,3.0,480.0,2.1,15.0,4.0,80.0,511.0,15.0,252.8,16.9
7.0,James Robinson,300.0,240.0,1070.0,4.5,47.0,8.0,7.0,49.0,60.0,344.0,7.0,3.0,1.0,14.0,454.0,1.9,616.0,2.6,16.0,5.0,135.0,617.0,6.0,250.4,17.9
8.0,Josh Jacobs,318.0,273.0,1065.0,3.9,28.0,3.0,12.0,33.0,45.0,238.0,7.2,0.0,2.0,15.0,525.0,1.9,540.0,2.0,20.0,3.0,102.0,619.0,20.0,231.3,15.4
9.0,Ezekiel Elliott,315.0,244.0,979.0,4.0,31.0,4.0,6.0,52.0,71.0,338.0,6.5,2.0,5.0,15.0,457.0,1.9,522.0,2.1,15.0,7.0,102.0,777.0,25.0,223.7,14.9
10.0,Kareem Hunt,249.0,198.0,841.0,4.2,33.0,4.0,6.0,38.0,51.0,304.0,8.0,5.0,0.0,16.0,374.0,1.9,467.0,2.4,18.0,9.0,96.0,549.0,13.0,218.5,13.7
11.0,Nick Chubb,208.0,190.0,1067.0,5.6,59.0,20.0,12.0,16.0,18.0,150.0,9.4,0.0,1.0,12.0,555.0,2.9,512.0,2.7,21.0,2.0,52.0,410.0,11.0,207.7,17.3
12.0,Mike Davis,235.0,165.0,642.0,3.9,25.0,2.0,6.0,59.0,70.0,373.0,6.3,2.0,1.0,15.0,243.0,1.5,399.0,2.4,21.0,11.0,154.0,580.0,11.0,206.5,13.8
13.0,Antonio Gibson,214.0,170.0,795.0,4.7,40.0,8.0,11.0,36.0,44.0,247.0,6.9,0.0,2.0,14.0,444.0,2.6,351.0,2.1,20.0,3.0,101.0,405.0,12.0,202.2,14.4
14.0,Melvin Gordon III,259.0,215.0,986.0,4.6,65.0,10.0,9.0,32.0,44.0,158.0,4.9,1.0,4.0,15.0,529.0,2.5,457.0,2.1,16.0,4.0,37.0,627.0,8.0,198.4,13.2
15.0,Nyheim Hines,165.0,89.0,380.0,4.3,31.0,4.0,3.0,63.0,76.0,482.0,7.7,4.0,0.0,16.0,224.0,2.5,156.0,1.8,8.0,12.0,97.0,395.0,7.0,193.2,12.1
16.0,Kenyan Drake,270.0,239.0,955.0,4.0,69.0,10.0,10.0,25.0,31.0,137.0,5.5,0.0,1.0,15.0,549.0,2.3,406.0,1.7,16.0,2.0,32.0,615.0,22.0,192.2,12.8
17.0,J.D. McKissic,195.0,85.0,365.0,4.3,17.0,0.0,1.0,80.0,110.0,589.0,7.4,2.0,1.0,16.0,178.0,2.1,187.0,2.2,9.0,8.0,104.0,641.0,3.0,191.4,12.0
18.0,D'Andre Swift,171.0,114.0,521.0,4.6,54.0,4.0,8.0,46.0,57.0,357.0,7.8,2.0,2.0,13.0,330.0,2.9,191.0,1.7,9.0,9.0,61.0,386.0,9.0,189.8,14.6
19.0,Chris Carson,187.0,141.0,681.0,4.8,29.0,3.0,5.0,37.0,46.0,287.0,7.8,4.0,0.0,12.0,373.0,2.6,308.0,2.2,10.0,5.0,61.0,404.0,8.0,187.8,15.7
20.0,Ronald Jones II,234.0,192.0,978.0,5.1,98.0,11.0,7.0,28.0,42.0,165.0,5.9,1.0,2.0,14.0,394.0,2.1,584.0,3.0,10.0,4.0,26.0,450.0,9.0,186.3,13.3
21.0,David Johnson,193.0,147.0,691.0,4.7,48.0,7.0,6.0,33.0,46.0,314.0,9.5,2.0,1.0,12.0,402.0,2.7,289.0,2.0,7.0,11.0,72.0,550.0,11.0,179.5,15.0
22.0,Clyde Edwards-Helaire,235.0,181.0,803.0,4.4,31.0,4.0,4.0,36.0,54.0,297.0,8.3,1.0,0.0,13.0,412.0,2.3,391.0,2.2,15.0,6.0,77.0,501.0,9.0,176.0,13.5
23.0,Miles Sanders,216.0,164.0,867.0,5.3,82.0,13.0,6.0,28.0,52.0,197.0,7.0,0.0,2.0,12.0,497.0,3.0,370.0,2.3,9.0,1.0,42.0,602.0,10.0,170.4,14.2
24.0,J.K. Dobbins,158.0,134.0,805.0,6.0,72.0,15.0,9.0,18.0,24.0,120.0,6.7,0.0,0.0,15.0,410.0,3.1,395.0,2.9,7.0,1.0,35.0,457.0,8.0,168.5,11.2
25.0,Chase Edmonds,164.0,97.0,448.0,4.6,32.0,5.0,1.0,53.0,67.0,402.0,7.6,4.0,0.0,16.0,261.0,2.7,187.0,1.9,10.0,11.0,83.0,524.0,1.0,168.0,10.5
