RANK,NAME,IMP_ATT,RUS_ATT,RUS_YDS,RUS_Y/A,LG,EXPLO,RUS_TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,RZ TGT,RUS_YACON,SNAPS,GRZ_ATT,FPTS,FPTS/G
1.0,Austin Ekeler,331.0,204.0,915.0,4.5,72.0,10.0,13.0,107.0,127.0,722.0,6.7,5.0,3.0,17.0,518.0,2.5,397.0,1.9,5.0,23.0,180.0,734.0,10.0,372.7,21.9
2.0,Christian McCaffrey,352.0,244.0,1139.0,4.7,49.0,14.0,8.0,85.0,108.0,741.0,8.7,5.0,0.0,17.0,678.0,2.8,461.0,1.9,10.0,9.0,221.0,777.0,11.0,356.4,21.0
3.0,Josh Jacobs,404.0,340.0,1653.0,4.9,86.0,14.0,12.0,53.0,64.0,400.0,7.5,0.0,1.0,17.0,825.0,2.4,828.0,2.4,31.0,4.0,61.0,821.0,11.0,328.3,19.3
4.0,Derrick Henry,390.0,349.0,1538.0,4.4,56.0,20.0,13.0,33.0,41.0,398.0,12.1,0.0,3.0,16.0,735.0,2.1,803.0,2.3,35.0,6.0,46.0,648.0,15.0,302.8,18.9
5.0,Saquon Barkley,371.0,295.0,1312.0,4.4,68.0,16.0,10.0,57.0,76.0,338.0,5.9,0.0,0.0,16.0,748.0,2.5,564.0,1.9,12.0,2.0,86.0,856.0,15.0,284.0,17.8
6.0,Nick Chubb,339.0,302.0,1525.0,5.0,41.0,18.0,12.0,27.0,37.0,239.0,8.9,1.0,1.0,17.0,823.0,2.7,702.0,2.3,28.0,1.0,55.0,660.0,12.0,281.4,16.6
7.0,Rhamondre Stevenson,298.0,210.0,1040.0,5.0,49.0,12.0,5.0,69.0,88.0,421.0,6.1,1.0,1.0,17.0,599.0,2.9,441.0,2.1,24.0,6.0,115.0,699.0,12.0,249.1,14.7
8.0,Tony Pollard,248.0,193.0,1007.0,5.2,57.0,18.0,9.0,39.0,55.0,371.0,9.5,3.0,0.0,16.0,504.0,2.6,503.0,2.6,11.0,8.0,39.0,569.0,7.0,248.8,15.6
9.0,Aaron Jones,285.0,213.0,1121.0,5.3,36.0,10.0,2.0,59.0,72.0,395.0,6.7,5.0,3.0,17.0,642.0,3.0,479.0,2.2,13.0,9.0,71.0,630.0,2.0,248.6,14.6
10.0,Joe Mixon,287.0,212.0,826.0,3.9,40.0,7.0,7.0,60.0,75.0,441.0,7.4,2.0,0.0,15.0,515.0,2.4,311.0,1.5,8.0,13.0,114.0,624.0,16.0,240.7,16.0
11.0,Dalvin Cook,320.0,264.0,1173.0,4.4,81.0,14.0,8.0,39.0,56.0,295.0,7.6,2.0,4.0,17.0,680.0,2.6,486.0,1.8,12.0,10.0,60.0,841.0,16.0,237.8,14.0
12.0,Leonard Fournette,272.0,189.0,668.0,3.5,23.0,1.0,3.0,73.0,83.0,523.0,7.2,3.0,0.0,16.0,382.0,2.0,286.0,1.5,4.0,9.0,198.0,689.0,11.0,227.1,14.2
13.0,Jamaal Williams,278.0,262.0,1066.0,4.1,58.0,10.0,17.0,12.0,16.0,73.0,6.1,0.0,2.0,17.0,648.0,2.5,418.0,1.6,11.0,2.0,25.0,459.0,29.0,225.9,13.3
14.0,Najee Harris,325.0,272.0,1034.0,3.8,36.0,2.0,7.0,41.0,53.0,229.0,5.6,3.0,2.0,17.0,575.0,2.1,459.0,1.7,21.0,7.0,61.0,763.0,9.0,223.5,13.1
15.0,Miles Sanders,285.0,259.0,1269.0,4.9,40.0,12.0,11.0,20.0,26.0,78.0,3.9,0.0,2.0,17.0,837.0,3.2,432.0,1.7,13.0,0.0,17.0,673.0,13.0,216.7,12.7
16.0,Alvin Kamara,300.0,223.0,897.0,4.0,27.0,3.0,2.0,57.0,77.0,490.0,8.6,2.0,4.0,15.0,448.0,2.0,449.0,2.0,7.0,11.0,123.0,642.0,4.0,211.7,14.1
17.0,Travis Etienne Jr.,265.0,220.0,1125.0,5.1,62.0,18.0,5.0,35.0,45.0,316.0,9.0,0.0,3.0,17.0,729.0,3.3,396.0,1.8,14.0,5.0,30.0,669.0,13.0,205.1,12.1
18.0,Kenneth Walker III,263.0,228.0,1050.0,4.6,74.0,21.0,9.0,27.0,35.0,165.0,6.1,0.0,0.0,15.0,620.0,2.7,430.0,1.9,12.0,1.0,32.0,575.0,6.0,202.5,13.5
19.0,James Conner,241.0,183.0,782.0,4.3,23.0,3.0,7.0,46.0,58.0,300.0,6.5,1.0,1.0,13.0,442.0,2.4,340.0,1.9,5.0,4.0,83.0,663.0,8.0,200.2,15.4
20.0,Jerick McKinnon,143.0,72.0,291.0,4.0,30.0,3.0,1.0,56.0,71.0,512.0,9.1,9.0,1.0,17.0,180.0,2.5,111.0,1.5,6.0,15.0,70.0,535.0,5.0,196.3,11.5
21.0,D'Andre Swift,169.0,99.0,542.0,5.5,50.0,10.0,5.0,48.0,70.0,389.0,8.1,3.0,0.0,14.0,387.0,3.8,171.0,1.7,5.0,14.0,73.0,393.0,4.0,191.1,13.7
22.0,Ezekiel Elliott,254.0,231.0,876.0,3.8,27.0,5.0,12.0,17.0,23.0,92.0,5.4,0.0,0.0,15.0,518.0,2.2,358.0,1.5,9.0,1.0,22.0,558.0,19.0,185.8,12.4
23.0,Devin Singletary,230.0,178.0,822.0,4.6,33.0,7.0,5.0,38.0,52.0,280.0,7.4,1.0,3.0,17.0,543.0,3.1,279.0,1.6,9.0,7.0,47.0,709.0,9.0,178.2,10.5
24.0,David Montgomery,241.0,201.0,801.0,4.0,28.0,2.0,5.0,34.0,40.0,316.0,9.3,1.0,2.0,16.0,415.0,2.1,386.0,1.9,20.0,3.0,112.0,629.0,4.0,177.7,11.1
25.0,Raheem Mostert,223.0,181.0,891.0,4.9,67.0,9.0,3.0,31.0,42.0,202.0,6.5,2.0,1.0,16.0,502.0,2.8,389.0,2.1,16.0,7.0,82.0,552.0,5.0,168.3,10.5
26.0,AJ Dillon,229.0,186.0,770.0,4.1,27.0,3.0,7.0,28.0,43.0,206.0,7.4,0.0,0.0,17.0,451.0,2.4,319.0,1.7,6.0,4.0,55.0,537.0,9.0,167.6,9.9
27.0,Dameon Pierce,259.0,220.0,939.0,4.3,75.0,13.0,4.0,30.0,39.0,165.0,5.5,1.0,2.0,13.0,433.0,2.0,506.0,2.3,27.0,2.0,51.0,508.0,9.0,166.4,12.8
