RANK,NAME,IMP_ATT,RUS_ATT,RUS_YDS,RUS_Y/A,LG,EXPLO,RUS_TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,RZ TGT,RUS_YACON,SNAPS,GRZ_ATT,FPTS,FPTS/G
1.0,Saquon Barkley,382.0,261.0,1307.0,5.0,78.0,37.0,11.0,91.0,121.0,721.0,7.9,4.0,0.0,16.0,571.0,2.2,736.0,2.8,30.0,6.0,195.0,853.0,16.0,385.8,24.1
2.0,Christian McCaffrey,343.0,219.0,1098.0,5.0,59.0,15.0,7.0,107.0,124.0,867.0,8.1,6.0,1.0,16.0,633.0,2.9,465.0,2.1,15.0,7.0,223.0,966.0,16.0,385.5,24.1
3.0,Todd Gurley II,337.0,256.0,1251.0,4.9,36.0,12.0,17.0,59.0,81.0,580.0,9.8,4.0,1.0,14.0,634.0,2.5,617.0,2.4,17.0,10.0,113.0,826.0,22.0,372.1,26.6
4.0,Alvin Kamara,299.0,194.0,883.0,4.6,49.0,3.0,14.0,81.0,105.0,709.0,8.8,4.0,0.0,15.0,464.0,2.4,419.0,2.2,21.0,17.0,177.0,660.0,16.0,354.2,23.6
5.0,Ezekiel Elliott,399.0,304.0,1434.0,4.7,41.0,15.0,6.0,77.0,95.0,567.0,7.4,3.0,1.0,15.0,839.0,2.8,595.0,2.0,19.0,9.0,123.0,890.0,11.0,329.1,21.9
6.0,James Conner,286.0,215.0,970.0,4.5,30.0,11.0,12.0,55.0,71.0,497.0,9.0,1.0,2.0,13.0,522.0,2.4,451.0,2.1,20.0,4.0,132.0,718.0,17.0,279.7,21.5
7.0,James White,217.0,94.0,425.0,4.5,27.0,5.0,5.0,87.0,123.0,751.0,8.6,7.0,0.0,16.0,298.0,3.2,127.0,1.4,3.0,12.0,123.0,601.0,9.0,276.6,17.3
8.0,Melvin Gordon III,241.0,175.0,885.0,5.1,34.0,11.0,10.0,50.0,66.0,490.0,9.8,4.0,0.0,12.0,404.0,2.3,481.0,2.7,21.0,6.0,188.0,524.0,5.0,275.5,23.0
9.0,David Johnson,334.0,258.0,940.0,3.6,53.0,5.0,7.0,50.0,76.0,446.0,8.9,3.0,2.0,16.0,531.0,2.1,409.0,1.6,9.0,5.0,73.0,748.0,9.0,246.6,15.4
10.0,Joe Mixon,292.0,237.0,1168.0,4.9,51.0,20.0,8.0,43.0,55.0,296.0,6.9,1.0,0.0,14.0,634.0,2.7,534.0,2.3,6.0,1.0,79.0,595.0,13.0,243.4,17.4
11.0,Tarik Cohen,190.0,99.0,444.0,4.5,32.0,8.0,3.0,71.0,91.0,725.0,10.2,5.0,3.0,16.0,301.0,3.0,143.0,1.4,9.0,5.0,107.0,494.0,1.0,233.9,14.6
12.0,Kareem Hunt,216.0,181.0,824.0,4.6,45.0,10.0,7.0,26.0,35.0,378.0,14.5,7.0,0.0,11.0,387.0,2.1,437.0,2.4,18.0,2.0,138.0,503.0,11.0,230.2,20.9
13.0,Phillip Lindsay,239.0,192.0,1037.0,5.4,65.0,17.0,9.0,35.0,47.0,241.0,6.9,1.0,0.0,15.0,737.0,3.8,300.0,1.6,10.0,1.0,65.0,454.0,8.0,222.8,14.9
14.0,Kenyan Drake,193.0,120.0,535.0,4.5,54.0,7.0,4.0,53.0,73.0,477.0,9.0,5.0,1.0,16.0,290.0,2.4,245.0,2.0,9.0,1.0,129.0,545.0,1.0,206.2,12.9
15.0,Chris Carson,271.0,247.0,1151.0,4.7,61.0,11.0,9.0,20.0,24.0,163.0,8.2,0.0,2.0,14.0,556.0,2.3,595.0,2.4,23.0,1.0,40.0,456.0,16.0,201.4,14.4
16.0,Derrick Henry,233.0,215.0,1052.0,4.9,99.0,11.0,12.0,15.0,18.0,99.0,6.6,0.0,1.0,16.0,403.0,1.9,656.0,3.1,34.0,1.0,36.0,401.0,17.0,200.6,12.5
17.0,Nick Chubb,221.0,192.0,996.0,5.2,92.0,21.0,8.0,20.0,29.0,149.0,7.5,2.0,0.0,16.0,398.0,2.1,598.0,3.1,22.0,3.0,31.0,395.0,9.0,194.5,12.2
18.0,Tevin Coleman,211.0,167.0,800.0,4.8,65.0,15.0,4.0,32.0,44.0,276.0,8.6,5.0,0.0,16.0,497.0,3.0,303.0,1.8,6.0,6.0,73.0,581.0,6.0,193.6,12.1
19.0,Adrian Peterson,277.0,251.0,1042.0,4.2,90.0,13.0,7.0,20.0,26.0,208.0,10.4,1.0,2.0,16.0,572.0,2.3,470.0,1.9,20.0,2.0,111.0,479.0,8.0,189.0,11.8
20.0,Jordan Howard,277.0,250.0,935.0,3.7,42.0,7.0,9.0,20.0,27.0,145.0,7.3,0.0,1.0,16.0,443.0,1.8,492.0,2.0,8.0,1.0,41.0,624.0,11.0,180.0,11.3
21.0,Marlon Mack,221.0,195.0,908.0,4.7,49.0,9.0,9.0,17.0,26.0,103.0,6.1,1.0,2.0,12.0,490.0,2.5,418.0,2.1,10.0,1.0,8.0,444.0,13.0,178.1,14.8
22.0,T.J. Yeldon,182.0,104.0,414.0,4.0,20.0,1.0,1.0,55.0,78.0,487.0,8.9,4.0,1.0,14.0,229.0,2.2,185.0,1.8,5.0,6.0,80.0,507.0,2.0,173.1,12.4
23.0,Lamar Miller,245.0,210.0,973.0,4.6,97.0,14.0,5.0,25.0,35.0,163.0,6.5,1.0,1.0,14.0,472.0,2.2,501.0,2.4,11.0,1.0,42.0,619.0,7.0,172.6,12.3
24.0,Aaron Jones,168.0,133.0,728.0,5.5,67.0,9.0,8.0,26.0,35.0,206.0,7.9,1.0,1.0,12.0,472.0,3.5,256.0,1.9,6.0,1.0,57.0,376.0,4.0,171.4,14.3
25.0,Austin Ekeler,159.0,106.0,554.0,5.2,41.0,7.0,3.0,39.0,53.0,404.0,10.4,3.0,1.0,14.0,206.0,1.9,348.0,3.3,9.0,5.0,128.0,347.0,4.0,168.8,12.1
26.0,Matt Breida,184.0,153.0,814.0,5.3,66.0,14.0,3.0,27.0,31.0,261.0,9.7,2.0,1.0,14.0,496.0,3.2,318.0,2.1,12.0,3.0,63.0,365.0,6.0,162.5,11.6
27.0,Nyheim Hines,166.0,85.0,314.0,3.7,18.0,0.0,2.0,63.0,81.0,425.0,6.7,2.0,0.0,16.0,163.0,1.9,151.0,1.8,3.0,4.0,58.0,500.0,3.0,160.9,10.1
28.0,Dion Lewis,222.0,155.0,517.0,3.3,36.0,3.0,1.0,59.0,67.0,400.0,6.8,1.0,1.0,16.0,259.0,1.7,258.0,1.7,16.0,3.0,105.0,600.0,5.0,160.7,10.0
29.0,Jalen Richard,136.0,55.0,259.0,4.7,30.0,4.0,1.0,68.0,81.0,607.0,8.9,0.0,2.0,16.0,120.0,2.2,139.0,2.5,8.0,1.0,149.0,413.0,2.0,156.6,9.8
30.0,Dalvin Cook,182.0,133.0,615.0,4.6,70.0,8.0,2.0,40.0,49.0,305.0,7.6,2.0,2.0,11.0,352.0,2.6,263.0,2.0,10.0,3.0,107.0,491.0,2.0,152.0,13.8
31.0,Peyton Barber,263.0,234.0,871.0,3.7,28.0,4.0,5.0,20.0,29.0,92.0,4.6,1.0,1.0,16.0,424.0,1.8,447.0,1.9,20.0,0.0,8.0,617.0,14.0,150.3,9.4
32.0,Mark Ingram II,165.0,138.0,645.0,4.7,38.0,5.0,6.0,21.0,27.0,170.0,8.1,1.0,1.0,12.0,274.0,2.0,371.0,2.7,18.0,1.0,23.0,350.0,14.0,142.5,11.9
33.0,Isaiah Crowell,171.0,143.0,685.0,4.8,77.0,16.0,6.0,21.0,28.0,152.0,7.2,0.0,0.0,13.0,299.0,2.1,386.0,2.7,12.0,1.0,76.0,332.0,3.0,140.7,10.8
34.0,Kerryon Johnson,157.0,118.0,641.0,5.4,71.0,10.0,3.0,32.0,39.0,213.0,6.7,1.0,1.0,10.0,376.0,3.2,265.0,2.2,14.0,0.0,38.0,346.0,2.0,139.4,13.9
35.0,Sony Michel,220.0,209.0,931.0,4.5,34.0,7.0,6.0,7.0,11.0,50.0,7.1,0.0,1.0,13.0,497.0,2.4,434.0,2.1,11.0,0.0,11.0,321.0,13.0,139.1,10.7
36.0,Mike Davis,154.0,112.0,514.0,4.6,37.0,3.0,4.0,34.0,42.0,214.0,6.3,1.0,0.0,15.0,328.0,2.9,186.0,1.7,7.0,1.0,47.0,390.0,3.0,136.8,9.1
37.0,Duke Johnson Jr.,102.0,40.0,201.0,5.0,23.0,1.0,0.0,47.0,62.0,429.0,9.1,3.0,0.0,16.0,94.0,2.4,107.0,2.7,4.0,3.0,103.0,461.0,0.0,132.0,8.3
38.0,Latavius Murray,166.0,140.0,578.0,4.1,38.0,8.0,6.0,22.0,26.0,141.0,6.4,0.0,0.0,16.0,289.0,2.1,289.0,2.1,8.0,1.0,39.0,461.0,4.0,131.9,8.2
39.0,LeSean McCoy,207.0,161.0,514.0,3.2,28.0,3.0,3.0,34.0,46.0,238.0,7.0,0.0,0.0,14.0,287.0,1.8,227.0,1.4,2.0,1.0,87.0,490.0,4.0,127.2,9.1
40.0,Leonard Fournette,159.0,133.0,439.0,3.3,25.0,2.0,5.0,22.0,26.0,185.0,8.4,1.0,0.0,8.0,213.0,1.6,226.0,1.7,3.0,3.0,49.0,280.0,11.0,120.4,15.1
41.0,Doug Martin,196.0,172.0,723.0,4.2,29.0,2.0,4.0,18.0,24.0,116.0,6.4,0.0,3.0,16.0,376.0,2.2,347.0,2.0,10.0,1.0,27.0,359.0,11.0,119.9,7.5
42.0,Wendell Smallwood,122.0,87.0,364.0,4.2,15.0,0.0,3.0,28.0,35.0,230.0,8.2,2.0,1.0,16.0,186.0,2.1,178.0,2.0,5.0,5.0,27.0,324.0,2.0,117.4,7.3
43.0,Theo Riddick,114.0,40.0,171.0,4.3,19.0,0.0,0.0,61.0,74.0,384.0,6.3,0.0,0.0,14.0,92.0,2.3,79.0,2.0,4.0,5.0,78.0,415.0,0.0,116.5,8.3
44.0,Jamaal Williams,162.0,121.0,463.0,3.8,20.0,1.0,3.0,27.0,41.0,210.0,7.8,0.0,0.0,16.0,231.0,1.9,233.0,1.9,4.0,0.0,57.0,522.0,2.0,114.3,7.1
45.0,Alex Collins,135.0,114.0,411.0,3.6,19.0,0.0,7.0,15.0,21.0,105.0,7.0,1.0,3.0,10.0,193.0,1.7,218.0,1.9,10.0,1.0,57.0,312.0,6.0,108.6,10.9
