RANK,NAME,IMP_ATT,RUS_ATT,RUS_YDS,RUS_Y/A,LG,EXPLO,RUS_TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,RZ TGT,RUS_YACON,SNAPS,GRZ_ATT,FPTS,FPTS/G
1.0,Christian McCaffrey,429.0,287.0,1387.0,4.8,84.0,18.0,15.0,116.0,142.0,1005.0,8.7,4.0,0.0,16.0,874.0,3.0,513.0,1.8,16.0,14.0,235.0,1039.0,19.0,471.2,29.5
2.0,Aaron Jones,304.0,236.0,1084.0,4.6,56.0,10.0,16.0,49.0,68.0,474.0,9.7,3.0,2.0,16.0,569.0,2.4,515.0,2.2,32.0,12.0,119.0,663.0,17.0,314.8,19.7
3.0,Ezekiel Elliott,372.0,301.0,1357.0,4.5,33.0,7.0,12.0,54.0,71.0,420.0,7.8,2.0,2.0,16.0,678.0,2.3,679.0,2.3,24.0,11.0,92.0,937.0,18.0,311.7,19.5
4.0,Austin Ekeler,240.0,132.0,557.0,4.2,35.0,5.0,3.0,92.0,108.0,993.0,10.8,8.0,2.0,16.0,233.0,1.8,324.0,2.5,12.0,13.0,214.0,599.0,9.0,309.0,19.3
5.0,Derrick Henry,327.0,303.0,1540.0,5.1,74.0,20.0,16.0,18.0,24.0,206.0,11.4,2.0,3.0,15.0,572.0,1.9,968.0,3.2,29.0,1.0,43.0,589.0,8.0,294.6,19.6
6.0,Dalvin Cook,313.0,250.0,1135.0,4.5,75.0,12.0,13.0,53.0,63.0,519.0,9.8,0.0,2.0,14.0,539.0,2.2,596.0,2.4,20.0,2.0,206.0,604.0,21.0,292.4,20.9
7.0,Leonard Fournette,365.0,265.0,1152.0,4.3,81.0,18.0,3.0,76.0,100.0,522.0,6.9,0.0,1.0,15.0,360.0,1.4,792.0,3.0,16.0,9.0,179.0,901.0,8.0,259.4,17.3
8.0,Nick Chubb,347.0,298.0,1494.0,5.0,88.0,24.0,8.0,36.0,49.0,278.0,7.7,0.0,3.0,16.0,612.0,2.1,882.0,3.0,32.0,4.0,90.0,714.0,16.0,255.2,16.0
9.0,Alvin Kamara,268.0,171.0,797.0,4.7,40.0,8.0,5.0,81.0,97.0,533.0,6.6,1.0,1.0,14.0,396.0,2.3,401.0,2.3,29.0,11.0,152.0,626.0,7.0,248.5,17.8
10.0,Saquon Barkley,290.0,217.0,1003.0,4.6,68.0,18.0,6.0,52.0,73.0,438.0,8.4,2.0,0.0,13.0,398.0,1.8,605.0,2.8,16.0,7.0,117.0,729.0,8.0,244.1,18.8
11.0,Mark Ingram II,231.0,202.0,1018.0,5.0,53.0,11.0,10.0,26.0,29.0,247.0,9.5,5.0,2.0,15.0,494.0,2.4,524.0,2.6,18.0,6.0,67.0,503.0,16.0,242.5,16.2
12.0,Chris Carson,325.0,278.0,1230.0,4.4,59.0,11.0,7.0,37.0,47.0,266.0,7.2,2.0,4.0,15.0,496.0,1.8,734.0,2.6,28.0,2.0,82.0,723.0,9.0,232.6,15.5
13.0,Joe Mixon,323.0,278.0,1137.0,4.1,41.0,9.0,5.0,35.0,45.0,287.0,8.2,3.0,0.0,16.0,492.0,1.8,645.0,2.3,24.0,7.0,88.0,653.0,15.0,225.4,14.1
14.0,Todd Gurley II,272.0,223.0,857.0,3.8,25.0,5.0,12.0,31.0,49.0,207.0,6.7,2.0,2.0,15.0,483.0,2.2,374.0,1.7,21.0,4.0,44.0,786.0,14.0,219.4,14.6
15.0,Miles Sanders,242.0,179.0,818.0,4.6,65.0,13.0,3.0,50.0,63.0,509.0,10.2,3.0,1.0,16.0,445.0,2.5,373.0,2.1,16.0,10.0,68.0,613.0,6.0,218.7,13.7
16.0,Le'Veon Bell,323.0,245.0,789.0,3.2,19.0,0.0,3.0,66.0,78.0,461.0,7.0,1.0,1.0,15.0,287.0,1.2,502.0,2.0,16.0,9.0,152.0,782.0,6.0,215.0,14.3
17.0,Kenyan Drake,238.0,170.0,817.0,4.8,80.0,8.0,8.0,50.0,68.0,345.0,6.9,0.0,1.0,14.0,479.0,2.8,338.0,2.0,12.0,5.0,80.0,614.0,6.0,214.2,15.3
18.0,James White,162.0,67.0,263.0,3.9,32.0,2.0,1.0,72.0,95.0,645.0,9.0,5.0,1.0,15.0,165.0,2.5,98.0,1.5,3.0,19.0,97.0,490.0,5.0,200.2,13.3
19.0,Phillip Lindsay,272.0,224.0,1011.0,4.5,40.0,12.0,7.0,35.0,48.0,196.0,5.6,0.0,0.0,16.0,603.0,2.7,408.0,1.8,29.0,5.0,75.0,513.0,8.0,197.7,12.4
20.0,Devonta Freeman,254.0,184.0,656.0,3.6,28.0,3.0,2.0,59.0,70.0,410.0,6.9,4.0,2.0,14.0,363.0,2.0,293.0,1.6,11.0,10.0,73.0,658.0,1.0,197.6,14.1
21.0,Josh Jacobs,269.0,242.0,1150.0,4.8,51.0,14.0,7.0,20.0,27.0,166.0,8.3,0.0,1.0,13.0,467.0,1.9,683.0,2.8,26.0,2.0,65.0,460.0,12.0,191.6,14.7
22.0,Marlon Mack,264.0,247.0,1091.0,4.4,63.0,14.0,8.0,14.0,17.0,82.0,5.9,0.0,0.0,14.0,591.0,2.4,500.0,2.0,12.0,1.0,17.0,510.0,6.0,181.3,13.0
23.0,Melvin Gordon III,217.0,162.0,612.0,3.8,24.0,2.0,8.0,42.0,55.0,296.0,7.0,1.0,3.0,12.0,312.0,1.9,300.0,1.9,8.0,5.0,102.0,427.0,13.0,180.8,15.1
24.0,David Montgomery,277.0,242.0,889.0,3.7,55.0,6.0,6.0,25.0,35.0,185.0,7.4,1.0,2.0,16.0,496.0,2.0,393.0,1.6,28.0,2.0,42.0,614.0,17.0,170.4,10.7
25.0,Ronald Jones II,212.0,172.0,724.0,4.2,49.0,9.0,6.0,31.0,40.0,309.0,10.0,0.0,2.0,16.0,309.0,1.8,415.0,2.4,23.0,0.0,61.0,415.0,4.0,166.3,10.4
26.0,Raheem Mostert,159.0,137.0,772.0,5.6,41.0,7.0,8.0,14.0,22.0,180.0,12.9,2.0,2.0,16.0,475.0,3.5,297.0,2.2,12.0,3.0,46.0,360.0,3.0,165.2,10.3
27.0,Tarik Cohen,168.0,64.0,213.0,3.3,19.0,0.0,0.0,79.0,104.0,456.0,5.8,3.0,0.0,16.0,134.0,2.1,79.0,1.2,6.0,9.0,55.0,533.0,1.0,163.9,10.2
28.0,Latavius Murray,189.0,146.0,637.0,4.4,30.0,4.0,5.0,34.0,43.0,235.0,6.9,1.0,0.0,16.0,390.0,2.7,247.0,1.7,11.0,8.0,99.0,433.0,4.0,157.2,9.8
29.0,Duke Johnson Jr.,145.0,83.0,410.0,4.9,40.0,6.0,2.0,44.0,62.0,410.0,9.3,3.0,1.0,16.0,175.0,2.1,235.0,2.8,8.0,9.0,120.0,511.0,1.0,154.0,9.6
30.0,Carlos Hyde,261.0,245.0,1070.0,4.4,58.0,16.0,6.0,10.0,16.0,42.0,4.2,0.0,2.0,16.0,525.0,2.1,545.0,2.2,22.0,4.0,31.0,529.0,9.0,153.2,9.6
31.0,Sony Michel,267.0,247.0,912.0,3.7,26.0,3.0,7.0,12.0,20.0,94.0,7.8,0.0,1.0,16.0,521.0,2.1,391.0,1.6,16.0,3.0,31.0,420.0,13.0,152.6,9.5
32.0,Devin Singletary,192.0,151.0,775.0,5.1,38.0,8.0,2.0,29.0,41.0,194.0,6.7,2.0,1.0,12.0,413.0,2.7,362.0,2.4,20.0,5.0,64.0,530.0,2.0,147.9,12.3
