RANK,NAME,IMP_ATT,RUS_ATT,RUS_YDS,RUS_Y/A,LG,EXPLO,RUS_TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,RZ TGT,RUS_YACON,SNAPS,GRZ_ATT,FPTS,FPTS/G
1.0,Christian McCaffrey,355.0,272.0,1459.0,5.4,72.0,19.0,14.0,67.0,83.0,564.0,8.4,7.0,2.0,16.0,886.0,3.3,573.0,2.1,13.0,16.0,73.0,812.0,18.0,391.3,24.5
2.0,Breece Hall,318.0,223.0,994.0,4.5,83.0,19.0,5.0,76.0,95.0,591.0,7.8,4.0,0.0,17.0,504.0,2.3,490.0,2.2,19.0,5.0,209.0,667.0,1.0,290.5,17.1
3.0,Travis Etienne Jr.,340.0,267.0,1008.0,3.8,62.0,11.0,11.0,58.0,73.0,476.0,8.2,1.0,0.0,17.0,583.0,2.2,425.0,1.6,31.0,2.0,145.0,856.0,11.0,282.4,16.6
4.0,Rachaad White,342.0,272.0,990.0,3.6,38.0,5.0,6.0,64.0,70.0,549.0,8.6,3.0,2.0,17.0,604.0,2.2,386.0,1.4,9.0,8.0,119.0,861.0,11.0,267.9,15.8
5.0,Raheem Mostert,241.0,209.0,1012.0,4.8,49.0,12.0,18.0,25.0,32.0,175.0,7.0,3.0,1.0,15.0,620.0,3.0,392.0,1.9,15.0,6.0,59.0,555.0,20.0,267.7,17.8
6.0,Joe Mixon,321.0,257.0,1034.0,4.0,44.0,5.0,9.0,52.0,64.0,376.0,7.2,3.0,0.0,17.0,671.0,2.6,363.0,1.4,10.0,13.0,133.0,752.0,20.0,267.0,15.7
7.0,Kyren Williams,276.0,228.0,1144.0,5.0,56.0,11.0,12.0,32.0,48.0,206.0,6.4,3.0,2.0,12.0,791.0,3.5,353.0,1.5,20.0,12.0,46.0,678.0,17.0,255.0,21.3
8.0,Derrick Henry,316.0,280.0,1167.0,4.2,69.0,11.0,12.0,28.0,36.0,214.0,7.6,0.0,0.0,17.0,597.0,2.1,570.0,2.0,23.0,2.0,46.0,558.0,15.0,246.7,14.5
9.0,Bijan Robinson,300.0,214.0,976.0,4.6,38.0,9.0,4.0,58.0,86.0,487.0,8.4,4.0,3.0,17.0,568.0,2.7,408.0,1.9,15.0,10.0,100.0,771.0,3.0,246.3,14.5
10.0,Jahmyr Gibbs,253.0,182.0,945.0,5.2,36.0,14.0,10.0,52.0,71.0,316.0,6.1,1.0,1.0,15.0,500.0,2.7,445.0,2.4,21.0,7.0,73.0,596.0,10.0,242.1,16.1
11.0,Alvin Kamara,266.0,180.0,694.0,3.9,17.0,0.0,5.0,75.0,86.0,466.0,6.2,1.0,0.0,13.0,424.0,2.4,270.0,1.5,7.0,8.0,128.0,558.0,12.0,233.0,17.9
12.0,James Cook,291.0,237.0,1122.0,4.7,42.0,10.0,2.0,44.0,54.0,445.0,10.1,4.0,2.0,17.0,649.0,2.7,473.0,2.0,8.0,6.0,97.0,634.0,4.0,232.7,13.7
13.0,Saquon Barkley,307.0,247.0,962.0,3.9,36.0,12.0,6.0,41.0,60.0,280.0,6.8,4.0,2.0,14.0,509.0,2.1,453.0,1.8,12.0,5.0,33.0,717.0,6.0,223.2,15.9
14.0,Tony Pollard,319.0,252.0,1005.0,4.0,31.0,7.0,6.0,55.0,67.0,311.0,5.7,0.0,1.0,17.0,536.0,2.1,474.0,1.9,19.0,12.0,83.0,836.0,16.0,222.6,13.1
15.0,Isiah Pacheco,254.0,205.0,935.0,4.6,48.0,11.0,7.0,44.0,49.0,244.0,5.5,2.0,1.0,14.0,560.0,2.7,375.0,1.8,15.0,8.0,42.0,568.0,9.0,213.9,15.3
16.0,Jerome Ford,267.0,204.0,813.0,4.0,69.0,11.0,4.0,44.0,63.0,319.0,7.3,5.0,1.0,17.0,500.0,2.5,313.0,1.5,21.0,6.0,81.0,629.0,4.0,211.2,12.4
17.0,David Montgomery,243.0,219.0,1015.0,4.6,75.0,9.0,13.0,16.0,24.0,117.0,7.3,0.0,1.0,14.0,549.0,2.5,466.0,2.1,17.0,0.0,29.0,453.0,17.0,207.2,14.8
18.0,James Conner,241.0,208.0,1040.0,5.0,44.0,14.0,7.0,27.0,33.0,165.0,6.1,2.0,0.0,13.0,631.0,3.0,409.0,2.0,27.0,5.0,77.0,533.0,11.0,201.5,15.5
19.0,Kenneth Walker III,256.0,219.0,905.0,4.1,45.0,11.0,8.0,29.0,37.0,259.0,8.9,1.0,0.0,15.0,581.0,2.7,324.0,1.5,20.0,3.0,143.0,502.0,15.0,199.4,13.3
20.0,D'Andre Swift,278.0,229.0,1049.0,4.6,43.0,10.0,5.0,39.0,49.0,214.0,5.5,1.0,1.0,16.0,690.0,3.0,359.0,1.6,18.0,4.0,60.0,630.0,14.0,199.3,12.5
21.0,Brian Robinson Jr.,221.0,178.0,733.0,4.1,29.0,4.0,5.0,36.0,43.0,368.0,10.2,4.0,2.0,15.0,420.0,2.4,313.0,1.8,16.0,5.0,112.0,496.0,8.0,198.1,13.2
22.0,Jaylen Warren,223.0,149.0,784.0,5.3,74.0,9.0,4.0,61.0,74.0,370.0,6.1,0.0,2.0,17.0,480.0,3.2,304.0,2.0,27.0,5.0,95.0,519.0,4.0,196.4,11.6
23.0,Najee Harris,293.0,255.0,1035.0,4.1,25.0,8.0,8.0,29.0,38.0,170.0,5.9,0.0,1.0,17.0,500.0,2.0,535.0,2.1,30.0,3.0,40.0,569.0,10.0,195.5,11.5
24.0,De'Von Achane,140.0,103.0,800.0,7.8,76.0,21.0,8.0,27.0,37.0,197.0,7.3,3.0,1.0,11.0,486.0,4.7,314.0,3.0,13.0,6.0,83.0,300.0,5.0,190.7,17.3
25.0,Gus Edwards,211.0,198.0,810.0,4.1,42.0,8.0,13.0,12.0,13.0,180.0,15.0,0.0,2.0,17.0,514.0,2.6,296.0,1.5,11.0,0.0,12.0,470.0,23.0,187.0,11.0
26.0,Austin Ekeler,253.0,179.0,628.0,3.5,55.0,7.0,5.0,51.0,74.0,436.0,8.5,1.0,4.0,14.0,357.0,2.0,271.0,1.5,9.0,9.0,124.0,630.0,15.0,185.4,13.2
27.0,Chuba Hubbard,282.0,238.0,902.0,3.8,22.0,4.0,5.0,39.0,44.0,233.0,6.0,0.0,0.0,17.0,492.0,2.1,410.0,1.7,17.0,1.0,66.0,679.0,11.0,182.5,10.7
28.0,Josh Jacobs,287.0,233.0,805.0,3.5,63.0,8.0,6.0,37.0,54.0,296.0,8.0,0.0,1.0,13.0,512.0,2.2,293.0,1.3,10.0,6.0,82.0,600.0,10.0,181.1,13.9
29.0,Javonte Williams,275.0,217.0,774.0,3.6,21.0,2.0,3.0,47.0,58.0,228.0,4.9,2.0,1.0,16.0,435.0,2.0,339.0,1.6,10.0,3.0,53.0,493.0,7.0,179.2,11.2
30.0,Ezekiel Elliott,249.0,184.0,642.0,3.5,17.0,0.0,3.0,51.0,65.0,313.0,6.1,2.0,1.0,17.0,366.0,2.0,274.0,1.5,5.0,4.0,110.0,539.0,5.0,174.5,10.3
31.0,Zack Moss,220.0,183.0,794.0,4.3,56.0,11.0,5.0,27.0,37.0,192.0,7.1,2.0,0.0,14.0,483.0,2.6,311.0,1.7,4.0,5.0,58.0,531.0,11.0,169.6,12.1
32.0,Devin Singletary,254.0,216.0,898.0,4.2,24.0,3.0,4.0,30.0,38.0,193.0,6.4,0.0,0.0,17.0,551.0,2.6,347.0,1.6,10.0,4.0,42.0,629.0,7.0,167.3,9.8
33.0,Jonathan Taylor,192.0,169.0,741.0,4.4,49.0,8.0,7.0,19.0,23.0,153.0,8.1,1.0,0.0,10.0,287.0,1.7,454.0,2.7,14.0,4.0,29.0,386.0,12.0,156.4,15.6
34.0,Tyjae Spears,170.0,100.0,453.0,4.5,23.0,3.0,2.0,52.0,70.0,385.0,7.4,1.0,0.0,17.0,268.0,2.7,185.0,1.9,5.0,6.0,124.0,558.0,2.0,153.8,9.0
35.0,Rhamondre Stevenson,207.0,156.0,619.0,4.0,64.0,4.0,4.0,38.0,51.0,238.0,6.3,0.0,1.0,12.0,309.0,2.0,310.0,2.0,12.0,4.0,62.0,486.0,3.0,145.7,12.1
36.0,Tyler Allgeier,209.0,186.0,683.0,3.7,31.0,3.0,4.0,18.0,23.0,193.0,10.7,1.0,0.0,17.0,320.0,1.7,363.0,2.0,15.0,2.0,35.0,360.0,6.0,137.6,8.1
37.0,Aaron Jones,185.0,142.0,656.0,4.6,39.0,4.0,2.0,30.0,43.0,233.0,7.8,1.0,1.0,11.0,346.0,2.4,310.0,2.2,11.0,10.0,47.0,354.0,7.0,134.9,12.3
38.0,Alexander Mattison,224.0,180.0,700.0,3.9,21.0,1.0,0.0,30.0,44.0,192.0,6.4,3.0,2.0,16.0,414.0,2.3,286.0,1.6,5.0,11.0,31.0,579.0,9.0,133.2,8.3
39.0,Antonio Gibson,124.0,65.0,265.0,4.1,16.0,0.0,1.0,48.0,59.0,389.0,8.1,2.0,2.0,16.0,127.0,2.0,138.0,2.1,5.0,5.0,90.0,473.0,1.0,127.4,8.0
40.0,Samaje Perine,109.0,53.0,238.0,4.5,24.0,1.0,1.0,50.0,56.0,455.0,9.1,0.0,2.0,17.0,115.0,2.2,123.0,2.3,2.0,2.0,157.0,360.0,2.0,121.3,7.1
