RANK,NAME,IMP_ATT,RUS_ATT,RUS_YDS,RUS_Y/A,LG,EXPLO,RUS_TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,RZ TGT,RUS_YACON,SNAPS,GRZ_ATT,FPTS,FPTS/G
77.0,Tevin Coleman,100.0,84.0,356.0,4.2,20.0,1.0,0.0,11.0,16.0,49.0,4.5,0.0,0.0,11.0,166.0,2.0,190.0,2.3,6.0,6.0,16.0,180.0,6.0,51.5,4.7
78.0,Demetric Felton Jr.,28.0,7.0,24.0,3.4,12.0,0.0,0.0,18.0,21.0,181.0,10.1,2.0,0.0,15.0,14.0,2.0,10.0,1.4,0.0,1.0,64.0,129.0,0.0,50.5,3.4
79.0,Dare Ogunbowale,64.0,43.0,137.0,3.2,12.0,0.0,1.0,13.0,21.0,114.0,8.8,1.0,0.0,13.0,71.0,1.7,66.0,1.5,0.0,3.0,10.0,183.0,1.0,50.1,3.9
80.0,Peyton Barber,68.0,55.0,212.0,3.9,27.0,1.0,2.0,10.0,13.0,67.0,6.7,0.0,0.0,10.0,122.0,2.2,87.0,1.6,4.0,2.0,14.0,116.0,3.0,49.9,5.0
81.0,Chris Evans,34.0,17.0,77.0,4.5,13.0,0.0,0.0,15.0,17.0,151.0,10.1,2.0,0.0,9.0,51.0,3.0,26.0,1.5,3.0,4.0,37.0,85.0,1.0,49.8,5.5
82.0,JaMycal Hasty,45.0,16.0,68.0,4.3,21.0,1.0,1.0,23.0,29.0,157.0,6.8,0.0,1.0,11.0,45.0,2.8,23.0,1.4,2.0,5.0,28.0,41.0,2.0,49.5,4.5
83.0,Chris Carson,60.0,54.0,232.0,4.3,33.0,4.0,3.0,6.0,6.0,29.0,4.8,0.0,1.0,4.0,104.0,1.9,128.0,2.4,8.0,0.0,10.0,124.0,2.0,48.1,12.0
84.0,Carlos Hyde,94.0,72.0,253.0,3.5,18.0,0.0,1.0,12.0,22.0,65.0,5.4,0.0,2.0,12.0,138.0,1.9,115.0,1.6,3.0,1.0,19.0,292.0,4.0,45.8,3.8
85.0,Phillip Lindsay,93.0,88.0,249.0,2.8,35.0,2.0,1.0,4.0,5.0,45.0,11.3,1.0,0.0,14.0,168.0,1.9,81.0,0.9,1.0,1.0,4.0,159.0,2.0,45.4,3.2
86.0,Matt Breida,35.0,26.0,125.0,4.8,28.0,1.0,1.0,7.0,9.0,72.0,10.3,2.0,1.0,7.0,81.0,3.1,44.0,1.7,1.0,3.0,20.0,78.0,0.0,42.7,6.1
87.0,Ty'Son Williams,47.0,35.0,185.0,5.3,35.0,3.0,1.0,9.0,12.0,84.0,9.3,0.0,0.0,8.0,98.0,2.8,87.0,2.5,1.0,3.0,11.0,158.0,1.0,41.9,5.2
88.0,Salvon Ahmed,73.0,54.0,149.0,2.8,16.0,0.0,0.0,12.0,19.0,117.0,9.8,0.0,0.0,11.0,76.0,1.4,73.0,1.4,3.0,3.0,22.0,165.0,0.0,38.6,3.5
89.0,Le'Veon Bell,46.0,39.0,101.0,2.6,12.0,0.0,2.0,5.0,7.0,30.0,6.0,1.0,0.0,8.0,58.0,1.5,43.0,1.1,3.0,1.0,10.0,170.0,2.0,38.1,4.8
90.0,Ke'Shawn Vaughn,44.0,36.0,180.0,5.0,55.0,4.0,2.0,4.0,8.0,26.0,6.5,0.0,0.0,6.0,58.0,1.6,122.0,3.4,5.0,1.0,4.0,111.0,0.0,36.6,6.1
91.0,Elijhaa Penny,37.0,24.0,99.0,4.1,12.0,0.0,1.0,9.0,13.0,30.0,3.3,1.0,0.0,13.0,43.0,1.8,56.0,2.3,1.0,2.0,20.0,120.0,1.0,35.9,2.8
92.0,Jerick McKinnon,32.0,12.0,62.0,5.2,18.0,0.0,0.0,13.0,20.0,107.0,8.2,1.0,0.0,9.0,43.0,3.6,19.0,1.6,0.0,4.0,31.0,147.0,0.0,35.9,4.0
93.0,Craig Reynolds,63.0,55.0,230.0,4.2,35.0,3.0,0.0,7.0,8.0,52.0,7.4,0.0,0.0,5.0,93.0,1.7,137.0,2.5,4.0,0.0,19.0,118.0,1.0,35.2,7.0
94.0,Royce Freeman,72.0,56.0,169.0,3.0,13.0,0.0,0.0,10.0,16.0,77.0,7.7,0.0,0.0,12.0,82.0,1.5,87.0,1.6,1.0,0.0,0.0,215.0,1.0,34.6,2.9
95.0,C.J. Ham,25.0,7.0,34.0,4.9,30.0,2.0,0.0,17.0,18.0,125.0,7.4,0.0,0.0,15.0,23.0,3.3,11.0,1.6,0.0,1.0,26.0,330.0,1.0,32.9,2.2
96.0,James White,24.0,10.0,38.0,3.8,10.0,0.0,1.0,12.0,14.0,94.0,7.8,0.0,0.0,3.0,30.0,3.0,8.0,0.8,0.0,1.0,23.0,63.0,0.0,31.2,10.4
