RANK,NAME,POS,WEEK_1,WEEK_2,WEEK_3,WEEK_4,WEEK_5,WEEK_6,WEEK_7,WEEK_8,WEEK_9,WEEK_10,WEEK_11,WEEK_12,WEEK_13,WEEK_14,WEEK_15,WEEK_16,WEEK_17,AVG,TOTAL
1.0,Patrick Mahomes II,QB,28.3,38.8,25.3,22.9,15.8,27.0,32.8,26.0,26.8,20.1,35.9,0.0,33.0,20.8,18.0,28.2,17.3,26.1,417.1
2.0,Saquon Barkley,RB,20.8,24.8,22.7,22.0,28.9,37.9,26.4,20.1,0.0,14.0,35.2,33.2,17.6,29.7,9.6,18.7,24.2,24.1,385.8
3.0,Christian McCaffrey,RB,13.5,27.9,21.4,0.0,20.3,13.6,14.0,21.6,32.7,36.8,17.0,46.7,31.1,28.1,26.0,29.8,5.0,24.1,385.5
4.0,Matt Ryan,QB,8.8,30.7,40.2,29.3,14.4,27.5,19.3,0.0,28.0,20.5,13.7,20.7,7.6,20.5,25.0,19.5,29.3,22.2,355.0
5.0,Alvin Kamara,RB,43.1,17.9,34.0,41.1,6.9,0.0,15.5,26.6,33.6,26.2,17.8,10.8,15.2,15.7,23.3,26.5,0.0,23.6,354.2
6.0,Ben Roethlisberger,QB,9.0,39.0,24.0,14.9,21.6,21.6,0.0,16.9,25.2,35.8,20.7,20.3,17.2,19.3,13.1,29.6,13.8,21.4,341.9
7.0,DeAndre Hopkins,WR,15.1,23.0,14.6,32.9,22.1,17.3,14.0,26.2,26.5,0.0,14.6,12.4,16.1,13.6,39.0,19.4,26.7,20.8,333.5
8.0,Deshaun Watson,QB,11.0,22.8,25.0,31.1,21.0,5.3,10.9,31.0,20.3,0.0,9.0,29.4,16.0,18.2,22.4,36.5,22.0,20.7,331.7
9.0,Davante Adams,WR,19.8,20.4,18.2,16.1,29.0,35.2,0.0,18.3,16.0,21.7,26.6,17.9,23.3,21.1,21.9,24.1,0.0,22.0,329.6
10.0,Ezekiel Elliott,RB,17.6,19.7,14.8,34.0,15.4,18.7,6.2,0.0,15.2,36.7,33.1,25.3,25.5,31.2,19.8,15.9,0.0,21.9,329.1
11.0,Tyreek Hill,WR,36.3,20.0,7.6,14.6,12.7,39.2,20.6,10.0,12.5,32.7,43.5,0.0,6.0,22.5,8.1,13.1,28.6,20.5,328.0
12.0,Julio Jones,WR,28.0,11.4,14.6,26.3,11.2,24.4,17.4,0.0,25.1,23.7,23.8,23.8,3.8,30.6,20.2,12.8,28.8,20.4,325.9
13.0,Antonio Brown,WR,24.3,15.7,17.0,17.2,28.1,21.5,0.0,25.4,15.2,21.6,22.7,15.7,31.4,8.5,14.9,44.5,0.0,21.6,323.7
