RANK,NAME,G,CMP,P_ATT,COMP_PER,P_YDS,P_Y/A,AIR,AIR/A,RZ_ATT,RTG,TD,INT,SACKS,RUS_ATT,RUS_YDS,RUS_TD,FL,FPTS,FPTS/G
20.0,Matt Ryan,17.0,375.0,560.0,0.67,3968.0,7.1,2457.0,4.4,83.0,88.0,20.0,12.0,40.0,40.0,82.0,1.0,4.0,234.8,13.8
21.0,Ben Roethlisberger,16.0,390.0,605.0,0.645,3740.0,6.2,2033.0,3.4,87.0,89.0,22.0,10.0,38.0,20.0,5.0,1.0,5.0,228.0,14.3
22.0,Trevor Lawrence,17.0,359.0,602.0,0.596,3641.0,6.0,2240.0,3.7,56.0,73.0,12.0,17.0,32.0,73.0,334.0,2.0,5.0,216.0,12.7
23.0,Teddy Bridgewater,14.0,285.0,426.0,0.669,3052.0,7.1,1801.0,4.2,53.0,95.0,18.0,7.0,31.0,30.0,106.0,2.0,1.0,209.8,15.0
24.0,Jared Goff,14.0,332.0,494.0,0.672,3245.0,6.5,1718.0,3.5,55.0,93.0,19.0,8.0,35.0,17.0,87.0,0.0,6.0,202.4,14.5
25.0,Baker Mayfield,14.0,253.0,418.0,0.605,3010.0,7.1,1791.0,4.3,44.0,85.0,17.0,13.0,43.0,37.0,134.0,1.0,3.0,193.8,13.8
26.0,Tua Tagovailoa,13.0,263.0,388.0,0.678,2653.0,6.8,1589.0,4.1,52.0,86.0,16.0,10.0,20.0,42.0,128.0,3.0,1.0,190.9,14.7
27.0,Daniel Jones,11.0,232.0,361.0,0.643,2428.0,6.6,1517.0,4.2,42.0,86.0,10.0,7.0,22.0,62.0,298.0,2.0,3.0,174.6,15.9
28.0,Sam Darnold,12.0,243.0,406.0,0.599,2527.0,6.2,1322.0,3.2,41.0,71.0,9.0,13.0,35.0,48.0,222.0,5.0,4.0,170.5,14.2
29.0,Davis Mills,13.0,263.0,394.0,0.668,2664.0,6.8,1608.0,4.1,27.0,88.0,16.0,10.0,31.0,18.0,44.0,0.0,1.0,167.0,12.8
30.0,Zach Wilson,13.0,213.0,383.0,0.556,2334.0,6.1,1405.0,3.7,41.0,71.0,9.0,11.0,44.0,29.0,185.0,4.0,1.0,162.9,12.5
31.0,Justin Fields,12.0,159.0,270.0,0.589,1870.0,6.9,1255.0,4.6,31.0,71.0,7.0,10.0,36.0,72.0,420.0,2.0,5.0,136.9,11.4
32.0,Jameis Winston,7.0,95.0,161.0,0.59,1170.0,7.3,672.0,4.2,21.0,98.0,14.0,3.0,11.0,32.0,166.0,1.0,1.0,120.3,17.2
33.0,Andy Dalton,8.0,149.0,236.0,0.631,1515.0,6.4,867.0,3.7,22.0,85.0,8.0,9.0,18.0,16.0,76.0,0.0,1.0,93.1,11.6
34.0,Trevor Siemian,6.0,108.0,188.0,0.574,1154.0,6.1,734.0,3.9,35.0,90.0,11.0,3.0,9.0,9.0,20.0,1.0,1.0,93.2,15.5
35.0,Cam Newton,8.0,69.0,126.0,0.548,684.0,5.4,405.0,3.2,7.0,51.0,4.0,5.0,10.0,47.0,230.0,5.0,1.0,91.3,11.4
36.0,Tyrod Taylor,6.0,91.0,150.0,0.607,966.0,6.4,530.0,3.5,23.0,79.0,5.0,5.0,13.0,19.0,151.0,3.0,0.0,86.7,14.5
37.0,Tyler Huntley,7.0,122.0,188.0,0.649,1081.0,5.8,686.0,3.6,24.0,62.0,3.0,4.0,18.0,47.0,294.0,2.0,3.0,86.7,12.4
38.0,Jacoby Brissett,11.0,141.0,225.0,0.627,1283.0,5.7,843.0,3.7,22.0,54.0,5.0,4.0,19.0,19.0,70.0,1.0,3.0,76.4,6.9
39.0,Trey Lance,6.0,41.0,71.0,0.577,603.0,8.5,343.0,4.8,7.0,70.0,5.0,2.0,4.0,38.0,168.0,1.0,0.0,67.0,11.2
40.0,Geno Smith,4.0,65.0,95.0,0.684,702.0,7.4,400.0,4.2,10.0,100.0,5.0,1.0,13.0,9.0,42.0,1.0,1.0,55.3,13.8
41.0,Drew Lock,6.0,67.0,111.0,0.604,787.0,7.1,495.0,4.5,9.0,76.0,2.0,2.0,9.0,10.0,53.0,2.0,1.0,53.8,9.0
42.0,Mike White,4.0,88.0,132.0,0.667,953.0,7.2,463.0,3.5,9.0,82.0,5.0,8.0,4.0,5.0,-1.0,0.0,0.0,52.0,13.0
43.0,Josh Johnson,4.0,57.0,85.0,0.671,638.0,7.2,385.0,4.5,14.0,66.0,5.0,2.0,3.0,9.0,28.0,0.0,0.0,48.4,12.1
44.0,Colt McCoy,8.0,74.0,99.0,0.747,740.0,7.5,372.0,3.8,10.0,46.0,3.0,1.0,6.0,22.0,37.0,0.0,1.0,42.3,5.3
45.0,Mike Glennon,6.0,90.0,167.0,0.539,790.0,4.7,464.0,2.8,14.0,48.0,4.0,10.0,9.0,7.0,33.0,1.0,3.0,40.9,6.8
46.0,Gardner Minshew II,3.0,41.0,60.0,0.683,439.0,7.3,209.0,3.5,6.0,101.0,4.0,1.0,5.0,9.0,21.0,0.0,0.0,34.6,11.5
47.0,Tim Boyle,4.0,61.0,94.0,0.649,526.0,5.6,319.0,3.4,12.0,45.0,3.0,6.0,0.0,2.0,13.0,0.0,0.0,30.4,7.6
48.0,Case Keenum,5.0,47.0,72.0,0.653,462.0,6.4,207.0,2.9,12.0,64.0,3.0,1.0,5.0,12.0,22.0,0.0,1.0,29.6,5.9
49.0,Cooper Rush,4.0,30.0,47.0,0.638,422.0,9.0,220.0,4.7,4.0,110.0,3.0,1.0,3.0,9.0,-8.0,0.0,1.0,25.1,6.3
50.0,Jordan Love,6.0,36.0,62.0,0.581,411.0,6.6,195.0,3.1,7.0,50.0,2.0,3.0,3.0,12.0,27.0,0.0,1.0,24.2,4.0
51.0,Joe Flacco,2.0,27.0,42.0,0.643,338.0,8.0,167.0,4.0,7.0,130.0,3.0,0.0,2.0,2.0,3.0,0.0,1.0,23.8,11.9
52.0,Mason Rudolph,2.0,35.0,58.0,0.603,277.0,4.8,174.0,3.0,11.0,72.0,1.0,1.0,0.0,5.0,53.0,0.0,0.0,19.4,9.7
53.0,Nick Foles,1.0,24.0,35.0,0.686,250.0,7.1,111.0,3.2,6.0,99.0,1.0,0.0,4.0,4.0,8.0,0.0,0.0,16.8,16.8
54.0,P.J. Walker,5.0,36.0,66.0,0.545,362.0,5.5,249.0,3.8,6.0,51.0,1.0,3.0,7.0,7.0,13.0,0.0,1.0,16.8,3.4
55.0,Marcus Mariota,7.0,1.0,2.0,0.5,4.0,2.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,13.0,87.0,1.0,0.0,14.9,2.1
56.0,Jake Fromm,3.0,27.0,60.0,0.45,210.0,3.5,137.0,2.3,5.0,44.0,1.0,3.0,6.0,8.0,65.0,0.0,1.0,13.9,4.6
57.0,Brandon Allen,5.0,17.0,34.0,0.5,149.0,4.4,52.0,1.5,6.0,69.0,2.0,0.0,4.0,7.0,-1.0,0.0,0.0,13.8,2.8
58.0,Sean Mannion,1.0,22.0,36.0,0.611,189.0,5.3,113.0,3.1,1.0,84.0,1.0,0.0,2.0,2.0,14.0,0.0,0.0,13.0,13.0
59.0,Brian Hoyer,5.0,9.0,11.0,0.818,227.0,20.6,85.0,7.7,2.0,78.0,1.0,0.0,0.0,11.0,-8.0,0.0,0.0,12.3,2.5
60.0,Nick Mullens,1.0,20.0,30.0,0.667,147.0,4.9,87.0,2.9,3.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,9.9
61.0,Mitch Trubisky,5.0,6.0,8.0,0.75,43.0,5.4,26.0,3.3,0.0,65.0,0.0,1.0,0.0,13.0,24.0,1.0,0.0,9.1,1.8
62.0,Kyle Allen,2.0,12.0,19.0,0.632,120.0,6.3,76.0,4.0,2.0,96.0,1.0,0.0,2.0,2.0,11.0,0.0,1.0,7.9,4.0
63.0,Garrett Gilbert,1.0,20.0,31.0,0.645,194.0,6.3,114.0,3.7,3.0,82.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.8,7.8
64.0,Ian Book,1.0,12.0,20.0,0.6,135.0,6.8,61.0,3.1,0.0,41.0,0.0,2.0,8.0,3.0,6.0,0.0,0.0,4.0,4.0
65.0,Chad Henne,4.0,11.0,16.0,0.688,82.0,5.1,59.0,3.7,1.0,20.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.3,0.8
66.0,Chris Streveler,2.0,6.0,9.0,0.667,36.0,4.0,19.0,2.1,1.0,37.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,2.0,1.0
67.0,Blaine Gabbert,6.0,7.0,11.0,0.636,67.0,6.1,39.0,3.5,1.0,61.0,0.0,0.0,1.0,9.0,-7.0,0.0,0.0,1.9,0.3
68.0,C.J. Beathard,2.0,2.0,2.0,1.0,33.0,16.5,28.0,14.0,0.0,59.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.5,0.8
69.0,Sam Ehlinger,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.9,0.3
70.0,Ryan Fitzpatrick,1.0,3.0,6.0,0.5,13.0,2.2,7.0,1.2,0.0,56.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.7,0.7
71.0,David Blough,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.6,0.6
72.0,Kellen Mond,2.0,2.0,3.0,0.667,5.0,1.7,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1
73.0,Nathan Peterman,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.2,0.2
74.0,Brett Rypien,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,Trace McSorley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,Jacob Eason,1.0,2.0,5.0,0.4,25.0,4.0,18.0,3.6,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,Kurt Benkert,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,-0.1,-0.1
78.0,Chase Daniel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,-0.2,-0.2
79.0,Davis Webb,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,0.0,-0.3,-0.3
80.0,Feleipe Franks,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,-0.4,-0.1
81.0,Logan Woodside,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-6.0,0.0,0.0,-0.6,-0.2
82.0,John Wolford,2.0,1.0,4.0,0.25,5.0,1.3,0.0,0.0,0.0,28.0,0.0,1.0,1.0,2.0,-1.0,0.0,0.0,-0.9,-0.5
83.0,Josh Rosen,3.0,2.0,11.0,0.182,19.0,1.7,8.0,0.7,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.2,-0.4
