RANK,NAME,G,CMP,P_ATT,COMP_PER,P_YDS,P_Y/A,AIR,AIR/A,RZ_ATT,RTG,TD,INT,SACKS,RUS_ATT,RUS_YDS,RUS_TD,FL,FPTS,FPTS/G
1.0,Josh Allen,17.0,409.0,646.0,0.633,4407.0,6.8,2900.0,4.5,123.0,92.0,36.0,15.0,26.0,122.0,763.0,6.0,3.0,417.7,24.6
2.0,Justin Herbert,17.0,443.0,672.0,0.659,5014.0,7.5,2867.0,4.3,104.0,99.0,38.0,15.0,31.0,63.0,302.0,3.0,1.0,395.6,23.3
3.0,Tom Brady,17.0,485.0,719.0,0.675,5316.0,7.4,3079.0,4.3,120.0,102.0,43.0,12.0,22.0,28.0,81.0,2.0,3.0,386.7,22.7
4.0,Patrick Mahomes II,17.0,436.0,658.0,0.663,4828.0,7.3,2480.0,3.8,100.0,100.0,37.0,13.0,28.0,66.0,381.0,2.0,4.0,374.2,22.0
5.0,Matthew Stafford,17.0,404.0,601.0,0.672,4886.0,8.1,2987.0,5.0,112.0,105.0,41.0,17.0,30.0,32.0,43.0,0.0,2.0,346.8,20.4
6.0,Aaron Rodgers,16.0,366.0,531.0,0.689,4115.0,7.7,2157.0,4.1,110.0,113.0,37.0,4.0,30.0,33.0,101.0,3.0,0.0,337.3,21.1
7.0,Dak Prescott,16.0,410.0,596.0,0.688,4449.0,7.5,2638.0,4.4,97.0,105.0,37.0,10.0,30.0,48.0,146.0,1.0,6.0,330.4,20.7
8.0,Joe Burrow,16.0,366.0,520.0,0.704,4611.0,8.9,2521.0,4.8,54.0,107.0,34.0,14.0,51.0,40.0,118.0,2.0,2.0,328.1,20.5
9.0,Jalen Hurts,15.0,265.0,432.0,0.613,3144.0,7.3,1912.0,4.4,54.0,87.0,16.0,9.0,26.0,139.0,784.0,10.0,2.0,321.2,21.4
10.0,Kyler Murray,14.0,333.0,481.0,0.692,3787.0,7.8,2290.0,4.7,72.0,103.0,24.0,10.0,31.0,88.0,423.0,5.0,0.0,310.5,22.2
11.0,Kirk Cousins,16.0,372.0,561.0,0.663,4221.0,7.5,2677.0,4.8,71.0,102.0,33.0,7.0,28.0,29.0,115.0,1.0,2.0,307.3,19.2
12.0,Ryan Tannehill,17.0,357.0,531.0,0.672,3734.0,7.0,2195.0,4.1,79.0,92.0,21.0,14.0,47.0,55.0,270.0,7.0,4.0,282.3,16.6
13.0,Derek Carr,17.0,428.0,626.0,0.684,4804.0,7.7,2806.0,4.5,76.0,94.0,23.0,14.0,40.0,40.0,108.0,0.0,5.0,270.6,15.9
14.0,Carson Wentz,17.0,322.0,516.0,0.624,3563.0,6.9,2145.0,4.2,67.0,95.0,27.0,7.0,32.0,57.0,215.0,1.0,5.0,264.9,15.6
15.0,Lamar Jackson,12.0,246.0,382.0,0.644,2882.0,7.5,1828.0,4.8,47.0,85.0,16.0,13.0,38.0,134.0,767.0,2.0,3.0,253.0,21.1
16.0,Russell Wilson,14.0,259.0,400.0,0.648,3113.0,7.8,1927.0,4.8,45.0,104.0,25.0,6.0,33.0,43.0,183.0,2.0,1.0,248.7,17.8
17.0,Jimmy Garoppolo,15.0,301.0,441.0,0.683,3810.0,8.8,2030.0,4.6,55.0,101.0,20.0,12.0,29.0,38.0,51.0,3.0,3.0,239.5,16.0
18.0,Mac Jones,17.0,352.0,521.0,0.676,3801.0,7.3,2239.0,4.3,71.0,94.0,22.0,13.0,28.0,44.0,129.0,0.0,3.0,238.0,14.0
19.0,Taylor Heinicke,16.0,321.0,494.0,0.65,3419.0,6.9,1911.0,3.9,48.0,86.0,20.0,15.0,38.0,60.0,313.0,1.0,2.0,237.7,14.9
