"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"James White","NE","20","0","0","0","bye","31","10","31","21","10","39","20","19","27","27","16","20","291","22.4"
"Joe Mixon","CIN","40","46","52","62","51","39","0","0","bye","0","0","0","0","0","0","0","0","290","48.3"
"Benny Snell Jr.","PIT","29","10","15","bye","15","14","6","0","5","4","10","51","33","5","51","22","11","281","17.6"
"Jeremy McNichols","TEN","13","11","9","bye","26","29","15","22","16","17","12","18","33","22","8","9","11","271","16.9"
"Le'Veon Bell","Multi","32","0","0","0","46","0","17","17","19","0","20","24","33","11","31","20","0","270","24.5"
"Phillip Lindsay","DEN","19","0","0","0","bye","40","14","29","28","21","27","14","26","29","23","0","0","270","24.5"
"Darrel Williams","KC","23","10","16","0","29","23","1","8","18","bye","20","8","31","5","22","47","4","265","17.7"
"Carlos Hyde","SEA","22","15","16","0","0","bye","41","0","0","0","46","41","18","32","10","20","0","261","26.1"
"Rex Burkhead","NE","19","51","32","0","bye","18","25","32","34","20","12","0","0","0","0","0","0","243","27.0"
"Devontae Booker","LV","8","11","4","6","15","bye","15","10","13","26","15","22","33","19","9","15","17","238","14.9"
"Raheem Mostert","SF","37","13","0","0","31","35","0","0","0","0","bye","29","27","40","25","0","0","237","29.6"
"Alec Ingold","LV","17","16","9","8","22","bye","13","26","6","12","20","11","13","12","20","19","9","233","14.6"
"Alexander Mattison","MIN","19","10","16","15","43","27","bye","5","16","5","5","12","0","0","6","0","50","229","17.6"
"Damien Harris","NE","0","0","0","0","bye","12","21","20","28","32","26","34","33","22","0","0","0","228","25.3"
"Ito Smith","ATL","20","11","6","16","9","11","3","0","0","bye","6","28","24","25","31","22","13","225","16.1"
"Keith Smith","ATL","13","12","19","16","9","13","14","17","12","bye","7","20","10","16","14","17","13","222","13.9"
"Michael Burton","NO","17","2","11","20","13","bye","12","11","28","15","13","19","14","7","8","18","0","208","13.9"
"Samaje Perine","CIN","0","0","1","1","0","3","18","24","bye","16","31","7","17","28","12","29","19","206","12.9"
"Salvon Ahmed","MIA","0","0","0","0","0","0","bye","0","28","44","43","0","0","0","44","15","31","205","34.2"
"La'Mical Perine","NYJ","0","9","21","10","0","41","40","28","21","bye","11","0","0","0","0","19","0","200","20.0"
"Royce Freeman","DEN","6","17","24","14","bye","25","18","0","1","10","4","13","4","4","7","18","29","194","12.1"
"Peyton Barber","WAS","29","1","5","5","2","8","23","bye","1","10","14","17","24","30","13","4","6","192","12.0"
"Jalen Richard","LV","7","17","20","16","14","bye","19","14","9","3","0","0","32","21","3","17","0","192","14.8"
"Justin Jackson","LAC","11","0","0","21","42","bye","31","41","3","0","0","0","0","11","0","8","22","190","21.1"
"Cordarrelle Patterson","CHI","10","14","11","11","15","12","0","10","17","25","bye","9","17","19","6","0","12","188","12.5"
"Dare Ogunbowale","JAC","0","0","5","0","0","0","7","bye","3","10","13","0","10","22","14","39","63","186","13.3"
"Jordan Wilkins","IND","1","17","16","12","2","4","bye","39","23","14","9","26","13","6","0","0","0","182","12.1"
"Sony Michel","NE","19","15","26","0","bye","0","0","0","0","0","0","1","22","15","23","19","41","181","20.1"
"Ty Johnson","Multi","0","5","0","0","0","4","0","6","2","0","14","10","39","20","22","18","34","174","13.4"
"Andy Janovich","CLE","10","22","17","24","14","7","9","6","bye","15","0","0","13","9","12","11","3","172","12.3"
"Christian McCaffrey","CAR","65","47","0","0","0","0","0","0","59","0","0","0","bye","0","0","0","0","171","57.0"
"Khari Blasingame","TEN","10","12","19","bye","0","10","8","11","11","14","15","16","6","8","13","5","7","165","11.0"
"Mark Ingram II","BAL","21","27","18","14","19","10","bye","0","0","17","6","0","11","1","0","0","17","161","14.6"
"Chris Thompson","JAC","13","31","30","16","30","15","0","bye","19","1","0","0","0","0","0","0","0","155","19.4"
"Matt Breida","MIA","14","17","11","17","21","16","bye","8","0","0","7","23","0","0","18","0","0","152","12.7"
"DeeJay Dallas","SEA","0","0","0","11","0","bye","13","54","20","22","7","0","12","8","0","0","0","147","12.3"
"Alex Armah Jr.","CAR","8","17","7","17","10","6","4","3","12","8","13","3","bye","4","7","16","10","145","9.1"
"Patrick Laird","MIA","4","3","1","1","10","6","bye","0","12","10","17","10","19","42","8","0","2","145","9.1"
"Tyler Ervin","GB","14","28","23","23","bye","0","0","20","22","8","0","0","4","0","0","0","0","142","17.8"
"Travis Homer","SEA","13","8","16","17","23","bye","16","7","31","7","0","0","0","0","0","0","0","138","15.3"
"Devonta Freeman","NYG","0","0","15","37","37","35","12","0","0","0","bye","0","0","0","0","0","0","136","27.2"
"Rodney Smith","CAR","0","0","0","0","0","0","0","0","0","9","9","15","bye","16","24","21","39","133","19.0"
"Gabe Nabers","LAC","6","8","3","7","13","bye","14","3","1","10","7","7","3","12","11","2","22","129","8.1"
"Jaylen Samuels","PIT","20","5","6","bye","2","5","9","8","0","1","0","0","27","27","7","4","0","121","8.6"
"LeSean McCoy","TB","25","11","11","5","0","19","0","0","0","3","0","1","bye","16","12","13","0","116","11.6"
"Alfred Morris","NYG","0","0","0","0","0","0","0","21","16","15","bye","8","11","6","13","8","13","111","12.3"
"Chandler Cox","MIA","12","15","16","9","23","12","bye","0","9","0","0","0","12","0","0","0","0","108","13.5"
"Corey Clement","PHI","26","3","6","4","3","7","17","19","bye","1","0","4","0","2","0","1","14","107","7.1"
"Ke'Shawn Vaughn","TB","0","0","0","19","18","10","0","0","0","0","0","0","bye","4","10","35","3","99","9.9"
"AJ Dillon","GB","5","7","0","3","bye","10","14","10","0","0","0","0","0","0","5","38","5","97","8.8"
"JaMycal Hasty","SF","0","0","6","0","2","15","15","29","15","15","bye","0","0","0","0","0","0","97","12.1"
"Anthony McFarland Jr.","PIT","0","0","10","bye","5","10","5","1","8","0","5","14","11","0","7","0","13","89","8.1"
"DeAndre Washington","Multi","0","0","0","0","0","0","10","0","0","4","0","34","0","39","0","0","0","87","21.8"
"D'Ernest Johnson","CLE","4","2","0","17","22","17","2","6","bye","0","1","3","2","0","5","0","0","81","5.1"
"Reggie Gilliam","BUF","3","3","1","3","4","3","13","9","14","1","bye","6","7","4","10","0","0","81","5.8"
"Darwin Thompson","KC","0","15","6","0","0","3","0","7","0","bye","0","0","0","0","0","0","49","80","6.2"
"Tarik Cohen","CHI","30","21","26","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","77","25.7"
"Josh Adams","NYJ","13","5","0","0","0","0","0","0","0","bye","0","1","19","12","1","0","24","75","9.4"
"Ameer Abdullah","MIN","3","1","0","0","1","18","bye","0","1","3","0","0","4","15","1","11","16","74","4.6"
"Elijhaa Penny","NYG","3","4","2","1","3","5","2","3","5","11","bye","14","10","2","8","0","0","73","5.2"
"Justice Hill","BAL","0","0","0","0","0","0","bye","2","3","5","7","26","6","6","6","3","9","73","6.1"
"Ty Montgomery","NO","4","6","0","0","0","bye","0","0","0","0","2","0","0","0","0","16","44","72","12.0"
"Jordan Howard","Multi","9","8","4","8","0","0","0","0","21","0","0","0","11","0","0","7","0","68","9.7"
"Ryan Nall","CHI","1","3","7","1","4","1","0","2","10","17","bye","3","2","3","2","11","1","68","4.5"
"Saquon Barkley","NYG","59","8","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","67","33.5"
"Tevin Coleman","SF","6","30","0","0","0","0","0","6","0","0","bye","0","4","2","6","7","2","63","7.9"
"Troymaine Pope","LAC","0","0","0","0","4","bye","12","25","0","0","16","6","0","0","0","0","0","63","10.5"
"Anthony Sherman","KC","11","7","10","0","2","0","0","0","0","bye","2","3","2","5","10","4","4","60","5.0"
"Trayveon Williams","CIN","0","0","0","0","0","0","0","0","bye","5","0","5","0","27","7","6","9","59","5.9"
"Alex Collins","SEA","0","0","0","0","0","bye","0","0","13","32","0","0","0","0","0","0","7","52","17.3"
"Derek Watt","PIT","8","6","7","bye","0","4","0","0","0","6","11","4","3","0","0","3","0","52","4.3"
"J.J. Taylor","NE","9","1","15","0","bye","0","0","0","0","0","0","0","0","0","5","16","4","50","8.3"
"Theo Riddick","LV","0","0","0","7","0","bye","0","0","0","0","0","0","13","0","14","0","14","48","12.0"
"Buddy Howell","HOU","0","0","0","0","0","0","0","bye","5","1","0","4","0","23","10","3","1","47","3.4"
"C.J. Prosise","HOU","0","3","2","0","0","0","0","bye","0","2","15","10","0","13","0","0","0","45","4.5"
"Trenton Cannon","CAR","0","0","0","0","2","8","3","0","0","5","4","10","bye","2","0","3","6","43","3.1"
"T.J. Yeldon","BUF","0","0","6","8","28","0","0","0","0","0","bye","0","0","0","0","0","0","42","14.0"
"Rashaad Penny","SEA","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","6","4","28","38","12.7"
"Mike Boone","MIN","1","0","0","0","5","7","bye","0","0","0","0","0","2","4","0","3","12","34","2.1"
"Darrynton Evans","TEN","0","0","8","bye","5","0","0","0","0","0","0","0","0","0","13","6","1","33","6.6"
