"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"23","Aaron Jones (GB)","12","133","728","5.5","472","3.5","256","1.9","6","12","-27","33","22","4","3","1","1","67","26","35","1","57"
"24","Matt Breida (NYG)","14","153","814","5.3","496","3.2","318","2.1","12","19","-47","66","27","10","2","1","1","66","27","31","3","63"
"25","Sony Michel (FA)","13","209","931","4.5","497","2.4","434","2.1","11","12","-21","34","25","4","3","0","0","34","7","11","0","11"
"26","Peyton Barber (FA)","16","234","871","3.7","424","1.8","447","1.9","20","27","-72","5","24","4","0","0","0","28","20","29","0","8"
"27","Austin Ekeler (LAC)","14","106","554","5.2","206","1.9","348","3.3","9","8","-22","5","19","4","2","1","0","41","39","53","5","128"
"28","Mark Ingram II (FA)","12","138","645","4.7","274","2.0","371","2.7","18","6","-7","17","15","3","2","0","0","38","21","27","1","23"
"29","Isaiah Crowell (FA)","13","143","685","4.8","299","2.1","386","2.7","12","17","-43","77","15","6","4","3","3","77","21","28","1","76"
"30","T.J. Yeldon (FA)","14","104","414","4.0","229","2.2","185","1.8","5","3","-7","1","9","1","0","0","0","20","55","78","6","80"
"31","Dalvin Cook (FA)","11","133","615","4.6","352","2.6","263","2.0","10","19","-29","21","17","4","2","1","1","70","40","49","3","107"
"32","Latavius Murray (BUF)","16","140","578","4.1","289","2.1","289","2.1","8","11","-24","38","13","6","2","0","0","38","22","26","1","39"
"33","Kerryon Johnson (FA)","10","118","641","5.4","376","3.2","265","2.2","14","7","-13","8","17","6","2","1","1","71","32","39","0","38"
"34","Mike Davis (FA)","15","112","514","4.6","328","2.9","186","1.7","7","7","-9","20","13","2","1","0","0","37","34","42","1","47"
"35","Doug Martin (FA)","16","172","723","4.2","376","2.2","347","2.0","10","10","-23","24","19","2","0","0","0","29","18","24","1","27"
"36","Dion Lewis (FA)","16","155","517","3.3","259","1.7","258","1.7","16","28","-58","4","14","2","1","0","0","36","59","67","3","105"
"37","Leonard Fournette (FA)","8","133","439","3.3","213","1.6","226","1.7","3","16","-41","5","9","2","0","0","0","25","22","26","3","49"
"38","Nyheim Hines (BUF)","16","85","314","3.7","163","1.9","151","1.8","3","9","-12","8","7","0","0","0","0","18","63","81","4","58"
"39","Alex Collins (FA)","10","114","411","3.6","193","1.7","218","1.9","10","14","-44","14","9","0","0","0","0","19","15","21","1","57"
"40","LeSean McCoy (FA)","14","161","514","3.2","287","1.8","227","1.4","2","24","-60","28","11","3","0","0","0","28","34","46","1","87"
"41","Frank Gore (FA)","14","156","722","4.6","353","2.3","369","2.4","11","10","-17","0","12","5","3","0","0","39","12","16","0","38"
"42","Wendell Smallwood (FA)","16","87","364","4.2","186","2.1","178","2.0","5","6","-17","9","9","0","0","0","0","15","28","35","5","27"
"43","Jalen Richard (FA)","16","55","259","4.7","120","2.2","139","2.5","8","5","-6","3","6","3","1","0","0","30","68","81","1","149"
"44","Carlos Hyde (FA)","14","172","571","3.3","210","1.2","361","2.1","20","18","-29","1","15","1","0","0","0","22","10","16","0","9"
"45","Gus Edwards (BAL)","11","137","718","5.2","356","2.6","362","2.6","7","1","-1","11","17","4","1","1","0","43","2","2","0","2"
"46","Jamaal Williams (NO)","16","121","463","3.8","231","1.9","233","1.9","4","12","-23","10","11","1","0","0","0","20","27","41","0","57"
"47","Royce Freeman (FA)","14","130","521","4.0","194","1.5","327","2.5","16","11","-22","14","13","2","0","0","0","24","14","20","0","15"
"48","Duke Johnson Jr. (FA)","16","40","201","5.0","94","2.4","107","2.7","4","5","-20","0","6","1","0","0","0","23","47","62","3","103"
"49","Alfred Blue (FA)","16","150","499","3.3","307","2.0","192","1.3","7","16","-31","3","10","0","0","0","0","17","20","27","2","35"
"50","LeGarrette Blount (FA)","16","154","418","2.7","170","1.1","248","1.6","7","23","-52","4","10","2","0","0","0","27","10","15","0","15"
"51","Damien Williams (FA)","16","50","256","5.1","155","3.1","101","2.0","1","5","-13","4","7","3","0","0","0","25","23","24","4","19"
"52","Josh Adams (FA)","16","120","511","4.3","256","2.1","255","2.1","8","15","-32","28","14","4","0","0","0","29","7","13","0","11"
"53","Ito Smith (FA)","14","90","315","3.5","169","1.9","146","1.6","8","15","-37","14","10","0","0","0","0","18","27","32","1","29"
"54","Elijah McGuire (FA)","8","92","276","3.0","99","1.1","177","1.9","5","17","-34","4","7","1","1","0","0","34","19","31","1","72"
"55","Chris Ivory (FA)","13","115","385","3.3","116","1.0","269","2.3","8","13","-25","1","7","2","0","0","0","21","13","21","0","59"
"56","Marshawn Lynch (FA)","6","90","376","4.2","90","1.0","286","3.2","6","8","-16","10","9","1","1","1","1","52","15","20","3","34"
"57","Jaylen Samuels (FA)","14","56","256","4.6","148","2.6","108","1.9","2","4","-5","0","7","1","0","0","0","25","26","29","4","64"
"58","C.J. Anderson (FA)","11","67","403","6.0","188","2.8","215","3.2","1","5","-13","4","11","3","1","1","0","46","5","9","2","9"
"59","Rashaad Penny (PHI)","14","85","419","4.9","271","3.2","148","1.7","7","10","-17","20","13","4","2","0","0","38","9","12","0","10"
"60","Giovani Bernard (FA)","12","56","211","3.8","124","2.2","87","1.6","1","5","-19","10","8","2","0","0","0","23","35","48","1","58"
"61","Alfred Morris (FA)","12","111","428","3.9","211","1.9","217","2.0","9","18","-41","3","11","3","1","1","1","51","8","13","0","20"
"62","Corey Clement (ARI)","11","68","259","3.8","112","1.6","147","2.2","2","9","-24","15","8","2","1","0","0","32","22","25","1","43"
"63","Spencer Ware (FA)","13","51","246","4.8","150","2.9","96","1.9","3","2","-5","3","8","2","1","0","0","34","20","23","1","54"
"64","Javorius Allen (FA)","14","41","110","2.7","37","0.9","73","1.8","0","2","-8","1","2","0","0","0","0","17","35","43","5","39"
"65","Theo Riddick (FA)","14","40","171","4.3","92","2.3","79","2.0","4","6","-12","0","3","0","0","0","0","19","61","74","5","78"
"66","Chris Thompson (FA)","10","43","178","4.1","126","2.9","52","1.2","3","7","-21","0","9","0","0","0","0","16","41","55","1","55"
"67","Zach Zenner (FA)","8","55","265","4.8","114","2.1","151","2.7","2","4","-7","13","6","1","0","0","0","29","7","10","0","37"
"68","Devontae Booker (FA)","16","34","183","5.4","93","2.7","90","2.6","2","0","0","14","5","1","0","0","0","26","38","51","3","48"
"69","Bilal Powell (FA)","7","80","343","4.3","183","2.3","160","2.0","4","8","-18","0","10","2","1","0","0","38","11","18","0","27"
"70","Kenneth Dixon (FA)","6","60","333","5.6","119","2.0","214","3.6","10","4","-9","3","11","2","1","0","0","37","6","7","0","15"
"71","Ty Montgomery (NE)","13","41","188","4.6","98","2.4","90","2.2","2","2","-3","2","6","0","0","0","0","16","25","40","1","58"
"72","Justin Jackson (FA)","13","50","206","4.1","107","2.1","99","2.0","5","7","-11","18","6","1","0","0","0","20","15","19","1","51"
"73","Darren Sproles (FA)","6","29","120","4.1","87","3.0","33","1.1","1","1","-1","14","5","0","0","0","0","17","15","23","1","56"
"74","Kapri Bibbs (FA)","12","21","103","4.9","71","3.4","32","1.5","2","0","0","3","4","0","0","0","0","15","16","23","0","37"
"75","Jacquizz Rodgers (FA)","16","33","106","3.2","54","1.6","52","1.6","2","5","-7","2","3","1","0","0","0","20","38","45","3","38"
"76","Jordan Wilkins (FA)","16","60","336","5.6","203","3.4","133","2.2","2","4","-10","18","9","1","1","1","1","53","16","17","0","32"
"77","Chase Edmonds (TB)","16","60","208","3.5","115","1.9","93","1.6","4","9","-23","8","3","2","0","0","0","29","20","23","0","44"
"78","Jay Ajayi (FA)","4","45","184","4.1","103","2.3","81","1.8","4","4","-14","11","5","1","0","0","0","20","5","6","0","12"
"79","Kyle Juszczyk (SF)","16","8","30","3.8","14","1.8","16","2.0","0","1","-5","0","1","0","0","0","0","12","30","41","2","32"
"80","Rex Burkhead (FA)","8","57","186","3.3","93","1.6","93","1.6","2","3","-8","0","5","0","0","0","0","12","14","20","4","28"
"81","Malcolm Brown (FA)","12","43","212","4.9","119","2.8","93","2.2","9","3","-8","0","4","0","0","0","0","19","5","7","1","10"
"82","Raheem Mostert (MIA)","9","34","261","7.7","143","4.2","118","3.5","5","3","-5","52","11","2","1","1","1","52","6","7","0","2"
"83","Jeff Wilson Jr. (MIA)","6","66","266","4.0","131","2.0","135","2.0","4","5","-9","0","6","0","0","0","0","18","12","15","3","26"
"84","Trenton Cannon (FA)","16","38","113","3.0","26","0.7","87","2.3","5","4","-12","4","2","1","0","0","0","21","17","25","1","23"
"85","James Develin (FA)","16","6","8","1.3","7","1.2","1","0.2","0","0","0","2","0","0","0","0","0","2","12","18","0","9"
"86","Wayne Gallman Jr. (FA)","15","51","176","3.5","84","1.6","92","1.8","4","4","-8","2","0","0","0","0","0","9","14","22","0","26"
"87","Kalen Ballage (FA)","12","36","191","5.3","133","3.7","58","1.6","0","5","-13","75","4","1","1","1","1","75","9","11","1","9"
"88","Marcus Murphy (FA)","11","52","250","4.8","103","2.0","147","2.8","11","2","-5","0","3","1","1","0","0","30","11","19","0","9"
"89","Brandon Bolden (LV)","16","8","91","11.4","84","10.5","7","0.9","0","1","-5","54","3","1","1","1","1","54","3","3","1","5"
"90","Rod Smith (FA)","16","44","127","2.9","59","1.3","68","1.5","2","10","-20","1","3","0","0","0","0","14","9","12","0","17"
"91","Andy Janovich (FA)","16","2","5","2.5","1","0.5","4","2.0","0","0","0","0","0","0","0","0","0","3","8","10","0","11"
"92","Zach Line (FA)","16","9","41","4.6","22","2.4","19","2.1","0","1","-1","0","0","0","0","0","0","9","5","10","2","2"
"93","Anthony Sherman (FA)","16","1","2","2.0","1","1.0","1","1.0","0","0","0","0","0","0","0","0","0","2","8","9","1","18"
"94","Dwayne Washington (FA)","13","27","154","5.7","92","3.4","62","2.3","1","3","-5","0","5","3","0","0","0","28","0","0","0","0"
"95","Taquan Mizzell (NYG)","9","9","16","1.8","7","0.8","9","1.0","0","2","-4","0","0","0","0","0","0","7","8","10","2","7"
"96","Brian Hill (FA)","10","20","157","7.9","125","6.3","32","1.6","1","3","-6","0","4","3","1","1","1","60","1","2","0","2"
"97","Cameron Artis-Payne (FA)","9","19","69","3.6","28","1.5","41","2.2","0","3","-11","15","2","0","0","0","0","15","3","4","0","7"
"98","Alex Armah Jr. (WAS)","16","9","15","1.7","4","0.4","11","1.2","0","0","0","1","0","0","0","0","0","4","1","1","0","1"
"99","Ronald Jones II (DAL)","9","23","44","1.9","16","0.7","28","1.2","1","5","-15","2","0","0","0","0","0","9","7","9","1","8"
"100","Darrel Williams (FA)","6","13","44","3.4","13","1.0","31","2.4","5","1","-1","0","0","0","0","0","0","8","3","3","1","6"
"101","Stevan Ridley (FA)","10","29","80","2.8","27","0.9","53","1.8","2","4","-4","2","1","0","0","0","0","12","3","4","0","4"
"102","Corey Grant (FA)","5","13","40","3.1","16","1.2","24","1.8","0","0","0","0","0","0","0","0","0","8","9","12","1","41"
"103","DeAndre Washington (FA)","10","30","115","3.8","38","1.3","77","2.6","3","5","-7","0","3","0","0","0","0","13","1","1","0","5"
"104","John Kelly Jr. (CLE)","4","27","74","2.7","20","0.7","54","2.0","1","5","-12","0","0","0","0","0","0","7","2","3","0","9"
"105","Keith Ford (FA)","2","21","79","3.8","51","2.4","28","1.3","0","0","0","0","1","0","0","0","0","11","3","5","0","2"
"106","Charcandrick West (FA)","3","2","-1","-0.5","-1","-0.5","0","0.0","1","1","-2","0","0","0","0","0","0","1","2","3","0","0"
"107","C.J. Ham (MIN)","15","6","8","1.3","5","0.8","3","0.5","0","0","0","0","0","0","0","0","0","5","11","15","0","40"
"108","Devonta Freeman (FA)","2","14","68","4.9","51","3.6","17","1.2","0","2","-4","0","2","2","0","0","0","20","5","7","0","3"
"109","D'Onta Foreman (CHI)","1","7","-1","-0.1","0","0.0","0","0.0","0","2","-4","0","0","0","0","0","0","2","2","2","0","2"
"110","Mark Walton (FA)","14","14","34","2.4","19","1.4","15","1.1","0","3","-4","0","1","0","0","0","0","10","5","8","0","10"
"111","Elijhaa Penny (FA)","14","7","25","3.6","11","1.6","14","2.0","0","0","0","0","0","0","0","0","0","8","8","9","1","27"
"112","Kenjon Barner (FA)","9","19","71","3.7","44","2.3","27","1.4","1","2","-5","0","2","0","0","0","0","11","1","1","0","0"
"113","Patrick DiMarco (FA)","16","1","9","9.0","6","6.0","3","3.0","0","0","0","0","0","0","0","0","0","9","3","4","0","2"
"114","Detrez Newsome (FA)","9","11","49","4.5","23","2.1","26","2.4","1","0","0","0","2","0","0","0","0","16","2","2","0","7"
"115","Roc Thomas (FA)","5","8","30","3.8","16","2.0","14","1.8","2","4","-9","0","1","1","0","0","0","23","2","4","0","0"
"116","Mike Boone (HOU)","8","11","47","4.3","13","1.2","34","3.1","1","2","-9","0","2","1","0","0","0","20","2","3","0","0"
"117","Roosevelt Nix (FA)","16","1","4","4.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","4","4","6","0","10"
"118","Tommy Bohanon (FA)","16","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","6","9","1","4"
"119","Byron Marshall (FA)","6","3","9","3.0","8","2.7","1","0.3","0","0","0","0","0","0","0","0","0","4","4","6","0","4"
"120","T.J. Logan (FA)","10","2","2","1.0","0","0.0","2","1.0","0","1","-3","0","0","0","0","0","0","5","7","7","0","11"
"121","Tre Madden (FA)","14","3","3","1.0","3","1.0","0","0.0","0","0","0","0","0","0","0","0","0","2","2","3","0","5"
"122","Samaje Perine (DEN)","5","8","32","4.0","13","1.6","19","2.4","0","2","-9","0","1","0","0","0","0","11","3","4","0","3"
"123","David Williams (FA)","6","8","36","4.5","26","3.3","10","1.3","0","1","-1","0","2","0","0","0","0","15","0","0","0","0"
"124","Shaun Wilson (FA)","5","6","29","4.8","23","3.8","6","1.0","0","0","0","0","0","0","0","0","0","9","3","5","1","0"
"125","Mike Gillislee (FA)","4","16","43","2.7","4","0.3","39","2.4","4","0","0","0","0","0","0","0","0","5","1","1","0","0"
"126","Jeremy Hill (FA)","1","4","25","6.3","22","5.5","3","0.8","0","0","0","0","1","0","0","0","0","11","1","1","0","2"
"127","Benny Cunningham Jr. (FA)","15","11","20","1.8","7","0.6","13","1.2","1","3","-3","0","0","0","0","0","0","6","1","2","0","3"
"128","Jeremy Langford (FA)","1","9","25","2.8","-2","-0.2","27","3.0","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"129","Keith Smith (ATL)","16","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","5","7","0","4"
"130","Travaris Cadet (FA)","1","11","17","1.5","-2","-0.2","19","1.7","0","1","-3","0","0","0","0","0","0","5","1","1","1","1"
"131","De'Lance Turner (FA)","4","1","4","4.0","1","1.0","3","3.0","0","0","0","0","0","0","0","0","0","4","2","2","0","5"
"132","Derrick Coleman (FA)","16","2","3","1.5","1","0.5","2","1.0","0","0","0","0","0","0","0","0","0","2","2","3","1","4"
"133","C.J. Prosise (FA)","5","1","-3","-3.0","-3","-3.0","0","0.0","0","1","-3","0","0","0","0","0","0","0","3","3","0","0"
"134","Justin Davis (FA)","11","2","19","9.5","16","8.0","3","1.5","0","0","0","0","1","0","0","0","0","19","0","0","0","0"
"135","Jonathan Stewart (FA)","3","6","17","2.8","2","0.3","15","2.5","0","1","-1","0","0","0","0","0","0","5","0","0","0","0"
"136","Darius Jackson (FA)","4","6","16","2.7","13","2.2","3","0.5","0","0","0","0","0","0","0","0","0","4","0","1","0","0"
"137","David Fluellen (FA)","7","4","16","4.0","14","3.5","2","0.5","0","1","-2","0","1","0","0","0","0","13","0","0","0","0"
"138","Brandon Wilds (FA)","3","6","15","2.5","11","1.8","4","0.7","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"139","Jamaal Charles (FA)","2","6","7","1.2","3","0.5","4","0.7","1","2","-3","0","0","0","0","0","0","5","2","3","0","1"
"140","Derek Watt (FA)","16","4","11","2.8","4","1.0","7","1.8","1","0","0","0","0","0","0","0","0","8","1","1","0","0"
"141","Ameer Abdullah (LV)","10","1","1","1.0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","1","3","4","0","4"
"142","Christine Michael (FA)","1","2","9","4.5","0","0.0","9","4.5","0","0","0","0","0","0","0","0","0","8","0","0","0","0"
"143","J.D. McKissic (FA)","5","3","8","2.7","5","1.7","3","1.0","0","0","0","0","0","0","0","0","0","6","0","1","0","0"
"144","Robert Kelley (FA)","2","4","8","2.0","-5","-1.3","13","3.3","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"145","Jeremy McNichols (FA)","1","2","4","2.0","-2","-1.0","6","3.0","1","1","-3","0","0","0","0","0","0","7","0","0","0","0"
"146","Jonathan Williams (WAS)","3","3","0","0.0","-2","-0.7","2","0.7","0","1","-1","0","0","0","0","0","0","1","1","1","0","0"
"147","De'Angelo Henderson Sr. (FA)","3","2","19","9.5","0","0.0","0","0.0","0","0","0","0","1","0","0","0","0","13","0","0","0","0"
"148","Robert Turbin (FA)","2","4","10","2.5","0","0.0","0","0.0","0","1","-1","0","0","0","0","0","0","5","1","2","0","0"
""
""
