"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Todd Gurley II (FA)","14","256","1,251","4.9","634","2.5","617","2.4","17","23","-47","17","35","11","1","0","0","36","59","81","10","113"
"2","Saquon Barkley (NYG)","16","261","1,307","5.0","571","2.2","736","2.8","30","34","-99","78","31","16","8","7","6","78","91","121","6","195"
"3","Christian McCaffrey (SF)","16","219","1,098","5.0","633","2.9","465","2.1","15","13","-27","11","31","6","4","3","2","59","107","124","7","223"
"4","Alvin Kamara (NO)","15","194","883","4.6","464","2.4","419","2.2","21","14","-35","49","20","1","1","1","0","49","81","105","17","177"
"5","Ezekiel Elliott (FA)","15","304","1,434","4.7","839","2.8","595","2.0","19","28","-48","23","41","11","3","1","0","41","77","95","9","123"
"6","Melvin Gordon III (BAL)","12","175","885","5.1","404","2.3","481","2.7","21","13","-28","34","27","9","2","0","0","34","50","66","6","188"
"7","James Conner (ARI)","13","215","970","4.5","522","2.4","451","2.1","20","18","-34","22","27","9","2","0","0","30","55","71","4","132"
"8","Kareem Hunt (FA)","11","181","824","4.6","387","2.1","437","2.4","18","20","-44","10","23","7","2","1","0","45","26","35","2","138"
"9","Joe Mixon (CIN)","14","237","1,168","4.9","634","2.7","534","2.3","6","31","-73","15","34","11","5","3","1","51","43","55","1","79"
"10","David Johnson (FA)","16","258","940","3.6","531","2.1","409","1.6","9","20","-31","6","20","2","1","1","1","53","50","76","5","73"
"11","James White (FA)","16","94","425","4.5","298","3.2","127","1.4","3","2","-8","27","13","5","0","0","0","27","87","123","12","123"
"12","Phillip Lindsay (FA)","15","192","1,037","5.4","737","3.8","300","1.6","10","20","-39","65","30","8","4","3","2","65","35","47","1","65"
"13","Derrick Henry (TEN)","16","215","1,052","4.9","403","1.9","656","3.1","34","18","-37","99","30","4","3","2","2","99","15","18","1","36"
"14","Chris Carson (FA)","14","247","1,151","4.7","556","2.3","595","2.4","23","16","-29","7","33","8","1","1","1","61","20","24","1","40"
"15","Nick Chubb (CLE)","16","192","996","5.2","398","2.1","598","3.1","22","24","-45","92","28","11","4","4","2","92","20","29","3","31"
"16","Adrian Peterson (FA)","16","251","1,042","4.2","572","2.3","470","1.9","20","42","-82","90","26","5","3","3","2","90","20","26","2","111"
"17","Tarik Cohen (FA)","16","99","444","4.5","301","3.0","143","1.4","9","13","-40","21","13","7","1","0","0","32","71","91","5","107"
"18","Tevin Coleman (FA)","16","167","800","4.8","497","3.0","303","1.8","6","31","-84","43","25","8","4","2","1","65","32","44","6","73"
"19","Marlon Mack (FA)","12","195","908","4.7","490","2.5","418","2.1","10","13","-29","20","19","7","1","1","0","49","17","26","1","8"
"20","Jordan Howard (FA)","16","250","935","3.7","443","1.8","492","2.0","8","24","-51","18","18","5","1","1","0","42","20","27","1","41"
"21","Kenyan Drake (FA)","16","120","535","4.5","290","2.4","245","2.0","9","18","-47","54","13","4","1","1","1","54","53","73","1","129"
"22","Lamar Miller (FA)","14","210","973","4.6","472","2.2","501","2.4","11","28","-61","97","23","6","4","2","2","97","25","35","1","42"
