"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Alvin Kamara (NO)","15","28","1.9","11","83.3%","2","2","100.0%","1","0.5","1","66.7%","0","15","76.9","5.1","93.7%"
"2","Dalvin Cook (FA)","26","37","1.4","10","81.3%","0","0","0%","0","0","0","0.0%","0","14","63.7","4.6","94.1%"
"3","Derrick Henry (TEN)","17","25","1.5","9","81.0%","0","0","0%","0","0","0","0.0%","0","16","56.5","3.5","99.9%"
"4","Kenyan Drake (FA)","22","18","0.8","9","95.7%","0","0","0%","0","0","0","0.0%","0","15","55.8","3.7","0.6%"
"5","Antonio Gibson (WAS)","12","28","2.3","7","50.0%","0","0","0%","0","0","0","0%","0","14","44.8","3.2","84.1%"
"6","Jonathan Taylor (IND)","15","22","1.5","7","62.5%","0","1","0.0%","0","0","0","100.0%","0","15","44.2","2.9","99.8%"
"7","J.K. Dobbins (BAL)","8","17","2.1","7","36.4%","0","1","0.0%","0","0","0","50.0%","0","15","43.7","2.9","93.5%"
"8","Kareem Hunt (FA)","13","18","1.4","5","54.2%","1","1","100.0%","2","2.0","1","100.0%","0","16","39.0","2.4","11.9%"
"9","Mike Davis (FA)","11","11","1.0","5","68.8%","1","1","100.0%","3","3.0","1","50.0%","0","15","38.4","2.6","1.0%"
"10","Adrian Peterson (FA)","14","20","1.4","6","53.8%","0","0","0%","0","0","0","0%","0","16","38.0","2.4","2.1%"
"11","Todd Gurley II (FA)","13","19","1.5","6","81.3%","0","0","0%","0","0","0","0%","0","15","37.9","2.5","0.1%"
"12","Wayne Gallman Jr. (FA)","10","13","1.3","6","58.8%","0","0","0%","0","0","0","0%","0","15","37.3","2.5","0.0%"
"13","David Johnson (FA)","11","9","0.8","3","84.6%","2","2","100.0%","5","2.5","2","66.7%","0","12","33.4","2.8","0.0%"
"14","Leonard Fournette (FA)","9","12","1.3","5","50.0%","1","1","100.0%","-4","-4.0","0","50.0%","0","13","31.8","2.4","17.7%"
"15","Josh Jacobs (LV)","20","18","0.9","5","95.2%","0","0","0%","0","0","0","0.0%","0","15","31.8","2.1","99.9%"
"16","James Conner (ARI)","10","15","1.5","5","40.0%","0","1","0.0%","0","0","0","33.3%","0","13","31.5","2.4","94.4%"
"17","James Robinson (NYG)","6","12","2.0","5","85.7%","0","0","0%","0","0","0","0%","0","14","31.2","2.2","3.7%"
"18","Nick Chubb (CLE)","11","7","0.6","5","45.8%","0","0","0%","0","0","0","0.0%","0","12","30.7","2.6","99.9%"
"19","D'Andre Swift (PHI)","9","15","1.7","5","34.6%","0","0","0%","0","0","0","0%","1","13","29.5","2.3","92.5%"
"20","Zack Moss (IND)","11","16","1.5","3","61.1%","1","2","50.0%","4","4.0","1","66.7%","0","13","27.0","2.1","2.5%"
"21","David Montgomery (DET)","13","14","1.1","3","81.3%","1","2","50.0%","3","3.0","1","100.0%","0","15","26.7","1.8","92.0%"
"22","Chris Carson (FA)","8","13","1.6","3","40.0%","1","2","50.0%","3","3.0","1","50.0%","0","12","26.6","2.2","0.3%"
"23","Aaron Jones (GB)","9","13","1.4","4","56.3%","1","3","33.3%","1","1.0","0","75.0%","0","14","26.4","1.9","98.5%"
"24","Ezekiel Elliott (FA)","25","18","0.7","4","89.3%","0","0","0%","0","0","0","0%","0","15","25.8","1.7","49.2%"
