"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"25","Jerick McKinnon (KC)","4","1","0.3","3","16.7%","1","1","100.0%","5","5.0","1","25.0%","0","16","25.6","1.6","66.4%"
"26","Ronald Jones II (DAL)","9","13","1.4","4","50.0%","0","1","0.0%","0","0","0","50.0%","0","14","25.3","1.8","1.8%"
"27","Darrell Henderson Jr. (FA)","11","10","0.9","4","40.7%","0","0","0%","0","0","0","0.0%","0","15","25.0","1.7","0.6%"
"28","Benny Snell Jr. (FA)","15","9","0.6","4","60.0%","0","2","0.0%","0","0","0","66.7%","0","16","24.9","1.6","2.0%"
"29","Malcolm Brown (FA)","9","9","1.0","4","33.3%","0","0","0%","0","0","0","0.0%","0","16","24.9","1.6","0.0%"
"30","Melvin Gordon III (BAL)","8","9","1.1","4","66.7%","0","0","0%","0","0","0","0%","0","15","24.9","1.7","1.4%"
"31","Jeff Wilson Jr. (MIA)","8","8","1.0","4","33.3%","0","1","0.0%","0","0","0","25.0%","0","12","24.8","2.1","64.9%"
"32","Peyton Barber (FA)","9","7","0.8","4","37.5%","0","0","0%","0","0","0","0%","0","16","24.7","1.5","1.0%"
"33","Jordan Howard (FA)","9","6","0.7","4","37.5%","0","0","0%","0","0","0","0.0%","0","7","24.6","3.5","0.0%"
"34","Miles Sanders (CAR)","10","12","1.2","4","83.3%","0","0","0%","0","0","0","0.0%","1","12","23.2","1.9","96.3%"
"35","Giovani Bernard (FA)","6","12","2.0","2","40.0%","1","1","100.0%","3","3.0","1","50.0%","0","16","20.5","1.3","0.0%"
"36","DeeJay Dallas (SEA)","5","6","1.2","2","25.0%","1","1","100.0%","2","2.0","1","25.0%","0","12","19.8","1.7","0.4%"
"37","Rex Burkhead (FA)","4","8","2.0","3","40.0%","0","0","0%","0","0","0","0.0%","0","10","18.8","1.9","5.1%"
"38","Christian McCaffrey (SF)","4","5","1.3","3","25.0%","0","0","0%","0","0","0","0.0%","0","3","18.5","6.2","100.0%"
"39","Gus Edwards (BAL)","10","4","0.4","3","45.5%","0","0","0%","0","0","0","0.0%","1","16","16.4","1.0","10.8%"
"40","Gabe Nabers (FA)","0","0","0","0","0.0%","2","2","100.0%","6","3.0","2","100.0%","0","16","14.6","0.9","0.0%"
"41","Chase Edmonds (TB)","1","-1","-1.0","0","4.3%","2","2","100.0%","5","2.5","2","100.0%","0","16","14.4","0.9","1.7%"
"42","Myles Gaskin (MIA)","10","8","0.8","2","41.7%","1","1","100.0%","2","2.0","0","100.0%","0","10","14.0","1.4","0.1%"
"43","Cam Akers (LAR)","7","5","0.7","1","25.9%","1","1","100.0%","4","4.0","1","100.0%","0","12","13.9","1.2","93.3%"
"44","Clyde Edwards-Helaire (KC)","9","3","0.3","1","64.3%","1","2","50.0%","4","4.0","1","66.7%","0","13","13.7","1.1","16.1%"
"45","Jamaal Williams (NO)","6","1","0.2","1","37.5%","1","1","100.0%","4","4.0","1","25.0%","0","14","13.5","1.0","88.9%"
"46","Kyle Juszczyk (SF)","2","4","2.0","1","8.3%","1","2","50.0%","1","1.0","1","50.0%","0","16","13.5","0.8","0.4%"
"47","Nyheim Hines (BUF)","7","11","1.6","2","29.2%","0","0","0%","0","0","0","0.0%","0","16","13.1","0.8","1.9%"
"48","La'Mical Perine (KC)","2","10","5.0","2","15.4%","0","0","0%","0","0","0","0%","0","10","13.0","1.3","0.2%"
"49","Kalen Ballage (FA)","5","8","1.6","2","38.5%","0","0","0%","0","0","0","0.0%","0","11","12.8","1.2","0.0%"
"50","Kerryon Johnson (FA)","3","7","2.3","2","11.5%","0","0","0%","0","0","0","0%","0","16","12.7","0.8","0.0%"
"51","Carlos Hyde (FA)","5","7","1.4","2","25.0%","0","0","0%","0","0","0","0.0%","0","10","12.7","1.3","0.0%"
"52","Joshua Kelley (LAC)","7","7","1.0","2","53.8%","0","0","0%","0","0","0","0.0%","0","14","12.7","0.9","3.1%"
"53","Tony Pollard (DAL)","3","6","2.0","2","10.7%","0","0","0%","0","0","0","0%","0","16","12.6","0.8","99.8%"
"54","Salvon Ahmed (MIA)","5","4","0.8","2","20.8%","0","0","0%","0","0","0","0.0%","0","6","12.4","2.1","0.1%"
"55","Dion Lewis (FA)","3","3","1.0","2","17.6%","0","0","0%","0","0","0","0%","0","16","12.3","0.8","2.0%"
"56","Samaje Perine (DEN)","4","3","0.8","2","26.7%","0","0","0%","0","0","0","0.0%","0","16","12.3","0.8","84.3%"
"57","Frank Gore (FA)","5","0","0.0","2","38.5%","0","0","0%","0","0","0","0%","0","15","12.0","0.8","12.1%"
"58","Anthony Sherman (FA)","0","0","0","0","0.0%","1","1","100.0%","5","5.0","1","33.3%","0","12","7.5","0.6","0.0%"
"59","Darrynton Evans (BUF)","3","2","0.7","0","14.3%","1","1","100.0%","3","3.0","1","50.0%","0","5","7.5","1.5","0.0%"
"60","D'Onta Foreman (CHI)","0","0","0","0","0.0%","1","1","100.0%","5","5.0","1","50.0%","0","6","7.5","1.3","37.9%"
"61","Travis Homer (CHI)","2","1","0.5","0","10.0%","1","1","100.0%","3","3.0","1","25.0%","0","9","7.4","0.8","0.3%"
"62","Reggie Bonnafon (FA)","0","0","0","0","0.0%","1","1","100.0%","3","3.0","1","50.0%","0","2","7.3","3.7","0.0%"
"63","Alec Ingold (MIA)","0","0","0","0","0.0%","1","2","50.0%","3","3.0","1","66.7%","0","16","7.3","0.5","0.1%"
"64","Jakob Johnson (LV)","0","0","0","0","0.0%","1","1","100.0%","1","1.0","1","100.0%","0","16","7.1","0.4","0.0%"
"65","Patrick Ricard (BAL)","0","0","0","0","0.0%","1","1","100.0%","1","1.0","1","50.0%","0","15","7.1","0.5","0.1%"
"66","Reggie Gilliam (BUF)","0","0","0","0","0.0%","1","1","100.0%","1","1.0","1","33.3%","0","14","7.1","0.5","0.1%"
"67","C.J. Prosise (FA)","1","-1","-1.0","0","7.7%","1","1","100.0%","2","2.0","1","33.3%","0","10","7.1","0.7","0.0%"
"68","Alexander Mattison (MIN)","4","6","1.5","1","12.5%","0","0","0%","0","0","0","0.0%","0","13","6.6","0.5","90.5%"
"69","Cordarrelle Patterson (ATL)","2","6","3.0","1","12.5%","0","0","0%","0","0","0","0.0%","0","16","6.6","0.4","17.1%"
"70","JaMycal Hasty (JAC)","3","5","1.7","1","12.5%","0","0","0%","0","0","0","0.0%","0","8","6.5","0.8","0.8%"
"71","Corey Clement (ARI)","1","5","5.0","1","8.3%","0","0","0%","0","0","0","0.0%","0","15","6.5","0.4","0.2%"
"72","Latavius Murray (BUF)","3","4","1.3","1","16.7%","0","0","0%","0","0","0","0.0%","0","15","6.4","0.4","1.8%"
"73","Ty Johnson (FA)","4","4","1.0","1","30.8%","0","0","0%","0","0","0","0%","0","13","6.4","0.5","0.1%"
"74","Devonta Freeman (FA)","1","4","4.0","1","5.9%","0","0","0%","0","0","0","0%","0","5","6.4","1.3","0.0%"
"75","Alfred Morris (FA)","1","4","4.0","1","5.9%","0","0","0%","0","0","0","0%","0","9","6.4","0.7","0.0%"
"76","J.D. McKissic (FA)","3","4","1.3","1","12.5%","0","0","0%","0","0","0","0%","0","16","6.4","0.4","0.1%"
"77","Mike Boone (HOU)","2","3","1.5","1","6.3%","0","0","0%","0","0","0","0.0%","0","16","6.3","0.4","0.2%"
"78","Sony Michel (FA)","2","3","1.5","1","20.0%","0","0","0%","0","0","0","0.0%","0","9","6.3","0.7","0.2%"
"79","Artavis Pierce (FA)","1","3","3.0","1","6.3%","0","0","0%","0","0","0","0.0%","0","5","6.3","1.3","0.0%"
"80","Josh Adams (FA)","2","2","1.0","1","15.4%","0","0","0%","0","0","0","0%","0","8","6.2","0.8","0.0%"
"81","Jordan Wilkins (FA)","2","1","0.5","1","8.3%","0","0","0%","0","0","0","0.0%","0","15","6.1","0.4","0.0%"
"82","Mark Ingram II (FA)","2","1","0.5","1","9.1%","0","0","0%","0","0","0","0.0%","0","11","6.1","0.6","0.1%"
"83","Devin Singletary (HOU)","6","1","0.2","1","33.3%","0","0","0%","0","0","0","0.0%","0","16","6.1","0.4","51.0%"
"84","Jeremy McNichols (FA)","1","1","1.0","1","4.8%","0","0","0%","0","0","0","0.0%","0","16","6.1","0.4","0.0%"
"85","James White (FA)","1","1","1.0","1","10.0%","0","0","0%","0","0","0","0.0%","0","14","6.1","0.4","0.1%"
"86","Duke Johnson Jr. (FA)","1","1","1.0","1","7.7%","0","0","0%","0","0","0","0.0%","0","11","6.1","0.6","0.0%"
"87","Michael Burton (DEN)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","0","33.3%","0","15","1.4","0.1","0.0%"
"88","Devontae Booker (FA)","0","0","0","0","0.0%","1","1","100.0%","-1","-1.0","0","33.3%","0","16","0.9","0.1","0.0%"
"89","Justice Hill (BAL)","2","6","3.0","0","9.1%","0","0","0%","0","0","0","0.0%","0","12","0.6","0.1","0.3%"
"90","Le'Veon Bell (FA)","3","4","1.3","0","21.4%","0","0","0%","0","0","0","0.0%","0","11","0.4","0.0","0.1%"
"91","Jalen Richard (FA)","1","3","3.0","0","4.8%","0","0","0%","0","0","0","0.0%","0","13","0.3","0.0","1.0%"
"92","Dare Ogunbowale (HOU)","1","3","3.0","0","14.3%","0","0","0%","0","0","0","0%","0","14","0.3","0.0","0.1%"
"93","Brian Hill (FA)","2","3","1.5","0","12.5%","0","0","0%","0","0","0","0%","0","16","0.3","0.0","0.0%"
"94","Tyler Ervin (FA)","1","2","2.0","0","6.3%","0","0","0%","0","0","0","0.0%","0","8","0.2","0.0","0.0%"
"95","DeAndre Washington (FA)","2","2","1.0","0","14.3%","0","0","0%","0","0","0","0.0%","0","4","0.2","0.1","11.0%"
"96","Damien Harris (BUF)","3","1","0.3","0","30.0%","0","0","0%","0","0","0","0.0%","0","10","0.1","0.0","57.9%"
"97","T.J. Yeldon (FA)","1","1","1.0","0","5.6%","0","0","0%","0","0","0","0.0%","0","3","0.1","0.0","0.0%"
"98","Saquon Barkley (NYG)","1","1","1.0","0","5.9%","0","0","0%","0","0","0","0%","0","2","0.1","0.1","99.9%"
"99","Joe Mixon (CIN)","5","1","0.2","0","33.3%","0","1","0.0%","0","0","0","50.0%","0","6","0.1","0.0","98.2%"
"100","Austin Ekeler (LAC)","1","1","1.0","0","7.7%","0","0","0%","0","0","0","0.0%","0","10","0.1","0.0","100.0%"
"101","Alex Armah Jr. (WAS)","1","1","1.0","0","6.3%","0","0","0%","0","0","0","0.0%","0","16","0.1","0.0","0.0%"
"102","Elijhaa Penny (FA)","1","0","0.0","0","5.9%","0","0","0%","0","0","0","0%","0","14","0.0","0.0","0.0%"
"103","Ameer Abdullah (LV)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","100.0%","0","16","0.0","0.0","0.5%"
"104","Trenton Cannon (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","14","0.0","0.0","0.0%"
"105","Darrel Williams (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","16","0.0","0.0","2.0%"
"106","Phillip Lindsay (FA)","3","0","0.0","0","25.0%","0","0","0%","0","0","0","0%","0","11","0.0","0.0","0.0%"
"107","Royce Freeman (LAR)","1","0","0.0","0","8.3%","0","0","0%","0","0","0","0%","0","16","0.0","0.0","1.0%"
"108","Boston Scott (PHI)","1","-1","-1.0","0","8.3%","0","1","0.0%","0","0","0","100.0%","0","16","-0.1","0.0","0.8%"
"109","Tevin Coleman (FA)","1","-2","-2.0","0","4.2%","0","0","0%","0","0","0","0.0%","0","8","-0.2","0.0","0.0%"
"110","Ito Smith (FA)","1","-2","-2.0","0","6.3%","0","0","0%","0","0","0","0%","0","14","-0.2","0.0","0.0%"
"111","Raheem Mostert (MIA)","6","-2","-0.3","0","25.0%","0","0","0%","0","0","0","0.0%","0","8","-0.2","0.0","62.3%"
""
""
