"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Aaron Jones (GB)","17","26","1.5","10","89.5%","2","2","100.0%","5","2.5","1","33.3%","0","16","71.1","4.4","98.5%"
"2","Ezekiel Elliott (FA)","18","31","1.7","10","100.0%","0","0","0%","0","0","0","0%","0","16","63.1","3.9","49.2%"
"3","Todd Gurley II (FA)","14","24","1.7","8","60.9%","1","1","100.0%","2","2.0","1","100.0%","0","15","57.6","3.8","0.1%"
"4","Christian McCaffrey (SF)","19","20","1.1","8","90.5%","1","2","50.0%","1","1.0","1","100.0%","0","16","57.1","3.6","100.0%"
"5","Dalvin Cook (FA)","21","29","1.4","9","77.8%","0","0","0%","0","0","0","0.0%","0","14","56.9","4.1","94.1%"
"6","Mark Ingram II (FA)","16","18","1.1","8","64.0%","0","0","0%","0","0","0","0.0%","0","15","49.8","3.3","0.1%"
"7","Melvin Gordon III (BAL)","13","15","1.2","6","56.5%","1","1","100.0%","1","1.0","1","16.7%","1","12","42.6","3.6","1.4%"
"8","Joe Mixon (CIN)","15","14","0.9","3","93.8%","3","3","100.0%","4","1.3","3","75.0%","0","16","40.8","2.6","98.2%"
"9","David Montgomery (DET)","17","18","1.1","5","94.4%","1","1","100.0%","3","3.0","1","33.3%","0","16","39.1","2.4","92.0%"
"10","Chris Carson (FA)","9","1","0.1","5","64.3%","1","1","100.0%","5","5.0","1","50.0%","0","15","37.6","2.5","0.3%"
"11","Phillip Lindsay (FA)","8","14","1.8","5","57.1%","1","1","100.0%","3","3.0","0","50.0%","0","16","32.7","2.0","0.0%"
"12","Josh Jacobs (LV)","12","19","1.6","5","66.7%","0","0","0%","0","0","0","0%","0","13","31.9","2.5","99.9%"
"13","Jordan Howard (FA)","10","17","1.7","5","55.6%","0","0","0%","0","0","0","0%","0","10","31.7","3.2","0.0%"
"14","Kenyan Drake (FA)","6","16","2.7","5","33.3%","0","0","0%","0","0","0","0.0%","0","14","31.6","2.3","0.6%"
"15","Sony Michel (FA)","13","15","1.2","5","52.0%","0","1","0.0%","0","0","0","50.0%","0","16","31.5","2.0","0.2%"
"16","Derrick Henry (TEN)","8","5","0.6","5","100.0%","0","0","0%","0","0","0","0.0%","0","15","30.5","2.0","99.9%"
"17","Jamaal Williams (NO)","2","-2","-1.0","1","10.5%","3","3","100.0%","10","3.3","3","50.0%","0","14","27.8","2.0","88.9%"
"18","Royce Freeman (LAR)","5","7","1.4","3","35.7%","1","1","100.0%","3","3.0","1","50.0%","0","16","26.0","1.6","1.0%"
"19","Ronald Jones II (DAL)","4","18","4.5","4","19.0%","0","0","0%","0","0","0","0.0%","0","16","25.8","1.6","1.8%"
"20","Malcolm Brown (FA)","7","14","2.0","4","30.4%","0","0","0%","0","0","0","0.0%","0","14","25.4","1.8","0.0%"
"21","Jeff Wilson Jr. (MIA)","6","13","2.2","4","30.0%","0","0","0%","0","0","0","0.0%","0","11","25.3","2.3","64.9%"
"22","Qadree Ollison (JAC)","6","11","1.8","4","46.2%","0","0","0%","0","0","0","0.0%","0","8","25.1","3.1","0.0%"
"23","Carlos Hyde (FA)","9","10","1.1","4","90.0%","0","0","0%","0","0","0","0%","0","16","25.0","1.6","0.0%"
"24","Peyton Barber (FA)","9","7","0.8","4","42.9%","0","0","0%","0","0","0","0.0%","0","16","24.7","1.5","1.0%"
"25","Le'Veon Bell (FA)","6","9","1.5","3","100.0%","1","1","100.0%","3","3.0","0","100.0%","0","15","20.2","1.3","0.1%"
"26","David Johnson (FA)","6","4","0.7","2","100.0%","1","1","100.0%","3","3.0","1","50.0%","0","13","19.7","1.5","0.0%"
"27","Darrel Williams (FA)","6","4","0.7","2","35.3%","1","1","100.0%","3","3.0","1","33.3%","0","12","19.7","1.6","2.0%"
"28","LeSean McCoy (FA)","7","8","1.1","3","41.2%","0","0","0%","0","0","0","0.0%","0","13","18.8","1.4","2.0%"
"29","Tevin Coleman (FA)","9","6","0.7","3","45.0%","0","2","0.0%","0","0","0","40.0%","0","14","18.6","1.3","0.0%"
"30","Kalen Ballage (FA)","7","5","0.7","3","38.9%","0","0","0%","0","0","0","0.0%","0","12","18.5","1.5","0.0%"
"31","Marlon Mack (FA)","6","4","0.7","3","42.9%","0","0","0%","0","0","0","0.0%","0","14","18.4","1.3","6.0%"
"32","Adrian Peterson (FA)","7","3","0.4","3","58.3%","0","0","0%","0","0","0","0.0%","0","16","18.3","1.1","2.1%"
"33","Austin Ekeler (LAC)","9","6","0.7","2","39.1%","3","4","75.0%","3","1.0","1","66.7%","2","16","17.9","1.1","100.0%"
"34","Leonard Fournette (FA)","8","-2","-0.3","3","88.9%","0","1","0.0%","0","0","0","100.0%","0","15","17.8","1.2","17.7%"
"35","Nick Chubb (CLE)","16","-9","-0.6","3","84.2%","0","1","0.0%","0","0","0","100.0%","0","16","17.1","1.1","99.9%"
"36","Jaylen Samuels (FA)","3","7","2.3","1","27.3%","1","1","100.0%","3","3.0","1","100.0%","0","14","14.0","1.0","0.0%"
"37","Saquon Barkley (NYG)","8","0","0.0","1","57.1%","1","2","50.0%","4","4.0","1","100.0%","0","13","13.4","1.0","99.9%"
"38","Damien Williams (FA)","3","5","1.7","2","17.6%","1","2","50.0%","-1","-1.0","0","66.7%","0","11","13.4","1.2","0.0%"
"39","DeAndre Washington (FA)","4","9","2.3","2","22.2%","0","0","0%","0","0","0","0%","0","16","12.9","0.8","11.0%"
"40","Brandon Bolden (LV)","4","8","2.0","2","16.0%","0","0","0%","0","0","0","0.0%","0","15","12.8","0.9","0.2%"
"41","Alvin Kamara (NO)","7","7","1.0","2","58.3%","0","0","0%","0","0","0","0%","0","14","12.7","0.9","93.7%"
"42","Boston Scott (PHI)","2","6","3.0","2","11.1%","0","0","0%","0","0","0","0%","0","11","12.6","1.1","0.8%"
"43","Latavius Murray (BUF)","4","6","1.5","2","33.3%","0","0","0%","0","0","0","0%","0","16","12.6","0.8","1.8%"
"44","James Conner (ARI)","5","5","1.0","2","45.5%","0","0","0%","0","0","0","0.0%","0","10","12.5","1.3","94.4%"
"45","Dontrell Hilliard (FA)","2","5","2.5","2","10.5%","0","0","0%","0","0","0","0.0%","0","14","12.5","0.9","0.1%"
"46","Wes Hills (FA)","3","5","1.7","2","20.0%","0","0","0%","0","0","0","0.0%","0","1","12.5","12.5","0.0%"
"47","Wayne Gallman Jr. (FA)","4","4","1.0","2","28.6%","0","0","0%","0","0","0","0.0%","0","10","12.4","1.2","0.0%"
"48","Rex Burkhead (FA)","2","3","1.5","2","8.0%","0","0","0%","0","0","0","0.0%","0","13","12.3","0.9","5.1%"
"49","Derrius Guice (FA)","3","2","0.7","2","25.0%","0","0","0%","0","0","0","0.0%","0","5","12.2","2.4","1.1%"
