"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"50","Dare Ogunbowale (HOU)","7","2","0.3","2","33.3%","0","2","0.0%","0","0","0","100.0%","0","16","12.2","0.8","0.1%"
"51","Frank Gore (FA)","11","0","0.0","2","84.6%","0","0","0%","0","0","0","0%","0","16","12.0","0.8","12.1%"
"52","Miles Sanders (CAR)","6","-1","-0.2","2","33.3%","0","0","0%","0","0","0","0%","0","16","11.9","0.7","96.3%"
"53","Jordan Wilkins (FA)","5","-5","-1.0","2","35.7%","0","0","0%","0","0","0","0.0%","0","14","11.5","0.8","0.0%"
"54","Kerryon Johnson (FA)","9","8","0.9","2","60.0%","0","0","0%","0","0","0","0.0%","1","8","10.8","1.4","0.0%"
"55","Kyle Juszczyk (SF)","1","-1","-1.0","0","5.0%","2","2","100.0%","4","2.0","1","40.0%","0","12","8.3","0.7","0.4%"
"56","C.J. Ham (MIN)","2","-1","-0.5","0","7.4%","1","3","33.3%","5","5.0","1","100.0%","0","16","7.4","0.5","0.1%"
"57","Matt Breida (NYG)","1","-2","-2.0","0","5.0%","1","1","100.0%","5","5.0","1","20.0%","0","13","7.3","0.6","0.9%"
"58","Chase Edmonds (TB)","0","0","0","0","0.0%","1","1","100.0%","2","2.0","1","50.0%","0","13","7.2","0.6","1.7%"
"59","Myles Gaskin (MIA)","1","2","2.0","1","5.6%","1","1","100.0%","0","0.0","0","100.0%","0","7","7.2","1.0","0.1%"
"60","Patrick Ricard (BAL)","0","0","0","0","0.0%","1","1","100.0%","1","1.0","1","100.0%","0","16","7.1","0.4","0.1%"
"61","Rashaad Penny (PHI)","3","8","2.7","1","21.4%","0","0","0%","0","0","0","0.0%","0","10","6.8","0.7","86.0%"
"62","Brian Hill (FA)","2","7","3.5","1","15.4%","0","0","0%","0","0","0","0.0%","0","12","6.7","0.6","0.0%"
"63","James White (FA)","5","6","1.2","1","20.0%","0","1","0.0%","0","0","0","50.0%","0","15","6.6","0.4","0.1%"
"64","Patrick Laird (TB)","2","5","2.5","1","11.1%","0","0","0%","0","0","0","0.0%","0","15","6.5","0.4","0.0%"
"65","Bo Scarbrough (FA)","1","5","5.0","1","6.7%","0","0","0%","0","0","0","0.0%","0","6","6.5","1.1","0.0%"
"66","Nyheim Hines (BUF)","2","4","2.0","1","14.3%","0","1","0.0%","0","0","0","100.0%","0","16","6.4","0.4","1.9%"
"67","Devin Singletary (HOU)","2","4","2.0","1","15.4%","0","0","0%","0","0","0","0%","0","12","6.4","0.5","51.0%"
"68","Raheem Mostert (MIA)","3","4","1.3","1","15.0%","0","0","0%","0","0","0","0.0%","0","16","6.4","0.4","62.3%"
"69","Darwin Thompson (FA)","1","4","4.0","1","5.9%","0","0","0%","0","0","0","0.0%","0","12","6.4","0.5","0.0%"
"70","Kareem Hunt (FA)","1","3","3.0","1","5.3%","0","0","0%","0","0","0","0.0%","0","9","6.3","0.7","11.9%"
"71","Mike Boone (HOU)","1","2","2.0","1","3.7%","0","0","0%","0","0","0","0.0%","0","16","6.2","0.4","0.2%"
"72","Andy Janovich (FA)","1","1","1.0","1","7.1%","0","0","0%","0","0","0","0.0%","0","8","6.1","0.8","0.0%"
"73","Ito Smith (FA)","4","1","0.3","1","30.8%","0","0","0%","0","0","0","0.0%","0","7","6.1","0.9","0.0%"
"74","Derek Watt (FA)","1","1","1.0","1","4.3%","0","1","0.0%","0","0","0","16.7%","0","16","6.1","0.4","0.1%"
"75","Javorius Allen (FA)","1","1","1.0","1","7.1%","0","0","0%","0","0","0","0.0%","0","11","6.1","0.6","0.1%"
"76","Alex Armah Jr. (WAS)","2","1","0.5","1","9.5%","0","0","0%","0","0","0","0.0%","0","16","6.1","0.4","0.0%"
"77","Duke Johnson Jr. (FA)","1","1","1.0","1","10.0%","0","0","0%","0","0","0","0%","0","16","6.1","0.4","0.0%"
"78","Benny Snell Jr. (FA)","2","0","0.0","1","18.2%","0","0","0%","0","0","0","0.0%","0","13","6.0","0.5","2.0%"
"79","Cordarrelle Patterson (ATL)","0","0","0","0","0.0%","2","2","100.0%","1","0.5","0","66.7%","0","16","2.1","0.1","17.1%"
"80","Khari Blasingame (CHI)","0","0","0","0","0.0%","1","1","100.0%","0","0.0","0","100.0%","0","6","1.0","0.2","0.0%"
"81","Gus Edwards (BAL)","8","4","0.5","0","32.0%","0","0","0%","0","0","0","0.0%","0","16","0.4","0.0","10.8%"
"82","Darrell Henderson Jr. (FA)","2","4","2.0","0","8.7%","0","0","0%","0","0","0","0.0%","0","13","0.4","0.0","0.6%"
"83","Alec Ingold (MIA)","2","2","1.0","0","11.1%","0","0","0%","0","0","0","0%","0","16","0.2","0.0","0.1%"
"84","Chris Thompson (FA)","2","2","1.0","0","16.7%","0","1","0.0%","0","0","0","50.0%","0","11","0.2","0.0","0.0%"
"85","T.J. Logan (FA)","1","2","2.0","0","4.8%","0","0","0%","0","0","0","0.0%","0","12","0.2","0.0","0.0%"
"86","Alexander Mattison (MIN)","3","2","0.7","0","11.1%","0","0","0%","0","0","0","0.0%","0","13","0.2","0.0","90.5%"
"87","James Develin (FA)","1","1","1.0","0","4.0%","0","0","0%","0","0","0","0.0%","0","2","0.1","0.1","0.0%"
"88","Jonathan Williams (WAS)","1","1","1.0","0","7.1%","0","0","0%","0","0","0","0.0%","0","9","0.1","0.0","0.2%"
"89","Ty Johnson (FA)","1","1","1.0","0","6.7%","0","0","0%","0","0","0","0.0%","0","16","0.1","0.0","0.1%"
"90","Ryquell Armstead (FA)","1","1","1.0","0","11.1%","0","0","0%","0","0","0","0.0%","0","16","0.1","0.0","0.0%"
"91","Tony Pollard (DAL)","0","0","0","0","0.0%","0","0","0%","0","0","0","0%","0","15","0.0","0.0","99.8%"
"92","Tarik Cohen (FA)","1","0","0.0","0","5.6%","0","0","0%","0","0","0","0.0%","0","16","0.0","0.0","0.0%"
"93","Justice Hill (BAL)","1","0","0.0","0","4.0%","0","0","0%","0","0","0","0.0%","0","16","0.0","0.0","0.3%"
"94","Darren Sproles (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0%","0","6","0.0","0.0","0.1%"
"95","J.D. McKissic (FA)","1","0","0.0","0","6.7%","0","1","0.0%","0","0","0","100.0%","0","16","0.0","0.0","0.1%"
"96","Danny Vitale (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","16.7%","0","15","0.0","0.0","0.0%"
"97","C.J. Prosise (FA)","2","0","0.0","0","14.3%","0","0","0%","0","0","0","0.0%","0","9","0.0","0.0","0.0%"
"98","Michael Burton (DEN)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","50.0%","0","11","0.0","0.0","0.0%"
"99","Devonta Freeman (FA)","1","0","0.0","0","7.7%","0","1","0.0%","0","0","0","100.0%","0","14","0.0","0.0","0.0%"
"100","Zach Line (FA)","1","0","0.0","0","8.3%","0","0","0%","0","0","0","0%","0","12","0.0","0.0","0.0%"
"101","Giovani Bernard (FA)","1","0","0.0","0","6.3%","0","1","0.0%","0","0","0","25.0%","0","16","0.0","0.0","0.0%"
"102","Trey Edmunds (FA)","1","-2","-2.0","0","9.1%","0","0","0%","0","0","0","0.0%","0","12","-0.2","0.0","0.0%"
"103","Mark Walton (FA)","2","-5","-2.5","0","11.1%","0","0","0%","0","0","0","0.0%","0","7","-0.5","-0.1","2.0%"
"104","Jon Hilliman (FA)","1","2","2.0","0","7.1%","0","0","0%","0","0","0","0.0%","1","3","-1.8","-0.6","0.0%"
""
""
