"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Chuba Hubbard","CAR","7","19","40","33","46","48","34","41","10","16","0","11","bye","25","36","34","32","32","464","29.0"
"Michael Carter","NYJ","16","33","23","31","29","bye","47","59","45","40","20","0","0","0","31","43","8","24","449","32.1"
"Elijah Mitchell","SF","35","43","0","0","44","bye","37","36","39","36","0","49","49","0","0","0","36","37","441","40.1"
"Miles Sanders","PHI","47","39","35","47","50","43","12","0","0","0","36","22","41","bye","35","19","0","0","426","35.5"
"Derrick Henry","TEN","40","67","49","59","49","43","50","54","0","0","0","0","bye","0","0","0","0","0","411","51.4"
"Ty Johnson","NYJ","35","33","31","20","22","bye","21","24","32","25","20","23","28","48","0","0","31","15","408","27.2"
"Damien Harris","NE","40","25","22","36","21","26","35","41","24","0","25","22","13","bye","0","31","16","30","407","27.1"
"Mark Ingram II","Multi","36","19","19","10","26","33","21","22","26","57","47","0","30","0","30","24","0","0","400","28.6"
"Zack Moss","BUF","0","18","44","40","42","42","bye","47","19","28","16","0","24","0","0","26","16","18","380","29.2"
"Latavius Murray","BAL","21","27","19","45","36","26","0","bye","0","0","30","36","14","20","29","17","19","39","378","27.0"
"Alexander Mattison","MIN","9","13","51","23","44","12","bye","8","9","12","12","22","65","13","0","47","19","18","377","23.6"
"Patrick Ricard","BAL","41","48","29","51","0","0","0","bye","61","0","48","60","38","0","0","0","0","0","376","47.0"
"Tony Pollard","DAL","20","21","29","18","31","26","bye","19","24","32","22","31","28","0","29","25","19","0","374","24.9"
"Rex Burkhead","HOU","10","0","8","3","0","5","4","30","21","bye","27","35","24","36","38","42","44","40","367","24.5"
"Nyheim Hines","IND","34","25","34","22","26","11","19","25","28","18","13","25","14","bye","10","18","21","9","352","20.7"
"J.D. McKissic","WAS","20","31","25","27","34","36","46","32","bye","28","31","33","0","0","0","0","0","0","343","31.2"
"Brandon Bolden","NE","2","0","33","19","24","11","21","25","29","18","17","19","6","bye","38","34","18","28","342","21.4"
"Clyde Edwards-Helaire","KC","47","33","49","35","22","0","0","0","0","0","32","bye","29","23","51","21","0","0","342","34.2"
"C.J. Ham","MIN","25","0","22","21","32","21","bye","26","21","27","23","20","25","0","25","20","9","13","330","22.0"
"D'Ernest Johnson","CLE","0","0","5","0","0","12","49","18","16","52","26","0","bye","14","18","26","39","47","322","24.8"
"David Johnson","HOU","22","26","21","27","31","32","30","11","31","bye","35","22","0","0","12","0","0","17","317","24.4"
"Jamaal Williams","DET","32","22","31","21","22","19","20","0","bye","0","13","31","34","0","0","28","20","24","317","24.4"
"Ameer Abdullah","Multi","9","1","22","5","12","0","0","22","22","16","8","27","0","38","40","23","29","40","314","18.5"
"Khalil Herbert","CHI","1","0","2","7","34","54","51","59","10","bye","7","10","22","5","17","8","9","17","313","19.6"
"Ty Montgomery","NO","16","14","13","34","25","bye","12","33","0","6","0","29","36","0","20","24","8","30","300","21.4"
"Kenneth Gainwell","PHI","25","19","18","29","16","12","35","20","11","20","0","11","27","bye","6","2","8","39","298","18.6"
"Carlos Hyde","JAC","25","14","23","0","18","9","bye","50","48","18","14","32","29","12","0","0","0","0","292","24.3"
"Kenyan Drake","LV","41","47","36","20","12","12","26","bye","31","17","15","16","7","0","0","0","0","0","280","23.3"
"Samaje Perine","CIN","15","3","10","16","41","0","30","14","25","bye","11","10","26","28","16","11","20","0","276","18.4"
"Christian McCaffrey","CAR","57","54","22","0","0","0","0","0","29","44","46","20","bye","0","0","0","0","0","272","38.9"
"Jeremy McNichols","TEN","23","21","18","40","15","0","10","17","26","16","0","0","bye","27","23","26","6","0","268","20.6"
"Rhamondre Stevenson","NE","5","0","0","0","22","18","0","12","17","37","22","20","32","bye","31","0","40","9","265","22.1"
"Alex Collins","SEA","0","6","14","22","46","39","22","27","bye","30","18","19","0","14","0","0","0","0","257","23.4"
"Rashaad Penny","SEA","7","0","0","0","0","0","20","11","bye","0","8","0","29","35","24","30","46","43","253","25.3"
"Kareem Hunt","CLE","28","23","33","41","32","41","0","0","0","0","0","23","bye","13","0","0","0","0","234","29.3"
"Justin Jackson","LAC","11","16","7","11","0","8","bye","7","0","0","5","0","16","20","43","45","25","17","231","16.5"
"D'Onta Foreman","TEN","0","0","0","0","0","0","0","0","12","21","15","31","bye","23","31","21","41","35","230","25.6"
"Jeff Wilson Jr.","SF","0","0","0","0","0","bye","0","0","0","22","40","10","2","42","50","44","12","6","228","25.3"
"Boston Scott","PHI","0","0","4","0","0","0","23","29","25","20","29","34","3","bye","0","20","32","0","219","19.9"
"Ronald Jones II","TB","6","26","12","13","10","14","14","9","bye","0","15","12","2","8","22","35","20","0","218","14.5"
"Royce Freeman","Multi","0","0","11","12","14","23","29","11","0","0","0","0","22","44","9","24","15","1","215","17.9"
"Keith Smith","ATL","21","18","22","16","14","bye","11","0","0","19","19","13","21","0","0","12","12","9","207","15.9"
"Dontrell Hilliard","TEN","0","0","0","0","0","0","0","0","0","0","51","32","bye","24","29","13","15","34","198","24.8"
"Dare Ogunbowale","JAC","0","0","0","3","5","0","bye","15","8","0","0","1","0","4","10","60","31","46","183","14.1"
"Travis Homer","SEA","2","14","16","9","8","5","12","17","bye","31","5","0","21","0","0","4","24","13","181","12.9"
"Tevin Coleman","NYJ","17","7","0","11","5","bye","0","0","0","17","20","30","23","0","21","19","0","10","180","16.4"
"Le'Veon Bell","Multi","0","0","0","20","0","22","22","0","23","31","0","0","0","0","0","3","26","23","170","21.3"
"Damien Williams","CHI","30","15","7","19","31","0","11","4","0","bye","0","0","0","7","5","9","12","16","166","13.8"
"Salvon Ahmed","MIA","11","23","0","5","11","19","22","16","14","9","0","13","22","bye","0","0","0","0","165","15.0"
"DeeJay Dallas","SEA","3","0","0","1","14","22","1","2","bye","0","18","28","2","11","33","22","2","2","161","9.5"
"Phillip Lindsay","Multi","20","14","9","8","13","11","4","8","14","0","2","15","0","0","0","19","7","15","159","11.4"
"Ty'Son Williams","BAL","35","37","29","0","14","0","21","bye","18","0","0","2","0","0","0","0","0","2","158","19.8"
"Jordan Howard","PHI","0","0","0","0","0","0","0","16","23","24","13","0","0","bye","34","22","21","0","153","21.9"
"Jaret Patterson","WAS","4","0","0","5","5","2","0","16","bye","5","13","3","4","12","10","15","39","17","150","10.7"
"Duke Johnson Jr.","MIA","0","0","0","0","0","0","0","0","0","0","6","0","0","bye","41","23","36","43","149","29.8"
"Jerick McKinnon","KC","0","4","0","8","27","23","22","0","20","20","0","bye","0","0","0","0","0","23","147","16.3"
"Jakob Johnson","NE","0","0","0","16","0","0","28","22","0","0","26","0","0","bye","10","16","25","0","143","20.4"
"Giovani Bernard","TB","17","6","33","0","17","12","11","13","bye","14","8","0","7","0","0","0","0","0","138","13.8"
"Joshua Kelley","LAC","0","0","0","0","26","18","bye","0","17","8","0","16","0","19","13","17","0","0","134","16.8"
"Tony Jones Jr.","NO","22","12","13","9","0","bye","0","0","0","0","10","21","0","20","0","2","9","14","132","13.2"
"Demetric Felton Jr.","CLE","0","3","11","6","3","12","22","9","6","0","12","1","bye","6","29","4","0","5","129","8.6"
"Malcolm Brown","MIA","16","9","34","35","0","25","5","0","0","0","0","0","0","bye","0","0","0","0","124","20.7"
"Chris Carson","SEA","42","34","23","25","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","124","31.0"
"Elijhaa Penny","NYG","3","3","8","0","6","15","22","7","16","bye","0","5","0","5","2","13","0","15","120","9.2"
"Craig Reynolds","DET","0","0","0","0","0","0","0","0","bye","0","0","0","0","29","42","27","14","6","118","23.6"
"Peyton Barber","LV","0","19","47","1","0","0","0","bye","0","0","1","0","5","7","13","12","11","0","116","12.9"
"Alec Ingold","LV","23","17","28","0","0","15","17","bye","14","2","0","0","0","0","0","0","0","0","116","16.6"
"Derrick Gore","KC","0","0","0","0","0","0","5","16","10","11","0","bye","0","20","0","19","8","24","113","14.1"
"Ke'Shawn Vaughn","TB","0","0","0","0","0","0","8","0","bye","0","9","0","0","0","19","24","24","27","111","18.5"
"Trey Sermon","SF","0","1","41","39","2","bye","0","0","0","0","24","0","0","0","0","0","0","0","107","17.8"
"Larry Rountree III","LAC","22","10","11","22","0","0","bye","8","6","9","19","0","0","0","0","0","0","0","107","11.9"
"Benny Snell Jr.","PIT","0","3","0","8","13","0","bye","2","6","6","8","7","2","3","0","16","3","29","106","6.6"
"Jalen Richard","LV","0","0","0","0","10","8","16","bye","5","6","0","0","0","0","11","10","13","24","103","11.4"
"Reggie Gilliam","BUF","0","14","11","18","0","4","bye","0","0","22","7","0","0","0","0","9","0","18","103","12.9"
"Godwin Igwebuike","DET","0","0","0","0","0","0","0","11","bye","4","1","4","28","28","12","10","0","0","98","6.5"
"Eno Benjamin","ARI","0","0","0","0","0","0","4","0","17","15","18","bye","4","0","0","0","9","25","92","11.5"
"Adam Prentice","NO","0","0","0","0","0","bye","0","0","0","0","0","15","0","20","0","11","20","25","91","18.2"
"Chris Evans","CIN","0","2","5","0","7","16","0","0","3","bye","10","9","0","0","0","3","0","30","85","9.4"
"Matt Breida","BUF","10","0","0","0","0","0","bye","0","0","8","18","21","7","11","3","0","0","0","78","11.1"
"Corey Clement","DAL","1","0","3","0","0","0","bye","0","5","13","0","0","0","31","0","7","0","17","77","7.0"
"Adrian Peterson","Multi","0","0","0","0","0","0","0","0","19","20","15","0","18","0","0","0","0","0","72","18.0"
"Qadree Ollison","ATL","0","0","0","0","0","bye","0","0","0","0","26","0","13","6","3","0","5","16","69","11.5"
"James White","NE","28","29","6","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","63","21.0"
"Kalen Ballage","PIT","0","0","0","0","10","12","bye","3","7","5","9","8","0","0","0","0","0","7","61","6.8"
"Patrick Taylor Jr.","GB","0","0","0","0","0","0","0","0","0","3","15","0","bye","0","0","0","12","31","61","12.2"
"Michael Burton","KC","5","5","0","4","2","6","0","0","0","0","0","bye","7","5","6","13","6","0","59","5.9"
"Derek Watt","PIT","4","0","7","2","9","6","bye","0","7","6","0","2","6","5","0","0","5","0","59","5.4"
"Marlon Mack","IND","0","13","0","22","10","9","4","1","0","0","0","0","0","bye","0","0","0","0","59","9.8"
"Jonathan Williams","WAS","0","0","0","0","0","0","0","0","bye","0","0","0","0","10","2","24","8","11","55","11.0"
"Austin Walter","NYJ","0","0","0","0","0","bye","0","0","0","0","0","16","8","0","6","0","25","0","55","13.8"
"Andy Janovich","CLE","11","11","0","5","0","0","0","0","4","0","0","0","bye","16","0","6","0","0","53","8.8"
"J.J. Taylor","NE","0","5","10","4","0","0","20","0","0","13","0","0","0","bye","0","0","0","0","52","10.4"
"Tory Carter","TEN","0","0","3","0","0","0","0","8","0","9","9","20","bye","0","0","0","0","0","49","9.8"
"Alex Armah Jr.","Multi","0","2","7","3","0","0","10","9","10","0","3","0","0","0","2","0","0","1","47","5.2"
"Wayne Gallman Jr.","Multi","0","0","0","10","3","0","3","0","0","23","2","5","0","0","0","0","0","0","46","6.6"
"Khari Blasingame","TEN","9","0","0","0","0","9","0","0","0","0","0","5","bye","0","0","9","0","14","46","9.2"
"Gabe Nabers","LAC","9","2","9","5","0","3","bye","0","0","0","0","0","0","0","4","0","10","0","42","6.0"
"JaMycal Hasty","SF","16","25","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","41","20.5"
"Jonathan Ward","ARI","0","0","0","0","0","7","1","0","0","0","0","bye","0","0","11","9","8","5","41","4.6"
"Patrick Laird","MIA","0","0","0","0","0","0","0","10","0","16","11","0","0","bye","0","0","0","0","37","12.3"
"Trayveon Williams","CIN","0","0","0","0","0","12","0","0","0","bye","0","0","0","0","0","0","0","24","36","9.0"
"Ryquell Armstead","JAC","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","14","20","34","17.0"
"Jermar Jefferson","DET","0","0","0","0","0","0","0","11","bye","3","0","5","8","0","6","0","0","0","33","6.6"
"Jason Huntley","PHI","0","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","31","31","31.0"
"Kene Nwangwu","MIN","0","0","0","0","0","0","bye","0","0","0","0","2","9","0","5","12","0","1","29","3.2"
"Kylin Hill","GB","14","5","0","0","2","0","5","0","0","0","0","0","bye","0","0","0","0","0","26","3.3"
"Rodney Smith","CAR","0","0","0","26","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","26","26.0"
"Mike Boone","DEN","0","0","0","0","0","6","0","0","0","0","bye","0","17","0","0","0","0","0","23","7.7"
"La'Mical Perine","NYJ","0","0","0","0","0","bye","0","6","0","0","0","0","0","17","0","0","0","0","23","11.5"
"Wendell Smallwood","WAS","0","0","0","0","0","0","0","0","bye","0","0","0","5","0","0","0","16","0","21","10.5"
"Anthony McFarland Jr.","PIT","0","0","0","0","0","0","bye","7","0","0","0","12","0","0","0","0","0","0","19","9.5"
"Scottie Phillips","HOU","0","0","0","0","0","0","0","15","4","bye","0","0","0","0","0","0","0","0","19","9.5"
"Jake Funk","LAR","0","3","14","0","0","0","0","0","0","0","bye","0","0","0","0","2","0","0","19","3.8"
"Jaylen Samuels","HOU","0","0","0","0","0","0","0","0","0","bye","0","0","8","0","0","1","9","0","18","6.0"
"Deon Jackson","IND","0","0","0","0","0","0","0","0","0","0","7","0","8","bye","0","0","1","0","16","3.2"
"Ryan Nall","CHI","0","0","0","0","0","0","5","7","2","bye","0","0","0","0","0","0","1","0","15","3.0"
"Reggie Bonnafon","CAR","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","14","0","0","14","14.0"
"Johnny Stanton IV","CLE","0","0","0","0","0","2","11","0","0","1","0","0","bye","0","0","0","0","0","14","4.7"
"Dwayne Washington","NO","0","0","0","5","0","bye","0","0","0","4","4","0","0","0","0","0","0","0","13","1.6"
"Cam Akers","LAR","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","13","13","13.0"
"Gary Brightwell","NYG","8","0","2","0","0","0","0","0","0","bye","1","1","0","0","0","0","0","0","12","1.7"
"Trenton Cannon","Multi","9","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1.1"
"Kenjon Barner","TB","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","9","9","3.0"
"Trey Ragas","LV","0","0","0","0","0","0","0","bye","0","0","0","0","0","9","0","0","0","0","9","9.0"
"Nick Bawden","NYJ","0","0","0","0","0","bye","0","0","0","0","8","0","0","0","0","0","0","0","8","8.0"
"JaQuan Hardy","DAL","0","0","0","0","0","0","bye","0","0","0","0","0","0","2","0","0","0","6","8","4.0"
"Darius Bradwell","LAC","0","0","0","0","0","0","bye","0","0","0","0","7","0","0","0","0","0","0","7","7.0"
"Buddy Howell","LAR","0","0","0","0","0","0","0","6","0","0","bye","0","0","0","0","0","0","0","6","1.2"
"Jacques Patrick","SF","0","0","0","6","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","6","6.0"
"Darrynton Evans","TEN","0","0","0","0","0","0","6","0","0","0","0","0","bye","0","0","0","0","0","6","6.0"
"Mekhi Sargent","Multi","1","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","6","1.5"
"Ito Smith","DAL","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","5","5","5.0"
"Raheem Mostert","SF","4","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","4","4.0"
"Damarea Crockett","DEN","0","0","4","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","4","4.0"
"Devine Ozigbo","Multi","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","2.0"
"John Kelly Jr.","CLE","0","0","0","0","0","0","3","0","0","0","0","0","bye","0","0","0","0","0","3","3.0"
"Artavis Pierce","CHI","0","0","0","0","0","3","0","0","0","bye","0","0","0","0","0","0","0","0","3","3.0"
"Cullen Gillaspia","NYG","0","0","1","0","0","0","1","0","0","bye","0","0","0","0","0","0","0","0","2","0.5"
"Nate McCrary","BAL","0","0","0","0","0","0","0","bye","0","0","0","0","2","0","0","0","0","0","2","2.0"
"Taiwan Jones","BUF","0","0","0","0","0","0","bye","1","0","0","0","0","0","0","0","0","0","0","1","0.1"
"Nathan Cottrell","JAC","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","1","0","0","1","0.3"
"Nick Ralston","DAL","0","0","1","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","1","1.0"
""
""
