"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Najee Harris","PIT","58","53","79","48","42","63","bye","62","59","76","52","36","58","71","49","56","78","40","980","57.6"
"Ezekiel Elliott","DAL","70","44","53","46","47","63","bye","55","33","38","46","47","45","54","44","42","45","37","809","47.6"
"Jonathan Taylor","IND","42","30","29","36","36","31","47","59","43","54","57","49","55","bye","51","55","41","52","767","45.1"
"Austin Ekeler","LAC","47","45","49","45","53","34","bye","45","46","42","53","48","47","33","27","0","39","78","731","45.7"
"Devin Singletary","BUF","64","43","34","32","15","35","bye","25","48","22","21","45","28","64","65","54","61","62","718","42.2"
"Joe Mixon","CIN","54","46","35","40","19","45","34","42","47","bye","53","49","50","40","31","62","50","0","697","43.6"
"David Montgomery","CHI","41","52","37","36","0","0","0","0","53","bye","56","59","53","52","51","58","45","49","642","49.4"
"Alvin Kamara","NO","45","37","52","59","49","bye","61","51","52","0","0","0","0","52","37","31","45","56","627","48.2"
"Josh Jacobs","LV","45","0","0","36","46","36","24","bye","34","31","31","57","50","47","45","48","38","57","625","41.7"
"Leonard Fournette","TB","42","31","26","64","46","47","39","37","bye","31","46","54","61","66","33","0","0","0","623","44.5"
"Dalvin Cook","MIN","59","47","0","33","0","66","bye","47","43","65","53","29","0","54","57","0","29","26","608","46.8"
"Antonio Gibson","WAS","36","43","31","37","47","23","30","23","bye","46","33","57","55","46","43","22","0","32","604","37.8"
"James Conner","ARI","34","24","25","33","29","41","21","22","54","45","68","bye","48","75","33","0","0","46","598","39.9"
"Mike Davis","ATL","54","46","37","51","50","bye","38","34","33","20","26","30","38","39","27","26","27","18","594","34.9"
"Aaron Jones","GB","28","45","46","45","44","35","41","48","40","34","0","40","bye","29","39","33","31","0","578","38.5"
"Myles Gaskin","MIA","29","45","43","12","37","25","46","40","54","42","53","37","44","bye","26","20","15","7","575","33.8"
"Darrel Williams","KC","14","14","27","24","37","59","46","52","35","45","36","bye","26","23","21","29","49","31","568","33.4"
"D'Andre Swift","DET","63","36","35","52","50","49","52","44","bye","66","35","10","0","0","0","0","36","32","560","43.1"
"Javonte Williams","DEN","33","28","27","31","25","38","21","23","37","33","bye","36","60","33","44","22","30","30","551","32.4"
"Kyle Juszczyk","SF","20","41","48","62","42","bye","0","31","24","40","38","44","32","31","30","32","34","0","549","36.6"
"Sony Michel","LAR","3","16","48","7","23","12","8","20","31","14","bye","12","66","58","48","63","57","52","538","31.6"
"James Robinson","JAC","47","41","40","53","48","56","bye","8","0","39","29","38","26","35","59","11","0","0","530","37.9"
"Devonta Freeman","BAL","0","10","9","6","20","21","29","bye","57","42","47","40","51","49","39","33","48","27","528","33.0"
"Devontae Booker","NYG","24","10","0","7","60","54","59","56","41","bye","21","10","23","28","28","41","27","30","519","32.4"
"Melvin Gordon III","DEN","33","41","36","30","36","43","29","30","41","25","bye","26","0","34","31","23","30","26","514","32.1"
"Saquon Barkley","NYG","29","58","60","56","6","0","0","0","0","bye","36","52","49","38","37","26","30","36","513","39.5"
"Darrell Henderson Jr.","LAR","49","40","0","61","44","54","57","41","47","41","bye","50","0","0","18","5","0","0","507","42.3"
"Nick Chubb","CLE","31","35","40","37","40","0","0","33","27","0","42","30","bye","43","37","41","30","16","482","34.4"
"Chase Edmonds","ARI","40","39","44","52","37","28","49","35","1","0","0","bye","0","0","29","60","62","0","476","39.7"
"AJ Dillon","GB","16","19","18","29","21","25","13","29","24","36","44","42","bye","35","23","26","39","37","476","28.0"
"Cordarrelle Patterson","ATL","24","24","26","23","46","bye","46","32","33","15","0","29","34","34","37","25","27","18","473","29.6"
