"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"De'Von Achane","MIA","0","6","30","39","26","0","0","0","0","bye","3","0","37","33","24","36","33","33","300","27.3"
"Dameon Pierce","HOU","36","38","30","42","34","21","bye","25","0","0","0","11","26","8","4","11","12","0","298","22.9"
"Emari Demercado","ARI","3","8","11","25","44","33","53","42","0","0","0","14","2","bye","18","23","9","7","292","20.9"
"Matt Breida","NYG","16","2","41","55","42","18","11","8","18","13","6","10","bye","10","24","5","4","5","288","16.9"
"D'Onta Foreman","CHI","21","0","0","0","0","40","33","21","40","38","18","0","bye","39","19","0","0","0","269","29.9"
"Jerick McKinnon","KC","20","22","22","22","18","19","25","25","15","bye","24","0","0","30","22","0","0","0","264","22.0"
"Rico Dowdle","DAL","9","18","11","6","10","10","bye","23","14","22","21","12","16","23","15","11","0","26","247","15.4"
"Zamir White","LV","5","6","1","7","0","4","14","1","5","1","0","2","bye","5","45","42","43","48","229","15.3"
"Clyde Edwards-Helaire","KC","14","11","23","6","9","9","7","2","0","bye","4","12","17","32","40","30","0","11","227","15.1"
"Patrick Taylor Jr.","GB","7","11","31","0","21","bye","0","0","0","0","0","27","20","32","26","20","20","11","226","20.5"
"Michael Carter","Multi","12","15","15","18","20","13","0","15","25","9","0","27","13","0","18","2","13","9","224","14.9"
"Ameer Abdullah","LV","7","6","12","15","11","9","10","10","8","10","14","12","bye","15","17","12","30","18","216","12.7"
"C.J. Ham","MIN","22","13","8","5","18","16","11","19","13","10","10","11","bye","8","11","17","4","20","216","12.7"
"Royce Freeman","LAR","0","0","0","0","0","0","29","33","24","bye","42","23","4","8","17","0","0","27","207","23.0"
"Dalvin Cook","NYJ","27","17","16","15","11","9","bye","8","7","10","14","19","18","16","10","5","0","0","202","13.5"
"D'Ernest Johnson","JAC","1","6","12","1","1","2","2","3","bye","12","17","30","25","20","18","17","12","15","194","11.4"
"Jaleel McLaughlin","DEN","5","3","13","16","21","21","10","8","bye","11","8","2","9","13","8","17","19","9","193","11.4"
"Michael Burton","DEN","6","13","7","11","6","12","12","14","bye","12","9","16","8","14","9","16","14","10","189","11.1"
"Jakob Johnson","LV","27","8","7","25","10","17","16","5","0","0","0","0","bye","8","15","19","15","14","186","14.3"
"Khari Blasingame","CHI","7","5","5","15","26","8","12","14","7","0","16","6","bye","14","9","18","17","7","186","11.6"
"Keith Smith","ATL","10","17","10","17","22","16","21","4","0","21","bye","11","15","11","10","0","0","0","185","14.2"
"Cordarrelle Patterson","ATL","0","0","0","1","5","10","26","12","9","22","bye","16","21","12","14","13","8","8","177","12.6"
"Pierre Strong Jr.","CLE","0","13","8","9","bye","1","23","24","5","0","3","2","10","5","12","13","14","27","169","11.3"
"Elijah Mitchell","SF","10","0","28","0","0","7","4","7","bye","17","8","17","5","0","0","0","26","32","161","14.6"
"Chase Edmonds","TB","8","3","0","0","bye","0","0","8","8","18","15","7","9","12","12","24","15","17","156","12.0"
"Trayveon Williams","CIN","16","10","14","6","12","9","bye","11","13","14","19","8","5","1","4","3","10","1","156","9.2"
"Hunter Luepke","DAL","4","18","8","14","6","8","bye","6","5","5","8","4","11","8","4","11","8","25","153","9.0"
"Jeff Wilson Jr.","MIA","0","0","0","0","0","0","7","19","11","bye","0","23","5","1","8","15","34","25","148","14.8"
"Tank Bigsby","JAC","15","13","9","8","13","17","8","6","bye","10","10","2","2","1","1","0","17","9","141","8.8"
"Cam Akers","Multi","28","0","0","14","21","9","27","17","23","0","0","0","0","0","0","0","0","0","139","19.9"
"Salvon Ahmed","MIA","19","12","0","4","0","24","18","19","19","bye","20","0","0","0","0","0","0","0","135","16.9"
"Keaton Mitchell","BAL","0","0","0","0","0","0","2","0","14","13","24","33","bye","24","25","0","0","0","135","19.3"
"Craig Reynolds","DET","0","10","20","1","13","43","7","24","bye","3","2","1","2","1","0","3","0","2","132","9.4"
"Tony Jones Jr.","Multi","7","40","30","11","0","0","0","0","21","7","16","0","0","0","0","0","0","0","132","18.9"
"Nick Bawden","NYJ","8","2","5","4","17","6","bye","5","3","5","2","6","9","22","10","0","8","15","127","7.9"
"Darrell Henderson Jr.","LAR","0","0","0","0","0","0","39","29","34","bye","24","0","0","0","0","0","0","0","126","31.5"
"Adam Prentice","NO","11","18","11","9","8","0","0","0","0","1","bye","8","9","10","10","5","15","10","125","9.6"
"Keaontay Ingram","ARI","7","10","9","0","0","28","0","29","22","14","0","0","0","bye","0","0","0","0","119","17.0"
"Kendre Miller","NO","0","0","21","5","26","18","3","9","6","0","bye","0","0","0","0","0","0","24","112","14.0"
"Isaiah Spiller","LAC","0","4","16","15","bye","3","0","8","0","0","0","0","0","12","24","17","12","0","111","12.3"
"Dare Ogunbowale","HOU","0","16","0","0","0","0","bye","0","0","0","1","0","11","16","15","31","11","7","108","13.5"
"Trey Sermon","IND","0","0","18","10","3","7","0","0","3","1","bye","1","1","3","29","14","18","0","108","9.0"
"Mike Boone","HOU","25","0","4","4","7","10","bye","10","19","14","9","0","0","0","0","0","0","0","102","11.3"
"Reggie Gilliam","BUF","4","9","10","10","7","5","4","2","0","1","5","6","bye","10","14","2","4","6","99","6.2"
"Jordan Mason","SF","0","0","4","8","13","15","0","0","bye","3","2","0","3","6","13","0","5","27","99","9.0"
"Chris Rodriguez Jr.","WAS","3","2","1","0","0","6","9","0","0","0","16","4","12","bye","20","24","0","0","97","9.7"
"DeeJay Dallas","SEA","11","9","10","4","bye","4","14","0","0","0","7","7","28","1","0","1","0","0","96","8.7"
"Darrynton Evans","Multi","0","0","0","0","0","24","34","18","6","6","0","5","0","0","0","0","0","0","93","15.5"
"Ronnie Rivers","LAR","0","4","0","23","9","4","0","0","0","bye","0","0","0","0","0","15","4","34","93","13.3"
"Chase Brown","CIN","0","1","1","1","1","4","bye","0","0","0","0","0","11","18","13","14","11","18","93","8.5"
"Ty Johnson","BUF","0","0","0","0","0","0","1","0","0","1","16","11","bye","16","20","0","13","13","91","11.4"
"Israel Abanikanda","NYJ","0","0","0","0","0","0","bye","0","0","0","10","0","0","5","22","16","19","5","77","12.8"
"Boston Scott","PHI","8","10","0","0","0","5","0","1","0","bye","7","5","6","3","1","2","0","20","68","6.2"
"Eric Gray","NYG","0","0","0","0","30","1","0","0","0","0","0","2","bye","1","11","0","6","14","65","9.3"
"Deuce Vaughn","DAL","8","13","0","22","5","0","bye","0","0","5","0","0","0","0","0","0","8","0","61","10.2"
"Damien Harris","BUF","9","14","9","16","11","1","0","0","0","0","0","0","bye","0","0","0","0","0","60","10.0"
"Ke'Shawn Vaughn","TB","0","0","0","21","bye","12","18","4","5","0","0","0","0","0","0","0","0","0","60","12.0"
"La'Mical Perine","KC","0","0","0","0","0","0","0","0","4","bye","0","1","0","0","0","3","4","47","59","11.8"
"Melvin Gordon III","BAL","0","0","29","11","0","0","0","0","0","0","0","0","bye","0","0","0","8","8","56","14.0"
"Nick Chubb","CLE","36","18","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","0","54","27.0"
"Deon Jackson","Multi","51","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","52","26.0"
"Raheem Blackshear","CAR","0","0","0","0","0","12","bye","10","7","7","2","0","2","4","1","1","2","3","51","4.6"
"Tyler Goodson","IND","0","0","0","0","0","0","0","0","0","0","bye","0","3","6","19","14","3","5","50","8.3"
"Alex Armah Jr.","WAS","0","0","0","0","0","0","0","6","10","6","0","0","0","bye","8","4","5","8","47","6.7"
"Gary Brightwell","NYG","11","2","9","19","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","41","10.3"
"Ty Montgomery II","NE","7","3","0","1","15","3","1","0","0","1","bye","2","3","0","0","0","0","0","36","4.0"
"Chris Brooks","MIA","0","0","13","0","7","11","0","0","0","bye","0","0","0","0","0","0","5","0","36","9.0"
"Emanuel Wilson","GB","0","5","8","0","1","bye","5","0","8","3","6","0","0","0","0","0","0","0","36","5.1"
"Kevin Harris","NE","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","7","10","11","6","34","8.5"
"Sean Tucker","TB","10","17","4","0","bye","0","0","0","0","1","0","0","0","0","0","0","0","0","32","8.0"
