"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"58","Corey Clement (ARI)","1","1","1.0","1","8.3%","1","1","100.0%","0","0.0","0","33.3%","0","11","7.1","0.6","0.2%"
"59","Jalen Richard (FA)","2","7","3.5","1","10.5%","0","0","0%","0","0","0","0.0%","0","16","6.7","0.4","1.0%"
"60","C.J. Anderson (FA)","1","4","4.0","1","4.5%","0","0","0%","0","0","0","0.0%","0","11","6.4","0.6","1.0%"
"61","Justin Jackson (FA)","2","4","2.0","1","18.2%","0","0","0%","0","0","0","0.0%","0","13","6.4","0.5","0.1%"
"62","Trenton Cannon (FA)","1","4","4.0","1","9.1%","0","1","0.0%","0","0","0","100.0%","0","16","6.4","0.4","0.0%"
"63","Jacquizz Rodgers (FA)","1","2","2.0","1","5.9%","0","0","0%","0","0","0","0.0%","0","16","6.2","0.4","0.0%"
"64","Dion Lewis (FA)","5","2","0.4","1","22.7%","0","0","0%","0","0","0","0%","0","16","6.2","0.4","2.0%"
"65","Ty Montgomery (NE)","1","2","2.0","1","5.6%","0","1","0.0%","0","0","0","50.0%","0","13","6.2","0.5","0.6%"
"66","Kerryon Johnson (FA)","2","1","0.5","1","11.8%","0","0","0%","0","0","0","0%","0","10","6.1","0.6","0.0%"
"67","Jamaal Williams (NO)","2","1","0.5","1","33.3%","0","0","0%","0","0","0","0.0%","0","16","6.1","0.4","88.9%"
"68","Stevan Ridley (FA)","2","1","0.5","1","9.5%","0","0","0%","0","0","0","0.0%","0","10","6.1","0.6","0.0%"
"69","Josh Adams (FA)","5","1","0.2","1","41.7%","0","0","0%","0","0","0","0.0%","0","16","6.1","0.4","0.0%"
"70","Chris Ivory (FA)","2","1","0.5","1","28.6%","0","0","0%","0","0","0","0%","0","13","6.1","0.5","0.0%"
"71","Ronald Jones II (DAL)","2","-1","-0.5","1","11.8%","0","0","0%","0","0","0","0.0%","0","9","5.9","0.7","1.8%"
"72","LeSean McCoy (FA)","4","-4","-1.0","1","57.1%","0","0","0%","0","0","0","0%","0","14","5.6","0.4","2.0%"
"73","Ito Smith (FA)","4","-5","-1.3","1","30.8%","0","0","0%","0","0","0","0.0%","0","14","5.5","0.4","0.0%"
"74","Kenyan Drake (FA)","1","0","0.0","0","50.0%","1","2","50.0%","3","3.0","1","66.7%","1","16","5.3","0.3","0.6%"
"75","Alfred Morris (FA)","8","2","0.3","1","53.3%","0","0","0%","0","0","0","0.0%","1","12","4.2","0.4","0.0%"
"76","Devontae Booker (FA)","0","0","0","0","0.0%","1","1","100.0%","2","2.0","0","100.0%","0","16","1.2","0.1","0.0%"
"77","Jordan Wilkins (FA)","1","-2","-2.0","0","5.9%","1","1","100.0%","0","0.0","0","33.3%","0","16","0.8","0.1","0.0%"
"78","Anthony Sherman (FA)","0","0","0","0","0.0%","1","1","100.0%","-2","-2.0","0","16.7%","0","16","0.8","0.1","0.0%"
"79","John Kelly Jr. (CLE)","1","4","4.0","0","4.2%","0","0","0%","0","0","0","0.0%","0","4","0.4","0.1","0.1%"
"80","Gus Edwards (BAL)","2","3","1.5","0","11.1%","0","0","0%","0","0","0","0.0%","0","11","0.3","0.0","10.8%"
"81","Dalvin Cook (FA)","2","3","1.5","0","25.0%","0","0","0%","0","0","0","0%","0","11","0.3","0.0","94.1%"
"82","Brian Hill (FA)","1","2","2.0","0","7.7%","0","0","0%","0","0","0","0.0%","0","10","0.2","0.0","0.0%"
"83","Wayne Gallman Jr. (FA)","1","2","2.0","0","5.9%","0","1","0.0%","0","0","0","50.0%","0","15","0.2","0.0","0.0%"
"84","Marcus Murphy (FA)","1","1","1.0","0","14.3%","0","0","0%","0","0","0","0%","0","11","0.1","0.0","0.0%"
"85","Frank Gore (FA)","1","1","1.0","0","50.0%","0","0","0%","0","0","0","0.0%","0","14","0.1","0.0","12.1%"
"86","Bilal Powell (FA)","1","1","1.0","0","9.1%","0","0","0%","0","0","0","0.0%","0","7","0.1","0.0","0.0%"
"87","Malcolm Brown (FA)","1","1","1.0","0","4.2%","0","0","0%","0","0","0","0.0%","0","12","0.1","0.0","0.0%"
"88","C.J. Ham (MIN)","1","0","0.0","0","12.5%","0","0","0%","0","0","0","0%","0","15","0.0","0.0","0.1%"
"89","Chris Thompson (FA)","2","0","0.0","0","14.3%","0","0","0%","0","0","0","0%","0","10","0.0","0.0","0.0%"
"90","Tommy Bohanon (FA)","1","0","0.0","0","7.1%","0","1","0.0%","0","0","0","25.0%","0","16","0.0","0.0","0.0%"
"91","Taquan Mizzell (NYG)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","33.3%","0","9","0.0","0.0","0.0%"
"92","Keith Smith (ATL)","1","0","0.0","0","5.3%","0","0","0%","0","0","0","0.0%","0","16","0.0","0.0","0.1%"
"93","Jamize Olawale (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","100.0%","0","16","0.0","0.0","0.0%"
"94","Roosevelt Nix (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","50.0%","0","16","0.0","0.0","0.0%"
"95","Patrick Ricard (BAL)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","10","0.0","0.0","0.1%"
"96","Elijhaa Penny (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","14","0.0","0.0","0.0%"
"97","Darren Sproles (FA)","0","0","0","0","0.0%","0","2","0.0%","0","0","0","66.7%","0","6","0.0","0.0","0.1%"
"98","DeAndre Washington (FA)","2","0","0.0","0","10.5%","0","0","0%","0","0","0","0.0%","0","10","0.0","0.0","11.0%"
"99","Danny Vitale (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","100.0%","0","5","0.0","0.0","0.0%"
"100","Jeff Wilson Jr. (MIA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","50.0%","0","6","0.0","0.0","64.9%"
"101","Kenjon Barner (FA)","1","-1","-1.0","0","4.5%","0","0","0%","0","0","0","0.0%","0","9","-0.1","0.0","0.0%"
"102","Devonta Freeman (FA)","2","-1","-0.5","0","15.4%","0","1","0.0%","0","0","0","33.3%","0","2","-0.1","-0.1","0.0%"
"103","Roc Thomas (FA)","1","-2","-2.0","0","12.5%","0","0","0%","0","0","0","0%","0","5","-0.2","0.0","0.0%"
"104","Rashaad Penny (PHI)","1","-2","-2.0","0","5.0%","0","0","0%","0","0","0","0.0%","0","14","-0.2","0.0","86.0%"
"105","Kyle Juszczyk (SF)","1","-5","-5.0","0","6.7%","0","0","0%","0","0","0","0.0%","0","16","-0.5","0.0","0.4%"
""
""
