"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Todd Gurley II (FA)","22","28","1.3","11","91.7%","0","2","0.0%","0","0","0","100.0%","0","14","68.8","4.9","0.1%"
"2","Alvin Kamara (NO)","16","25","1.6","9","51.6%","3","3","100.0%","8","2.7","1","42.9%","0","15","66.3","4.4","93.7%"
"3","James Conner (ARI)","17","18","1.1","9","81.0%","0","0","0%","0","0","0","0.0%","0","13","55.8","4.3","94.4%"
"4","Derrick Henry (TEN)","17","21","1.2","8","77.3%","0","0","0%","0","0","0","0%","0","16","50.1","3.1","99.9%"
"5","Kareem Hunt (FA)","11","18","1.6","6","55.0%","1","2","50.0%","5","5.0","1","33.3%","0","11","45.3","4.1","11.9%"
"6","Chris Carson (FA)","16","13","0.8","7","80.0%","0","0","0%","0","0","0","0.0%","0","14","43.3","3.1","0.3%"
"7","Christian McCaffrey (SF)","16","18","1.1","6","72.7%","1","1","100.0%","2","2.0","1","100.0%","1","16","43.0","2.7","100.0%"
"8","Leonard Fournette (FA)","11","17","1.5","5","78.6%","1","1","100.0%","1","1.0","1","25.0%","0","8","38.8","4.9","17.7%"
"9","Joe Mixon (CIN)","13","12","0.9","6","81.3%","0","1","0.0%","0","0","0","100.0%","0","14","37.2","2.7","98.2%"
"10","Marlon Mack (FA)","13","12","0.9","6","76.5%","0","0","0%","0","0","0","0.0%","0","12","37.2","3.1","6.0%"
"11","Peyton Barber (FA)","14","16","1.1","5","82.4%","1","1","100.0%","5","5.0","1","100.0%","1","16","37.1","2.3","1.0%"
"12","David Johnson (FA)","9","9","1.0","6","100.0%","0","0","0%","0","0","0","0%","0","16","36.9","2.3","0.0%"
"13","Damien Williams (FA)","4","6","1.5","3","20.0%","3","3","100.0%","6","2.0","2","50.0%","0","16","34.2","2.1","0.0%"
"14","Melvin Gordon III (BAL)","5","14","2.8","4","45.5%","1","1","100.0%","2","2.0","1","100.0%","0","12","32.6","2.7","1.4%"
"15","Phillip Lindsay (FA)","8","19","2.4","5","61.5%","0","0","0%","0","0","0","0.0%","0","15","31.9","2.1","0.0%"
"16","Nick Chubb (CLE)","9","14","1.6","5","45.0%","0","0","0%","0","0","0","0.0%","0","16","31.4","2.0","99.9%"
"17","Saquon Barkley (NYG)","16","14","0.9","5","94.1%","0","1","0.0%","0","0","0","50.0%","0","16","31.4","2.0","99.9%"
"18","LeGarrette Blount (FA)","12","11","0.9","5","70.6%","0","0","0%","0","0","0","0%","0","16","31.1","1.9","0.1%"
"19","Carlos Hyde (FA)","11","5","0.5","5","55.0%","0","0","0%","0","0","0","0.0%","0","14","30.5","2.2","0.0%"
"20","Jordan Howard (FA)","11","16","1.5","5","91.7%","0","1","0.0%","0","0","0","33.3%","1","16","29.6","1.9","0.0%"
"21","James White (FA)","9","3","0.3","2","30.0%","2","2","100.0%","7","3.5","2","40.0%","0","16","27.0","1.7","0.1%"
"22","Mark Ingram II (FA)","14","13","0.9","4","45.2%","1","1","100.0%","1","1.0","0","14.3%","0","12","26.4","2.2","0.1%"
"23","Lamar Miller (FA)","7","8","1.1","3","63.6%","1","1","100.0%","4","4.0","1","100.0%","0","14","26.2","1.9","0.0%"
"24","James Develin (FA)","4","6","1.5","4","13.3%","1","1","100.0%","-1","-1.0","0","20.0%","0","16","25.5","1.6","0.0%"
"25","Sony Michel (FA)","13","15","1.2","4","43.3%","0","0","0%","0","0","0","0.0%","0","13","25.5","2.0","0.2%"
"26","Adrian Peterson (FA)","8","7","0.9","4","57.1%","0","0","0%","0","0","0","0%","0","16","24.7","1.5","2.1%"
"27","Matt Breida (NYG)","6","5","0.8","2","40.0%","1","1","100.0%","5","5.0","1","50.0%","0","14","20.0","1.4","0.9%"
"28","Elijah McGuire (FA)","6","10","1.7","3","54.5%","0","0","0%","0","0","0","0.0%","0","8","19.0","2.4","0.0%"
"29","Doug Martin (FA)","11","7","0.6","3","57.9%","0","0","0%","0","0","0","0.0%","0","16","18.7","1.2","0.0%"
"30","Royce Freeman (LAR)","5","5","1.0","3","38.5%","0","0","0%","0","0","0","0.0%","0","14","18.5","1.3","1.0%"
"31","Kapri Bibbs (FA)","4","5","1.3","3","28.6%","0","0","0%","0","0","0","0%","0","12","18.5","1.5","0.1%"
"32","Javorius Allen (FA)","6","4","0.7","3","33.3%","0","0","0%","0","0","0","0.0%","0","14","18.4","1.3","0.1%"
"33","Alex Collins (FA)","6","4","0.7","2","33.3%","1","1","100.0%","3","3.0","1","50.0%","1","10","17.7","1.8","19.0%"
"34","Zach Line (FA)","1","-1","-1.0","0","3.2%","3","3","100.0%","5","1.7","2","42.9%","0","16","15.4","1.0","0.0%"
"35","Tevin Coleman (FA)","6","-4","-0.7","0","46.2%","2","2","100.0%","9","4.5","2","66.7%","0","16","14.5","0.9","0.0%"
"36","Mike Davis (FA)","3","4","1.3","1","15.0%","1","1","100.0%","3","3.0","1","100.0%","0","15","13.7","0.9","1.0%"
"37","Cordarrelle Patterson (ATL)","4","6","1.5","1","13.3%","1","2","50.0%","1","1.0","1","40.0%","0","15","13.7","0.9","17.1%"
"38","T.J. Yeldon (FA)","2","4","2.0","1","14.3%","1","2","50.0%","1","1.0","1","50.0%","0","14","13.5","1.0","0.0%"
"39","Isaiah Crowell (FA)","3","10","3.3","2","27.3%","0","0","0%","0","0","0","0.0%","0","13","13.0","1.0","0.1%"
"40","Spencer Ware (FA)","5","8","1.6","2","25.0%","0","0","0%","0","0","0","0.0%","0","13","12.8","1.0","0.0%"
"41","Wendell Smallwood (FA)","2","8","4.0","2","16.7%","0","0","0%","0","0","0","0.0%","0","16","12.8","0.8","0.0%"
"42","Marshawn Lynch (FA)","3","2","0.7","2","15.8%","1","1","100.0%","-4","-4.0","0","100.0%","0","6","12.8","2.1","0.3%"
"43","Kenneth Dixon (FA)","3","7","2.3","2","16.7%","0","0","0%","0","0","0","0.0%","0","6","12.7","2.1","0.1%"
"44","Latavius Murray (BUF)","4","7","1.8","2","50.0%","0","0","0%","0","0","0","0%","0","16","12.7","0.8","1.8%"
"45","Aaron Jones (GB)","4","6","1.5","2","66.7%","0","0","0%","0","0","0","0.0%","0","12","12.6","1.1","98.5%"
"46","Jay Ajayi (FA)","4","6","1.5","2","33.3%","0","0","0%","0","0","0","0.0%","0","4","12.6","3.2","7.0%"
"47","Zach Zenner (FA)","3","5","1.7","2","17.6%","0","0","0%","0","0","0","0%","0","8","12.5","1.6","0.0%"
"48","Ezekiel Elliott (FA)","11","5","0.5","2","100.0%","0","0","0%","0","0","0","0.0%","0","15","12.5","0.8","49.2%"
"49","Austin Ekeler (LAC)","4","3","0.8","2","36.4%","0","0","0%","0","0","0","0.0%","0","14","12.3","0.9","100.0%"
"50","Giovani Bernard (FA)","3","3","1.0","2","18.8%","0","0","0%","0","0","0","0.0%","0","12","12.3","1.0","0.0%"
"51","Alfred Blue (FA)","4","3","0.8","2","36.4%","0","0","0%","0","0","0","0.0%","0","16","12.3","0.8","0.0%"
"52","Alex Armah Jr. (WAS)","4","2","0.5","2","18.2%","0","0","0%","0","0","0","0.0%","0","16","12.2","0.8","0.0%"
"53","Tarik Cohen (FA)","1","3","3.0","1","8.3%","0","1","0.0%","0","0","0","33.3%","0","16","10.3","0.6","0.0%"
"54","Duke Johnson Jr. (FA)","0","0","0","0","0.0%","1","2","50.0%","5","5.0","1","100.0%","0","16","7.5","0.5","0.0%"
"55","Nyheim Hines (BUF)","3","1","0.3","1","17.6%","1","2","50.0%","4","4.0","0","66.7%","0","16","7.5","0.5","1.9%"
"56","Brandon Bolden (LV)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","1","33.3%","0","16","7.4","0.5","0.2%"
"57","Jaylen Samuels (FA)","2","0","0.0","0","9.5%","1","1","100.0%","3","3.0","1","50.0%","0","14","7.3","0.5","0.0%"
