"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Christian McCaffrey","CAR","66","75","56","67","54","64","bye","53","61","72","69","74","72","70","72","63","51","1039","64.9"
"Ezekiel Elliott","DAL","37","53","48","56","66","75","55","bye","57","70","65","55","67","72","50","60","51","937","58.6"
"Leonard Fournette","JAC","50","62","54","68","76","55","72","58","55","bye","44","81","62","51","55","58","0","901","60.1"
"Todd Gurley II","LAR","53","42","47","66","65","0","46","32","bye","55","41","50","54","54","71","54","56","786","52.4"
"Le'Veon Bell","NYJ","71","57","50","bye","51","50","56","49","61","48","39","36","61","0","51","56","46","782","52.1"
"Saquon Barkley","NYG","54","60","23","0","0","0","60","61","58","57","bye","58","63","49","53","69","64","729","56.1"
"Chris Carson","SEA","39","43","37","47","62","64","63","41","63","70","bye","31","39","55","51","18","0","723","48.2"
"Nick Chubb","CLE","50","41","67","42","38","59","bye","40","45","56","51","43","39","38","35","39","31","714","44.6"
"Aaron Jones","GB","37","42","21","66","48","36","33","42","30","32","bye","41","38","35","35","52","75","663","41.4"
"Devonta Freeman","ATL","36","40","54","49","40","48","31","60","bye","30","0","0","60","45","53","58","54","658","47.0"
"Joe Mixon","CIN","28","38","35","42","41","29","38","42","bye","55","37","39","52","43","44","39","51","653","40.8"
"Alvin Kamara","NO","50","40","49","55","47","39","0","0","bye","52","42","43","40","55","42","44","28","626","44.7"
"Kenyan Drake","Multi","26","34","46","28","0","46","29","0","47","43","60","0","50","38","46","56","65","614","43.9"
"David Montgomery","CHI","27","27","41","48","30","bye","30","59","32","34","35","47","39","45","36","35","49","614","38.4"
"Miles Sanders","PHI","36","34","25","22","28","19","32","13","32","bye","61","63","61","50","55","59","23","613","38.3"
"Dalvin Cook","MIN","36","47","37","47","43","44","51","51","57","56","50","bye","24","33","28","0","0","604","43.1"
"Austin Ekeler","LAC","47","48","48","48","46","28","37","24","24","34","46","bye","32","29","30","33","45","599","37.4"
"Derrick Henry","TEN","36","30","37","47","36","36","46","39","38","36","bye","40","44","37","40","0","47","589","39.3"
"Tarik Cohen","CHI","51","22","32","28","29","bye","35","16","16","29","45","39","36","33","55","34","33","533","33.3"
"Devin Singletary","BUF","45","23","0","0","0","bye","21","40","41","46","52","52","52","60","46","52","0","530","44.2"
"Carlos Hyde","HOU","23","39","31","33","44","56","25","43","38","bye","21","29","21","40","42","39","5","529","33.1"
"Phillip Lindsay","DEN","33","39","41","25","28","28","27","36","23","bye","51","27","25","31","23","41","35","513","32.1"
"Duke Johnson Jr.","HOU","41","25","28","43","29","31","38","33","32","bye","35","29","37","39","21","29","21","511","31.9"
"Marlon Mack","IND","48","49","41","27","54","bye","51","39","39","32","21","0","0","26","25","31","27","510","36.4"
"Royce Freeman","DEN","29","43","36","34","32","37","42","37","24","bye","23","27","31","27","32","28","24","506","31.6"
