"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Mark Ingram II","BAL","25","45","50","32","52","31","30","bye","28","22","32","24","35","33","34","30","0","503","33.5"
"James White","NE","33","22","0","33","30","31","44","28","28","bye","32","21","68","40","25","33","22","490","32.7"
"Josh Jacobs","LV","40","30","25","34","49","0","37","30","42","30","43","23","34","0","43","0","0","460","35.4"
"Giovani Bernard","CIN","47","27","25","21","26","32","33","31","bye","18","30","21","12","29","22","51","18","443","27.7"
"David Johnson","ARI","76","34","65","54","52","52","3","0","0","29","8","bye","15","21","13","15","0","437","33.6"
"Latavius Murray","NO","18","22","12","17","23","28","64","61","bye","16","27","24","13","24","22","25","37","433","27.1"
"Melvin Gordon III","LAC","0","0","0","0","32","37","33","25","45","47","41","bye","40","29","25","37","36","427","35.6"
"Sony Michel","NE","23","34","17","28","38","41","31","28","15","bye","22","35","15","9","27","31","26","420","26.3"
"Ronald Jones II","TB","22","7","23","36","19","13","bye","21","42","38","20","32","21","27","34","37","23","415","25.9"
"Adrian Peterson","WAS","0","18","36","20","15","37","29","30","35","bye","17","20","23","28","32","35","28","403","26.9"
"Gus Edwards","BAL","29","16","22","21","20","33","21","bye","28","11","25","32","25","20","18","30","46","397","24.8"
"Kyle Juszczyk","SF","31","37","50","bye","34","0","0","0","0","39","39","23","25","27","25","24","34","388","32.3"
"Tevin Coleman","SF","18","0","0","bye","25","43","42","31","38","40","37","29","10","10","19","24","15","381","27.2"
"Jamaal Williams","GB","24","32","33","1","0","39","23","32","22","32","bye","38","27","25","24","21","0","373","26.6"
"Frank Gore","BUF","19","43","47","35","33","bye","30","17","21","22","20","22","15","13","19","2","14","372","23.3"
"Damien Williams","KC","45","39","0","0","34","21","17","25","43","60","12","bye","0","0","0","35","36","367","33.4"
"Dion Lewis","TEN","24","29","42","17","22","27","17","20","34","14","bye","8","11","23","24","43","11","366","22.9"
"Jaylen Samuels","PIT","22","21","14","26","15","0","bye","0","40","40","25","21","32","27","17","42","20","362","25.9"
"Dare Ogunbowale","TB","26","14","18","21","18","46","bye","27","21","22","29","13","23","23","21","27","12","361","22.6"
"Raheem Mostert","SF","20","32","24","bye","24","7","0","14","2","18","35","14","40","38","34","31","27","360","22.5"
"C.J. Ham","MIN","22","25","25","9","19","34","39","22","22","26","9","bye","11","30","30","17","14","354","22.1"
"Patrick Ricard","BAL","24","24","11","8","12","30","15","bye","25","18","26","30","26","20","19","27","27","342","21.4"
"Nyheim Hines","IND","17","13","18","35","17","bye","9","18","20","29","24","22","31","35","9","11","31","339","21.2"
"Peyton Barber","TB","25","40","26","19","20","19","bye","28","9","22","12","15","28","30","21","8","16","338","21.1"
"James Conner","PIT","31","31","36","38","46","29","bye","61","0","0","13","0","0","0","34","9","0","328","32.8"
"Ty Johnson","DET","8","12","11","11","bye","2","49","24","42","12","18","27","25","21","29","13","8","312","19.5"
"Chris Thompson","WAS","41","27","40","26","31","13","0","0","0","bye","0","0","23","24","18","38","30","311","28.3"
"Kareem Hunt","CLE","0","0","0","0","0","0","bye","0","0","38","38","42","44","34","43","34","36","309","38.6"
"Jalen Richard","LV","9","17","29","18","11","0","15","17","22","23","16","23","11","24","22","24","18","299","18.7"
"LeSean McCoy","KC","20","30","26","32","14","27","26","23","6","0","26","bye","24","24","17","0","0","295","22.7"
"Patrick Laird","MIA","0","0","0","0","bye","0","0","0","0","7","16","23","42","59","34","49","60","290","19.3"
"Jordan Howard","PHI","17","18","24","33","29","40","23","53","42","bye","0","0","0","0","0","0","1","280","28.0"
"Kerryon Johnson","DET","48","33","47","53","bye","39","11","0","0","0","0","0","0","0","0","16","27","274","34.3"
"DeAndre Washington","LV","5","15","9","13","13","0","14","9","7","6","9","12","15","39","11","40","54","271","16.9"
"Rex Burkhead","NE","32","17","56","12","0","0","0","13","25","bye","21","14","4","18","20","19","13","264","20.3"
"J.D. McKissic","DET","5","4","6","27","bye","13","18","16","26","57","14","11","17","16","12","7","8","257","16.1"
"Matt Breida","SF","28","21","32","bye","26","27","17","18","29","24","0","0","0","12","12","0","8","254","19.5"
"Kalen Ballage","MIA","20","21","23","8","bye","4","5","9","21","53","53","24","11","0","0","0","0","252","21.0"
"Brian Hill","ATL","0","0","0","0","0","0","17","11","bye","38","39","50","24","14","10","14","18","235","19.6"
"Malcolm Brown","LAR","21","25","17","22","3","35","0","0","bye","12","10","2","18","14","3","14","26","222","15.9"
"Zach Line","NO","10","21","11","7","19","13","27","32","bye","8","21","0","0","0","20","26","0","215","17.9"
"Alec Ingold","LV","15","5","7","25","16","0","16","7","14","12","16","9","10","8","17","24","7","208","13.0"
"Chase Edmonds","ARI","10","23","9","13","27","20","60","30","0","0","0","bye","0","11","0","0","4","207","15.9"
"Cordarrelle Patterson","CHI","20","15","9","7","2","bye","15","15","8","14","2","12","27","11","38","6","2","203","12.7"
"Tony Pollard","DAL","22","16","23","2","5","7","19","bye","13","3","12","12","11","0","23","4","27","199","13.3"
"Mark Walton","MIA","4","10","0","13","bye","31","38","50","51","0","0","0","0","0","0","0","0","197","28.1"
"Alexander Mattison","MIN","12","8","19","6","16","21","21","19","6","12","4","bye","26","27","0","0","0","197","15.2"
"Keith Smith","ATL","6","11","11","10","8","18","10","11","bye","10","16","11","16","13","9","18","18","196","12.3"
"Darrel Williams","KC","0","5","37","34","13","7","18","9","10","17","29","bye","17","0","0","0","0","196","16.3"
"Justice Hill","BAL","22","15","10","16","5","15","4","bye","10","12","8","18","4","6","10","13","19","187","11.7"
"Boston Scott","PHI","0","0","0","0","0","4","8","9","0","bye","14","3","0","38","35","20","55","186","16.9"
"Jordan Wilkins","IND","0","10","9","16","12","bye","14","6","13","7","0","1","30","9","24","22","0","173","12.4"
"Danny Vitale","GB","11","7","18","19","12","10","17","14","4","12","bye","9","12","12","5","8","0","170","11.3"
"Patrick DiMarco","BUF","31","13","9","14","9","bye","9","6","14","11","4","4","9","1","25","6","2","167","10.4"
"Bo Scarbrough","DET","0","0","0","0","bye","0","0","0","0","0","31","37","34","34","0","14","17","167","27.8"
"Benny Snell Jr.","PIT","0","2","3","6","0","29","bye","11","0","0","0","35","20","24","2","9","25","166","12.8"
"Bilal Powell","NYJ","0","0","1","bye","2","10","4","10","6","15","15","15","11","56","0","4","15","164","12.6"
"Wayne Gallman Jr.","NYG","14","8","39","46","6","0","10","13","13","12","bye","2","0","0","0","0","0","163","16.3"
"Ty Montgomery","NYJ","5","24","8","bye","8","6","7","6","2","5","15","12","4","23","13","9","4","151","9.4"
"T.J. Yeldon","BUF","2","3","29","44","31","bye","0","0","0","0","0","0","0","0","0","0","41","150","25.0"
"Rashaad Penny","SEA","14","25","0","0","11","0","2","18","11","3","bye","30","35","1","0","0","0","150","15.0"
"Ryquell Armstead","JAC","8","0","0","14","6","2","7","16","9","bye","14","4","6","15","2","4","43","150","9.4"
"Ito Smith","ATL","38","23","3","30","34","18","3","0","bye","0","0","0","0","0","0","0","0","149","21.3"
"Ameer Abdullah","MIN","4","7","1","7","10","6","1","3","8","5","8","bye","3","6","15","32","19","135","8.4"
"Wendell Smallwood","WAS","0","14","1","3","10","10","16","12","18","bye","28","16","0","2","0","0","4","134","8.9"
"Alex Armah Jr.","CAR","12","7","18","9","5","11","bye","1","19","11","8","13","4","5","4","4","3","134","8.4"
"Andy Janovich","DEN","0","0","0","9","19","22","13","28","25","bye","14","0","0","0","0","0","0","130","18.6"
"Dontrell Hilliard","CLE","12","0","1","25","4","9","bye","23","30","8","1","3","1","3","7","3","0","130","9.3"
"Elijhaa Penny","NYG","6","8","3","13","24","20","6","10","5","10","bye","3","6","4","8","0","1","127","7.9"
"Myles Gaskin","MIA","0","0","0","0","bye","0","0","0","0","5","7","16","16","13","34","34","0","125","17.9"
"Nick Bawden","DET","21","10","19","10","bye","21","7","14","9","11","2","0","0","0","0","0","0","124","12.4"
"C.J. Prosise","SEA","0","10","45","14","0","17","6","0","0","0","bye","0","0","10","10","11","0","123","13.7"
"Derek Watt","LAC","15","6","8","19","8","6","5","5","7","3","7","bye","4","17","5","5","2","122","7.6"
"Jamize Olawale","DAL","16","8","9","6","2","5","10","bye","6","5","11","7","5","11","10","4","3","118","7.4"
"Darwin Thompson","KC","2","4","5","3","0","0","0","2","0","5","0","bye","23","21","24","6","12","107","8.9"
"Darren Sproles","PHI","22","28","27","7","9","0","0","0","10","bye","0","0","0","0","0","0","0","103","17.2"
"Jon Hilliman","NYG","0","0","0","27","44","31","0","0","0","0","bye","0","0","0","0","0","0","102","34.0"
"Jonathan Williams","IND","0","0","0","0","0","bye","0","0","0","7","29","45","16","0","1","0","1","99","11.0"
"Anthony Sherman","KC","10","6","3","2","5","1","12","8","2","4","9","bye","6","3","14","4","9","98","6.1"
"Derrius Guice","WAS","23","0","0","0","0","0","0","0","0","bye","20","24","19","9","0","0","0","95","19.0"
"Brandon Bolden","NE","1","0","21","5","11","11","18","3","0","bye","10","7","1","2","1","3","0","94","6.3"
"Trey Edmunds","PIT","0","0","0","0","0","0","bye","2","17","21","33","12","3","3","1","0","1","93","8.5"
"Justin Jackson","LAC","16","17","28","0","0","0","0","0","5","0","0","bye","0","12","13","0","2","93","13.3"
"Darrell Henderson Jr.","LAR","2","0","0","0","0","17","26","28","bye","8","3","0","7","0","0","2","0","93","7.2"
"Travis Homer","SEA","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","6","28","50","84","5.3"
"Chandler Cox","MIA","3","6","2","1","bye","0","18","7","12","8","4","3","11","7","0","0","1","83","6.4"
"Mike Boone","MIN","2","0","5","0","0","0","0","0","0","0","0","bye","2","6","21","18","28","82","5.1"
"Spencer Ware","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","30","27","24","0","81","27.0"
"Mike Davis","Multi","40","15","1","0","4","0","0","11","0","0","0","0","0","0","0","0","8","79","6.6"
"Jakob Johnson","NE","0","0","2","18","32","19","0","0","0","bye","0","0","0","0","0","0","0","71","17.8"
"Michael Burton","WAS","0","0","0","0","0","0","6","8","5","bye","13","2","7","9","6","10","3","69","6.9"
"Reggie Bonnafon","CAR","0","0","4","0","11","3","bye","12","8","0","7","0","1","2","0","8","12","68","4.3"
"Khari Blasingame","Multi","0","0","0","0","0","0","0","0","0","0","0","15","10","13","13","4","13","68","11.3"
"Kenjon Barner","ATL","0","0","3","0","0","0","4","5","bye","10","14","13","6","0","3","2","5","65","4.6"
"Jeff Wilson Jr.","SF","0","15","21","bye","0","0","8","3","2","0","1","5","5","0","0","0","0","60","6.0"
"James Develin","NE","32","26","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","58","29.0"
"Qadree Ollison","ATL","0","0","0","0","0","0","0","0","bye","0","12","22","0","10","1","1","10","56","7.0"
"D'Ernest Johnson","CLE","9","23","0","0","5","1","bye","0","0","1","1","0","0","2","0","2","0","44","2.8"
"Tra Carson","Multi","0","0","0","0","24","0","0","19","0","0","0","0","0","0","0","0","0","43","14.3"
"Kerrith Whyte Jr.","Multi","0","0","0","0","0","0","0","0","0","0","0","7","8","8","6","7","4","40","6.7"
"C.J. Anderson","DET","24","12","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","36","18.0"
"Buddy Howell","HOU","0","1","1","0","0","2","0","3","0","bye","4","0","0","0","0","0","25","36","2.3"
"Roosevelt Nix","PIT","0","0","0","0","0","0","bye","19","15","0","0","0","0","0","0","0","0","34","11.3"
"Javorius Allen","NYG","0","0","0","0","0","0","0","0","0","0","bye","0","3","3","14","3","10","33","3.3"
"Troymaine Pope","LAC","0","0","0","28","0","0","0","0","0","0","1","bye","0","0","0","0","0","29","2.1"
"Devine Ozigbo","JAC","0","0","0","0","0","0","0","0","2","bye","4","0","0","0","0","0","23","29","2.9"
"Tyler Ervin","Multi","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","7","17","28","2.8"
"Zach Zenner","Multi","0","0","0","0","0","0","7","19","1","0","0","0","0","0","0","0","0","27","5.4"
"Devontae Booker","DEN","1","0","0","0","0","0","0","0","1","bye","5","3","0","2","5","4","5","26","1.6"
"Paul Perkins","Multi","0","0","0","0","0","0","0","6","3","15","0","0","0","0","0","0","0","24","6.0"
"Marshawn Lynch","SEA","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","23","23","23.0"
"T.J. Logan","TB","1","0","1","1","1","0","bye","0","2","4","1","7","5","0","0","0","0","23","1.9"
"Wes Hills","DET","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","23","0","0","23","23.0"
"Jay Ajayi","PHI","0","0","0","0","0","0","0","0","0","bye","0","8","8","5","0","0","0","21","7.0"
"Dalyn Dawkins","TEN","0","0","0","0","0","3","0","0","0","0","bye","0","0","0","0","16","0","19","9.5"
"Dwayne Washington","NO","0","0","0","0","0","0","1","6","bye","0","0","0","0","0","6","0","5","18","1.1"
"Ricky Ortiz","NO","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","17","17","17.0"
"Taiwan Jones","HOU","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","14","14","1.3"
"Tony Brooks-James","Multi","0","0","0","0","0","0","0","0","3","10","1","0","0","0","0","0","0","14","4.7"
"Cullen Gillaspia","HOU","0","3","4","1","0","2","0","3","0","bye","0","0","0","0","0","0","0","13","0.8"
"Josh Adams","NYJ","0","0","0","bye","0","0","0","0","0","0","7","5","0","0","0","0","0","12","4.0"
"Samaje Perine","Multi","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","11","1.6"
"Dexter Williams","GB","0","0","0","0","0","0","6","0","0","0","bye","0","0","0","0","0","4","10","2.5"
"Senorise Perry","BUF","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","9","9","0.8"
"Ryan Nall","CHI","0","0","0","0","0","bye","0","0","0","0","3","0","0","1","0","0","4","8","1.0"
"Jordan Scarlett","CAR","0","0","0","0","0","0","bye","4","3","0","0","0","0","0","0","0","0","7","0.8"
"Trayveon Williams","CIN","0","0","0","0","0","1","0","0","bye","0","0","0","3","0","1","0","2","7","0.6"
"De'Lance Turner","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0.6"
"Damien Harris","NE","0","0","0","0","0","0","5","0","0","bye","0","0","0","0","0","0","0","5","2.5"
"David Fluellen","TEN","4","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","4","2.0"
"Alfred Morris","Multi","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","3.0"
"Josh Ferguson","WAS","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","3","0","0","3","1.5"
"Jeremy McNichols","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3.0"
"Corey Clement","PHI","3","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","3","0.8"
"John Kelly Jr.","LAR","0","0","0","0","0","0","3","0","bye","0","0","0","0","0","0","0","0","3","0.8"
"Rod Smith","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0.2"
"Trenton Cannon","NYJ","1","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.3"
"Austin Walter","NYG","0","0","0","0","0","1","0","0","0","0","bye","0","0","0","0","0","0","1","1.0"
""
""
