"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"15","Darrell Henderson Jr. (FA)","9","10","1.1","5","56.3%","1","2","50.0%","3","3.0","1","66.7%","0","12","38.3","3.2","0.6%"
"16","Josh Jacobs (LV)","9","13","1.4","6","64.3%","0","0","0%","0","0","0","0.0%","0","15","37.3","2.5","99.9%"
"17","Nick Chubb (CLE)","11","17","1.5","4","61.1%","1","1","100.0%","5","5.0","1","50.0%","0","14","33.2","2.4","99.9%"
"18","Devonta Freeman (FA)","7","15","2.1","4","50.0%","1","1","100.0%","5","5.0","1","25.0%","0","16","33.0","2.1","0.0%"
"19","AJ Dillon (GB)","11","14","1.3","4","57.9%","1","1","100.0%","5","5.0","1","33.3%","0","17","32.9","1.9","88.9%"
"20","Sony Michel (FA)","7","8","1.1","4","43.8%","1","1","100.0%","3","3.0","1","33.3%","0","17","32.1","1.9","0.2%"
"21","Derrick Henry (TEN)","9","9","1.0","4","40.9%","0","0","0%","0","0","0","0.0%","0","8","29.1","3.6","99.9%"
"22","Myles Gaskin (MIA)","8","8","1.0","2","53.3%","2","2","100.0%","6","3.0","2","100.0%","0","17","27.4","1.6","0.1%"
"23","Clyde Edwards-Helaire (KC)","3","7","2.3","3","15.0%","1","1","100.0%","1","1.0","1","25.0%","0","10","25.8","2.6","16.1%"
"24","Melvin Gordon III (BAL)","11","12","1.1","4","52.4%","0","0","0%","0","0","0","0%","0","16","25.2","1.6","1.4%"
"25","Rhamondre Stevenson (NE)","6","8","1.3","4","23.1%","0","1","0.0%","0","0","0","50.0%","0","12","24.8","2.1","98.8%"
"26","Michael Carter (NYJ)","9","11","1.2","3","39.1%","1","1","100.0%","2","2.0","0","100.0%","0","14","20.3","1.5","15.8%"
"27","Jordan Howard (FA)","8","19","2.4","3","27.6%","0","0","0%","0","0","0","0.0%","0","7","19.9","2.8","0.0%"
"28","Devin Singletary (HOU)","6","11","1.8","3","54.5%","1","1","100.0%","-2","-2.0","0","50.0%","0","17","19.9","1.2","51.0%"
"29","Alvin Kamara (NO)","9","2","0.2","2","52.9%","1","1","100.0%","3","3.0","1","33.3%","0","13","19.5","1.5","93.7%"
"30","Dalvin Cook (FA)","15","13","0.9","3","68.2%","0","0","0%","0","0","0","0%","0","13","19.3","1.5","94.1%"
"31","Elijah Mitchell (SF)","5","10","2.0","3","38.5%","0","0","0%","0","0","0","0.0%","0","12","19.0","1.6","56.9%"
"32","Kareem Hunt (FA)","4","6","1.5","3","22.2%","0","0","0%","0","0","0","0.0%","0","8","18.6","2.3","11.9%"
"33","Jamaal Williams (NO)","5","2","0.4","3","41.7%","0","0","0%","0","0","0","0.0%","0","13","18.2","1.4","88.9%"
"34","Zack Moss (IND)","5","-2","-0.4","3","45.5%","0","1","0.0%","0","0","0","50.0%","0","13","17.8","1.4","2.5%"
"35","Javonte Williams (DEN)","10","7","0.7","3","47.6%","0","0","0%","0","0","0","0%","1","17","16.7","1.0","89.0%"
"36","Elijhaa Penny (FA)","1","4","4.0","1","11.1%","1","1","100.0%","3","3.0","1","33.3%","0","13","13.7","1.1","0.0%"
"37","D'Onta Foreman (CHI)","6","14","2.3","2","27.3%","0","0","0%","0","0","0","0.0%","0","9","13.4","1.5","37.9%"
"38","Devontae Booker (FA)","5","1","0.2","1","55.6%","1","1","100.0%","3","3.0","1","33.3%","0","16","13.4","0.8","0.0%"
"39","Adrian Peterson (FA)","5","3","0.6","2","22.7%","1","1","100.0%","-1","-1.0","0","100.0%","0","4","13.2","3.3","2.1%"
"40","Rex Burkhead (FA)","7","8","1.1","2","70.0%","0","0","0%","0","0","0","0.0%","0","15","12.8","0.9","5.1%"
"41","Latavius Murray (BUF)","6","8","1.3","2","42.9%","0","1","0.0%","0","0","0","25.0%","0","14","12.8","0.9","1.8%"
"42","Cordarrelle Patterson (ATL)","7","8","1.1","2","63.6%","0","1","0.0%","0","0","0","33.3%","0","16","12.8","0.8","17.1%"
"43","Mike Davis (FA)","4","8","2.0","2","36.4%","0","2","0.0%","0","0","0","66.7%","0","17","12.8","0.8","1.0%"
"44","Damien Williams (FA)","4","8","2.0","2","20.0%","0","0","0%","0","0","0","0.0%","0","12","12.8","1.1","0.0%"
"45","DeeJay Dallas (SEA)","2","6","3.0","2","16.7%","0","0","0%","0","0","0","0%","0","17","12.6","0.7","0.4%"
"46","Peyton Barber (FA)","3","5","1.7","2","21.4%","0","0","0%","0","0","0","0.0%","0","10","12.5","1.3","1.0%"
"47","Chuba Hubbard (CAR)","5","5","1.0","2","62.5%","0","1","0.0%","0","0","0","100.0%","0","16","12.5","0.8","23.1%"
"48","Ty Johnson (FA)","6","5","0.8","2","26.1%","0","0","0%","0","0","0","0.0%","0","15","12.5","0.8","0.1%"
"49","Jeff Wilson Jr. (MIA)","4","4","1.0","2","30.8%","0","1","0.0%","0","0","0","50.0%","0","9","12.4","1.4","64.9%"
"50","Le'Veon Bell (FA)","2","3","1.5","2","9.5%","0","0","0%","0","0","0","0.0%","0","8","12.3","1.5","0.1%"
"51","Chris Carson (FA)","2","3","1.5","2","16.7%","0","0","0%","0","0","0","0%","0","4","12.3","3.1","0.3%"
"52","J.J. Taylor (NE)","3","2","0.7","2","11.5%","0","0","0%","0","0","0","0.0%","0","5","12.2","2.4","0.1%"
"53","D'Andre Swift (PHI)","6","2","0.3","2","50.0%","0","1","0.0%","0","0","0","100.0%","0","13","12.2","0.9","92.5%"
"54","J.D. McKissic (FA)","3","5","1.7","1","14.3%","1","1","100.0%","0","0.0","0","33.3%","0","11","7.5","0.7","0.1%"
"55","Samaje Perine (DEN)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","1","33.3%","0","15","7.4","0.5","84.3%"
"56","Patrick Ricard (BAL)","0","0","0","0","0.0%","1","2","50.0%","1","1.0","1","50.0%","0","8","7.1","0.9","0.1%"
"57","Johnny Stanton IV (FA)","1","0","0.0","0","5.6%","1","1","100.0%","1","1.0","1","50.0%","0","3","7.1","2.4","0.0%"
"58","Alec Ingold (MIA)","1","0","0.0","0","7.1%","1","1","100.0%","1","1.0","1","100.0%","0","7","7.1","1.0","0.1%"
"59","Alex Armah Jr. (WAS)","0","0","0","0","0.0%","1","1","100.0%","1","1.0","1","33.3%","0","10","7.1","0.7","0.0%"
"60","Tony Pollard (DAL)","2","7","3.5","1","12.5%","0","0","0%","0","0","0","0.0%","0","15","6.7","0.4","99.8%"
"61","Mark Ingram II (FA)","7","7","1.0","1","41.2%","0","0","0%","0","0","0","0.0%","0","14","6.7","0.5","0.1%"
"62","Phillip Lindsay (FA)","2","7","3.5","1","20.0%","0","1","0.0%","0","0","0","50.0%","0","14","6.7","0.5","0.0%"
"63","Alexander Mattison (MIN)","4","7","1.8","1","18.2%","0","0","0%","0","0","0","0%","0","16","6.7","0.4","90.5%"
"64","JaMycal Hasty (JAC)","2","5","2.5","1","15.4%","0","1","0.0%","0","0","0","50.0%","0","11","6.5","0.6","0.8%"
"65","Chase Edmonds (TB)","5","4","0.8","1","23.8%","0","0","0%","0","0","0","0%","0","12","6.4","0.5","1.7%"
"66","Kenyan Drake (FA)","1","4","4.0","1","7.1%","0","0","0%","0","0","0","0.0%","0","12","6.4","0.5","0.6%"
"67","Saquon Barkley (NYG)","3","4","1.3","1","33.3%","0","0","0%","0","0","0","0.0%","0","14","6.4","0.5","99.9%"
"68","Austin Walter (LV)","2","4","2.0","1","8.7%","0","0","0%","0","0","0","0.0%","0","4","6.4","1.6","0.0%"
"69","D'Ernest Johnson (JAC)","1","4","4.0","1","5.6%","0","0","0%","0","0","0","0.0%","0","13","6.4","0.5","0.6%"
"70","Deon Jackson (IND)","1","3","3.0","1","3.3%","0","0","0%","0","0","0","0%","0","5","6.3","1.3","1.3%"
"71","Kenneth Gainwell (PHI)","3","3","1.0","1","10.3%","0","0","0%","0","0","0","0.0%","0","16","6.3","0.4","21.3%"
"72","Alex Collins (FA)","4","3","0.8","1","33.3%","0","0","0%","0","0","0","0%","0","11","6.3","0.6","19.0%"
"73","Rashaad Penny (PHI)","3","3","1.0","1","25.0%","0","0","0%","0","0","0","0%","0","10","6.3","0.6","86.0%"
"74","Carlos Hyde (FA)","4","3","0.8","1","26.7%","0","0","0%","0","0","0","0.0%","0","12","6.3","0.5","0.0%"
"75","Jonathan Williams (WAS)","2","3","1.5","1","9.5%","0","0","0%","0","0","0","0.0%","0","5","6.3","1.3","0.2%"
"76","Duke Johnson Jr. (FA)","3","2","0.7","1","20.0%","0","0","0%","0","0","0","0.0%","0","5","6.2","1.2","0.0%"
"77","Andy Janovich (FA)","1","1","1.0","1","5.6%","0","0","0%","0","0","0","0.0%","0","6","6.1","1.0","0.0%"
"78","Jaret Patterson (WAS)","1","1","1.0","1","4.8%","0","0","0%","0","0","0","0.0%","0","14","6.1","0.4","0.1%"
"79","Larry Rountree III (LAC)","2","1","0.5","1","9.1%","0","0","0%","0","0","0","0.0%","0","10","6.1","0.6","0.1%"
"80","Dare Ogunbowale (HOU)","1","1","1.0","1","6.7%","0","1","0.0%","0","0","0","100.0%","0","13","6.1","0.5","0.1%"
"81","Trey Sermon (PHI)","1","1","1.0","1","7.7%","0","0","0%","0","0","0","0.0%","0","6","6.1","1.0","0.2%"
"82","Derrick Gore (FA)","2","0","0.0","1","10.0%","0","0","0%","0","0","0","0.0%","0","8","6.0","0.8","0.0%"
"83","Khalil Herbert (CHI)","3","-3","-1.0","1","15.0%","0","0","0%","0","0","0","0.0%","0","16","5.7","0.4","85.7%"
"84","Ronald Jones II (DAL)","5","2","0.4","1","23.8%","0","1","0.0%","0","0","0","20.0%","1","15","4.2","0.3","1.8%"
"85","Ty Montgomery (NE)","0","0","0","0","0.0%","1","1","100.0%","3","3.0","0","33.3%","0","14","1.3","0.1","0.6%"
"86","Giovani Bernard (FA)","0","0","0","0","0.0%","1","1","100.0%","3","3.0","0","20.0%","0","10","1.3","0.1","0.0%"
"87","Jakob Johnson (LV)","0","0","0","0","0.0%","1","1","100.0%","2","2.0","0","50.0%","0","7","1.2","0.2","0.0%"
"88","Michael Burton (DEN)","1","2","2.0","0","5.0%","1","1","100.0%","0","0.0","0","25.0%","0","10","1.2","0.1","0.0%"
"89","Tevin Coleman (FA)","6","10","1.7","0","26.1%","0","0","0%","0","0","0","0.0%","0","11","1.0","0.1","0.0%"
"90","Brandon Bolden (LV)","2","3","1.5","0","7.7%","0","0","0%","0","0","0","0.0%","0","16","0.3","0.0","0.2%"
"91","Travis Homer (CHI)","1","3","3.0","0","8.3%","0","0","0%","0","0","0","0%","0","14","0.3","0.0","0.3%"
"92","Ty'Son Williams (ARI)","1","3","3.0","0","7.1%","0","0","0%","0","0","0","0.0%","0","8","0.3","0.0","0.1%"
"93","Jeremy McNichols (FA)","1","2","2.0","0","4.5%","0","0","0%","0","0","0","0.0%","0","13","0.2","0.0","0.0%"
"94","Justin Jackson (FA)","2","2","1.0","0","9.1%","0","0","0%","0","0","0","0.0%","0","14","0.2","0.0","0.1%"
"95","Malcolm Brown (FA)","4","1","0.3","0","26.7%","0","0","0%","0","0","0","0.0%","0","6","0.1","0.0","0.0%"
"96","Dontrell Hilliard (FA)","1","1","1.0","0","4.5%","0","0","0%","0","0","0","0.0%","0","8","0.1","0.0","0.1%"
"97","Tony Jones Jr. (DEN)","1","1","1.0","0","5.9%","0","0","0%","0","0","0","0.0%","0","10","0.1","0.0","0.4%"
"98","Kyle Juszczyk (SF)","1","1","1.0","0","7.7%","0","0","0%","0","0","0","0.0%","0","15","0.1","0.0","0.4%"
"99","Chris Evans (CIN)","1","1","1.0","0","6.3%","0","0","0%","0","0","0","0.0%","0","9","0.1","0.0","0.5%"
"100","C.J. Ham (MIN)","1","0","0.0","0","4.5%","0","0","0%","0","0","0","0%","0","15","0.0","0.0","0.1%"
"101","Royce Freeman (LAR)","1","0","0.0","0","10.0%","0","0","0%","0","0","0","0.0%","0","12","0.0","0.0","1.0%"
"102","David Johnson (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","50.0%","0","13","0.0","0.0","0.0%"
"103","Brandin Bryant (NYG)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","3","0.0","0.0","0.1%"
"104","Avery Williams (ATL)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","15","0.0","0.0","0.1%"
"105","Kalen Ballage (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","25.0%","0","9","0.0","0.0","0.0%"
"106","Miles Sanders (CAR)","6","-1","-0.2","0","20.7%","0","0","0%","0","0","0","0.0%","0","12","-0.1","0.0","96.3%"
"107","Ameer Abdullah (LV)","1","-2","-2.0","0","4.5%","0","0","0%","0","0","0","0%","0","17","-0.2","0.0","0.5%"
"108","Christian McCaffrey (SF)","3","-2","-0.7","0","37.5%","0","0","0%","0","0","0","0.0%","0","7","-0.2","0.0","100.0%"
"109","Kene Nwangwu (MIN)","1","-2","-2.0","0","4.5%","0","0","0%","0","0","0","0%","0","9","-0.2","0.0","0.9%"
"110","Craig Reynolds (DET)","1","-3","-3.0","0","8.3%","0","0","0%","0","0","0","0.0%","0","5","-0.3","-0.1","0.3%"
"111","Joshua Kelley (LAC)","2","2","1.0","0","9.1%","0","0","0%","0","0","0","0.0%","1","8","-1.8","-0.2","3.1%"
""
""
