"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Jonathan Taylor (IND)","29","38","1.3","12","96.7%","0","0","0%","0","0","0","0%","0","17","75.8","4.5","99.8%"
"2","Austin Ekeler (LAC)","16","30","1.9","9","72.7%","1","1","100.0%","2","2.0","1","100.0%","0","16","64.2","4.0","100.0%"
"3","Ezekiel Elliott (FA)","14","15","1.1","7","87.5%","4","4","100.0%","16","4.0","2","100.0%","0","17","61.1","3.6","49.2%"
"4","James Conner (ARI)","16","10","0.6","9","76.2%","0","0","0%","0","0","0","0%","0","15","55.0","3.7","94.4%"
"5","Leonard Fournette (FA)","14","19","1.4","6","66.7%","2","3","66.7%","7","3.5","2","60.0%","0","14","52.6","3.8","17.7%"
"6","Damien Harris (BUF)","15","25","1.7","8","57.7%","0","0","0%","0","0","0","0.0%","1","15","48.5","3.2","57.9%"
"7","Antonio Gibson (WAS)","15","20","1.3","6","71.4%","1","2","50.0%","4","4.0","1","66.7%","0","16","45.4","2.8","84.1%"
"8","Joe Mixon (CIN)","15","14","0.9","7","93.8%","1","2","50.0%","0","0.0","0","66.7%","0","16","44.4","2.8","98.2%"
"9","Boston Scott (PHI)","12","17","1.4","7","41.4%","0","1","0.0%","0","0","0","100.0%","0","11","43.7","4.0","0.8%"
"10","James Robinson (NYG)","10","16","1.6","7","66.7%","0","0","0%","0","0","0","0.0%","0","14","43.6","3.1","3.7%"
"11","Darrel Williams (FA)","14","13","0.9","6","70.0%","2","2","100.0%","5","2.5","0","50.0%","0","17","39.8","2.3","2.0%"
"12","Aaron Jones (GB)","8","7","0.9","4","42.1%","2","2","100.0%","5","2.5","2","66.7%","0","15","39.2","2.6","98.5%"
"13","Najee Harris (PIT)","11","4","0.4","4","100.0%","2","3","66.7%","8","4.0","2","75.0%","0","17","39.2","2.3","98.9%"
"14","David Montgomery (DET)","13","17","1.3","6","65.0%","1","1","100.0%","2","2.0","0","100.0%","0","14","38.9","2.8","92.0%"
