"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"20","AJ Dillon (GB)","9","10","1.1","4","81.8%","0","0","0%","0","0","0","0.0%","0","17","25.0","1.5","88.9%"
"21","Latavius Murray (BUF)","5","8","1.6","4","27.8%","0","0","0%","0","0","0","0.0%","0","14","24.8","1.8","1.8%"
"22","Jonathan Taylor (IND)","9","8","0.9","3","75.0%","1","1","100.0%","4","4.0","0","50.0%","0","12","20.2","1.7","99.8%"
"23","J.K. Dobbins (BAL)","4","8","2.0","2","36.4%","1","1","100.0%","1","1.0","1","50.0%","0","8","19.9","2.5","93.5%"
"24","Kenyan Drake (FA)","3","4","1.3","2","27.3%","1","1","100.0%","5","5.0","1","50.0%","0","12","19.9","1.7","0.6%"
"25","Kareem Hunt (FA)","5","7","1.4","2","29.4%","1","1","100.0%","1","1.0","1","100.0%","0","17","19.8","1.2","11.9%"
"26","Tyler Allgeier (ATL)","9","17","1.9","3","47.4%","0","0","0%","0","0","0","0.0%","0","16","19.7","1.2","49.9%"
"27","D'Onta Foreman (CHI)","10","17","1.7","3","40.0%","0","0","0%","0","0","0","0.0%","0","16","19.7","1.2","37.9%"
"28","Kenneth Gainwell (PHI)","7","17","2.4","3","31.8%","0","1","0.0%","0","0","0","100.0%","0","17","19.7","1.2","21.3%"
"29","Isiah Pacheco (KC)","9","14","1.6","3","50.0%","0","0","0%","0","0","0","0.0%","0","17","19.4","1.1","94.0%"
"30","Damien Harris (BUF)","4","12","3.0","3","22.2%","0","1","0.0%","0","0","0","50.0%","0","11","19.2","1.7","57.9%"
"31","Travis Etienne Jr. (JAC)","13","10","0.8","3","59.1%","0","1","0.0%","0","0","0","50.0%","0","17","19.0","1.1","99.1%"
"32","Jeff Wilson Jr. (MIA)","9","5","0.6","3","56.3%","0","0","0%","0","0","0","0.0%","0","16","18.5","1.2","64.9%"
"33","Antonio Gibson (WAS)","10","3","0.3","3","52.6%","0","0","0%","0","0","0","0.0%","0","15","18.3","1.2","84.1%"
"34","Rhamondre Stevenson (NE)","12","2","0.2","2","66.7%","1","1","100.0%","3","3.0","1","50.0%","1","17","17.5","1.0","98.8%"
"35","Jerick McKinnon (KC)","5","1","0.2","0","27.8%","3","3","100.0%","6","2.0","2","42.9%","0","17","15.7","0.9","66.4%"
"36","Zander Horvath (LAC)","1","3","3.0","0","5.9%","2","2","100.0%","2","1.0","2","33.3%","0","8","14.5","1.8","0.1%"
"37","Raheem Mostert (MIA)","5","8","1.6","1","31.3%","1","1","100.0%","2","2.0","1","100.0%","0","16","14.0","0.9","62.3%"
"38","C.J. Ham (MIN)","2","4","2.0","2","10.0%","1","1","100.0%","4","4.0","0","50.0%","0","11","13.8","1.3","0.1%"
"39","Rachaad White (TB)","3","2","0.7","1","21.4%","1","1","100.0%","3","3.0","1","25.0%","0","17","13.5","0.8","92.7%"
"40","Kyle Juszczyk (SF)","2","1","0.5","1","25.0%","1","1","100.0%","3","3.0","1","100.0%","0","13","13.4","1.0","0.4%"
"41","Deon Jackson (IND)","1","3","3.0","1","8.3%","1","1","100.0%","1","1.0","1","50.0%","0","12","13.4","1.1","1.3%"
"42","Brian Robinson Jr. (WAS)","9","9","1.0","2","47.4%","0","0","0%","0","0","0","0.0%","0","12","12.9","1.1","88.4%"
"43","Joshua Kelley (LAC)","4","9","2.3","2","23.5%","0","0","0%","0","0","0","0.0%","0","12","12.9","1.1","3.1%"
"44","Darrell Henderson Jr. (FA)","3","8","2.7","2","21.4%","0","0","0%","0","0","0","0.0%","0","10","12.8","1.3","0.6%"
"45","Alvin Kamara (NO)","4","8","2.0","2","66.7%","0","0","0%","0","0","0","0.0%","0","15","12.8","0.9","93.7%"
"46","Khalil Herbert (CHI)","8","7","0.9","2","57.1%","0","0","0%","0","0","0","0%","0","13","12.7","1.0","85.7%"
"47","David Montgomery (DET)","4","7","1.8","2","28.6%","0","0","0%","0","0","0","0%","0","16","12.7","0.8","92.0%"
"48","Breece Hall (NYJ)","7","7","1.0","2","50.0%","0","0","0%","0","0","0","0%","0","7","12.7","1.8","98.2%"
"49","Tony Pollard (DAL)","7","6","0.9","2","26.9%","0","0","0%","0","0","0","0%","0","16","12.6","0.8","99.8%"
"50","Michael Carter (NYJ)","4","5","1.3","2","28.6%","0","0","0%","0","0","0","0%","0","16","12.5","0.8","15.8%"
"51","Boston Scott (PHI)","2","4","2.0","2","9.1%","0","0","0%","0","0","0","0.0%","0","15","12.4","0.8","0.8%"
"52","Chase Edmonds (TB)","2","4","2.0","2","11.1%","0","1","0.0%","0","0","0","33.3%","0","13","12.4","1.0","1.7%"
"53","Gus Edwards (BAL)","2","2","1.0","2","18.2%","0","0","0%","0","0","0","0.0%","0","9","12.2","1.4","10.8%"
"54","D'Andre Swift (PHI)","4","2","0.5","2","11.8%","0","1","0.0%","0","0","0","50.0%","0","14","12.2","0.9","92.5%"
"55","Kenneth Walker III (SEA)","6","2","0.3","2","100.0%","0","0","0%","0","0","0","0%","0","15","12.2","0.8","98.4%"
"56","Melvin Gordon III (BAL)","8","8","1.0","2","44.4%","0","0","0%","0","0","0","0.0%","1","10","10.8","1.1","1.4%"
"57","Derek Watt (FA)","0","0","0","0","0.0%","2","2","100.0%","2","1.0","1","66.7%","0","12","8.2","0.7","0.1%"
"58","James Robinson (NYG)","5","1","0.2","0","22.7%","1","1","100.0%","3","3.0","1","50.0%","0","11","7.4","0.7","3.7%"
"59","James Cook (BUF)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","1","33.3%","0","17","7.4","0.4","89.7%"
"60","Justin Jackson (FA)","1","1","1.0","0","2.9%","1","1","100.0%","2","2.0","1","50.0%","0","15","7.3","0.5","0.1%"
"61","Caleb Huntley (FA)","3","10","3.3","1","15.8%","0","0","0%","0","0","0","0.0%","0","12","7.0","0.6","0.1%"
"62","Aaron Jones (GB)","2","2","1.0","0","18.2%","2","2","100.0%","7","3.5","1","100.0%","1","17","6.9","0.4","98.5%"
"63","Eno Benjamin (NO)","3","7","2.3","1","21.4%","0","0","0%","0","0","0","0.0%","0","13","6.7","0.5","0.6%"
"64","Mark Ingram II (FA)","2","5","2.5","1","33.3%","0","1","0.0%","0","0","0","100.0%","0","10","6.5","0.7","0.1%"
"65","Dare Ogunbowale (HOU)","2","5","2.5","1","14.3%","0","0","0%","0","0","0","0.0%","0","15","6.5","0.4","0.1%"
"66","Marlon Mack (FA)","1","3","3.0","1","5.6%","0","0","0%","0","0","0","0.0%","0","8","6.3","0.8","6.0%"
"67","Pierre Strong Jr. (NE)","1","3","3.0","1","5.6%","0","0","0%","0","0","0","0.0%","0","10","6.3","0.6","1.9%"
"68","Matt Breida (NYG)","1","3","3.0","1","5.9%","0","0","0%","0","0","0","0.0%","0","17","6.3","0.4","0.9%"
"69","JaMycal Hasty (JAC)","3","3","1.0","1","13.6%","0","0","0%","0","0","0","0.0%","0","14","6.3","0.5","0.8%"
"70","Tevin Coleman (FA)","2","3","1.5","1","25.0%","0","0","0%","0","0","0","0.0%","0","3","6.3","2.1","0.0%"
"71","Snoop Conner (JAC)","1","3","3.0","1","4.5%","0","0","0%","0","0","0","0.0%","0","5","6.3","1.3","0.1%"
"72","Gary Brightwell (NYG)","1","2","2.0","1","5.9%","0","0","0%","0","0","0","0.0%","0","15","6.2","0.4","0.2%"
"73","Raheem Blackshear (CAR)","2","2","1.0","1","8.0%","0","0","0%","0","0","0","0.0%","0","13","6.2","0.5","0.3%"
"74","Chuba Hubbard (CAR)","1","2","2.0","1","4.0%","0","0","0%","0","0","0","0.0%","0","14","6.2","0.4","23.1%"
"75","Benny Snell Jr. (FA)","1","2","2.0","1","9.1%","0","0","0%","0","0","0","0.0%","0","9","6.2","0.7","2.0%"
"76","Jaylen Warren (PIT)","1","2","2.0","1","9.1%","0","0","0%","0","0","0","0.0%","0","16","6.2","0.4","24.4%"
"77","Darrel Williams (FA)","1","1","1.0","1","7.1%","0","0","0%","0","0","0","0.0%","0","5","6.1","1.2","2.0%"
"78","Alec Ingold (MIA)","2","1","0.5","1","12.5%","0","0","0%","0","0","0","0.0%","0","12","6.1","0.5","0.1%"
"79","Keaontay Ingram (ARI)","2","-2","-1.0","1","14.3%","0","0","0%","0","0","0","0.0%","0","11","5.8","0.5","0.9%"
"80","Malcolm Brown (FA)","3","-2","-0.7","0","21.4%","1","1","100.0%","3","3.0","0","50.0%","0","7","1.1","0.2","0.0%"
"81","Brandon Bolden (LV)","2","4","2.0","0","15.4%","0","0","0%","0","0","0","0%","0","12","0.4","0.0","0.2%"
"82","Trestan Ebner (CHI)","2","3","1.5","0","14.3%","0","0","0%","0","0","0","0%","0","11","0.3","0.0","0.1%"
"83","Spencer Brown (CAR)","1","3","3.0","0","4.0%","0","0","0%","0","0","0","0.0%","0","2","0.3","0.2","0.0%"
"84","Samaje Perine (DEN)","1","2","2.0","0","5.9%","0","1","0.0%","0","0","0","25.0%","0","16","0.2","0.0","84.3%"
"85","Mike Davis (FA)","2","1","0.5","0","18.2%","0","0","0%","0","0","0","0.0%","0","5","0.1","0.0","1.0%"
"86","Zonovan Knight (NYJ)","3","1","0.3","0","21.4%","0","0","0%","0","0","0","0%","0","7","0.1","0.0","5.8%"
"87","J.D. McKissic (FA)","0","0","0","0","0.0%","0","2","0.0%","0","0","0","100.0%","0","9","0.0","0.0","0.1%"
"88","Elijah Mitchell (SF)","2","0","0.0","0","25.0%","0","0","0%","0","0","0","0.0%","0","5","0.0","0.0","56.9%"
"89","Sony Michel (FA)","2","0","0.0","0","11.8%","0","0","0%","0","0","0","0.0%","0","10","0.0","0.0","0.2%"
"90","Keith Smith (ATL)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","50.0%","0","10","0.0","0.0","0.1%"
"91","Phillip Lindsay (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","3","0.0","0.0","0.0%"
"92","Rex Burkhead (FA)","3","0","0.0","0","21.4%","0","0","0%","0","0","0","0.0%","0","15","0.0","0.0","5.1%"
"93","Tyrion Davis-Price (SF)","1","-1","-1.0","0","12.5%","0","0","0%","0","0","0","0.0%","0","5","-0.1","0.0","0.7%"
"94","Jordan Mason (SF)","1","-1","-1.0","0","12.5%","0","0","0%","0","0","0","0.0%","0","12","-0.1","0.0","0.7%"
"95","J.J. Taylor (NE)","1","-1","-1.0","0","5.6%","0","0","0%","0","0","0","0.0%","0","1","-0.1","-0.1","0.1%"
"96","Zack Moss (IND)","2","-4","-2.0","0","18.2%","0","0","0%","0","0","0","0.0%","0","13","-0.4","0.0","2.5%"
"97","Alexander Mattison (MIN)","2","-5","-2.5","0","10.0%","0","0","0%","0","0","0","0.0%","0","17","-0.5","0.0","90.5%"
"98","Nyheim Hines (BUF)","2","-5","-2.5","0","16.7%","0","0","0%","0","0","0","0.0%","0","16","-0.5","0.0","1.9%"
"99","Javonte Williams (DEN)","2","4","2.0","0","11.1%","0","2","0.0%","0","0","0","66.7%","1","4","-1.6","-0.4","89.0%"
""
""
