"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Jamaal Williams (NO)","29","34","1.2","12","85.3%","0","0","0%","0","0","0","0.0%","1","17","73.4","4.3","88.9%"
"2","Derrick Henry (TEN)","15","24","1.6","10","100.0%","1","2","50.0%","2","2.0","0","100.0%","0","16","67.7","4.2","99.9%"
"3","Austin Ekeler (LAC)","10","12","1.2","6","58.8%","4","4","100.0%","2","0.5","3","66.7%","0","17","59.4","3.5","100.0%"
"4","Ezekiel Elliott (FA)","19","22","1.2","9","73.1%","0","0","0%","0","0","0","0%","0","15","56.2","3.7","49.2%"
"5","Miles Sanders (CAR)","13","28","2.2","7","59.1%","0","0","0%","0","0","0","0.0%","0","17","44.8","2.6","96.3%"
"6","Saquon Barkley (NYG)","15","27","1.8","7","88.2%","0","0","0%","0","0","0","0.0%","0","16","44.7","2.8","99.9%"
"7","Christian McCaffrey (SF)","11","10","0.9","5","44.0%","1","2","50.0%","3","3.0","1","100.0%","0","17","38.3","2.3","100.0%"
"8","Nick Chubb (CLE)","12","12","1.0","6","70.6%","0","0","0%","0","0","0","0.0%","0","17","37.2","2.2","99.9%"
"9","Dalvin Cook (FA)","16","17","1.1","6","80.0%","0","1","0.0%","0","0","0","50.0%","1","17","35.7","2.1","94.1%"
"10","Clyde Edwards-Helaire (KC)","4","4","1.0","2","22.2%","4","4","100.0%","13","3.3","3","57.1%","0","10","35.7","3.6","16.1%"
"11","Leonard Fournette (FA)","11","16","1.5","3","78.6%","3","3","100.0%","7","2.3","2","75.0%","0","16","35.3","2.2","17.7%"
"12","Joe Mixon (CIN)","16","18","1.1","5","94.1%","1","3","33.3%","3","3.0","0","75.0%","0","15","33.1","2.2","98.2%"
"13","Devin Singletary (HOU)","9","17","1.9","4","81.8%","1","2","50.0%","2","2.0","1","66.7%","0","17","32.9","1.9","51.0%"
"14","Cordarrelle Patterson (ATL)","7","20","2.9","5","36.8%","0","1","0.0%","0","0","0","50.0%","0","13","32.0","2.5","17.1%"
"15","Josh Jacobs (LV)","11","8","0.7","5","84.6%","0","0","0%","0","0","0","0%","0","17","30.8","1.8","99.9%"
"16","Cam Akers (LAR)","8","8","1.0","5","57.1%","1","1","100.0%","1","1.0","0","50.0%","1","15","29.9","2.0","93.3%"
"17","Najee Harris (PIT)","9","14","1.6","3","81.8%","1","1","100.0%","1","1.0","1","33.3%","0","17","26.5","1.6","98.9%"
"18","Dameon Pierce (HOU)","9","0","0.0","3","64.3%","1","1","100.0%","3","3.0","1","50.0%","0","13","25.3","1.9","96.4%"
"19","James Conner (ARI)","8","11","1.4","4","57.1%","0","1","0.0%","0","0","0","100.0%","0","13","25.1","1.9","94.4%"
