"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"JaMycal Hasty","JAC","0","0","3","3","3","10","4","16","13","14","bye","49","0","18","16","18","25","24","216","15.4"
"Nyheim Hines","Multi","26","15","32","21","3","0","24","21","4","6","10","4","23","10","3","3","0","3","208","13.0"
"Mark Ingram II","NO","20","25","23","29","17","24","20","5","0","0","0","17","25","bye","0","0","0","0","205","20.5"
"J.K. Dobbins","BAL","0","0","27","35","26","16","0","0","0","bye","0","0","0","26","24","22","26","0","202","25.3"
"Dontrell Hilliard","TEN","12","0","14","17","20","bye","17","16","16","26","12","21","20","9","0","0","0","0","200","16.7"
"Zonovan Knight","NYJ","0","0","0","0","0","0","0","0","0","bye","0","30","47","35","30","24","15","17","198","28.3"
"Jakob Johnson","LV","8","0","16","0","25","bye","16","0","13","20","22","20","0","23","15","0","0","19","197","17.9"
"DeeJay Dallas","SEA","3","2","15","3","10","23","19","5","2","0","bye","9","32","0","0","35","27","11","196","14.0"
"Justin Jackson","DET","0","0","0","10","14","bye","12","0","13","17","25","18","16","20","22","14","0","6","187","15.6"
"Dare Ogunbowale","HOU","0","1","0","0","0","bye","8","3","1","4","4","18","14","18","27","19","26","40","183","14.1"
"Ty Johnson","NYJ","0","13","0","0","0","0","10","19","7","bye","14","15","28","0","0","12","33","21","172","17.2"
"Rashaad Penny","SEA","38","20","49","48","15","0","0","0","0","0","bye","0","0","0","0","0","0","0","170","34.0"
"Boston Scott","PHI","14","15","7","0","0","10","bye","13","5","5","13","10","17","12","4","3","18","24","170","11.3"
"Ameer Abdullah","LV","7","14","0","1","0","bye","7","20","14","15","11","14","12","8","15","10","0","18","166","11.9"
"Travis Homer","SEA","19","22","2","0","0","0","0","14","21","8","bye","13","0","49","16","1","0","0","165","16.5"
"Gus Edwards","BAL","0","0","0","0","0","0","23","16","0","bye","0","36","17","21","11","21","9","5","159","17.7"
"Keith Smith","ATL","0","0","0","15","17","28","0","16","15","6","0","0","15","bye","0","7","12","20","151","15.1"
"Hassan Haskins","TEN","0","28","4","0","2","bye","4","2","6","2","7","6","0","0","12","15","43","15","146","11.2"
"Javonte Williams","DEN","38","47","33","24","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","142","35.5"
"Kyren Williams","LAR","0","0","0","0","0","0","bye","0","0","16","35","38","18","19","4","8","3","0","141","17.6"
"Avery Williams","ATL","23","15","4","7","17","7","7","5","3","9","0","7","0","bye","10","12","10","5","141","9.4"
"C.J. Ham","MIN","14","0","13","9","0","18","bye","13","0","7","0","0","14","6","14","13","0","15","136","12.4"
"Sony Michel","LAC","16","9","14","17","2","30","13","bye","11","8","5","0","0","0","0","0","0","0","125","12.5"
"Caleb Huntley","ATL","0","3","0","12","16","20","11","24","13","9","2","3","5","bye","2","0","0","0","120","10.0"
"Mike Boone","DEN","3","0","14","19","30","21","9","0","bye","0","0","0","12","11","0","0","0","0","119","14.9"
"Reggie Gilliam","BUF","0","18","20","0","0","21","bye","0","0","0","16","7","0","0","0","15","0","10","107","15.3"
"Royce Freeman","HOU","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","24","37","30","15","106","26.5"
"Craig Reynolds","DET","0","9","13","24","31","bye","20","5","1","0","0","0","0","0","0","0","0","0","103","14.7"
"Keaontay Ingram","ARI","0","0","0","0","0","9","20","0","1","5","18","7","bye","9","8","7","0","19","103","10.3"
"Jonathan Williams","WAS","1","0","2","6","0","0","0","0","0","0","0","5","2","bye","0","20","32","31","99","12.4"
"Darrel Williams","ARI","0","40","14","16","8","0","0","21","0","0","0","0","bye","0","0","0","0","0","99","19.8"
"Gary Brightwell","NYG","0","1","0","3","7","1","0","1","bye","0","7","11","0","21","0","1","5","29","87","7.9"
"Malcolm Brown","LAR","0","0","0","0","0","16","bye","13","16","0","0","0","0","18","7","7","8","0","85","12.1"
"Jordan Mason","SF","0","0","5","0","1","0","0","0","bye","0","7","9","15","19","7","0","5","14","82","9.1"
"Brandon Bolden","LV","16","0","25","5","10","bye","0","0","4","0","3","0","0","1","0","2","15","0","81","9.0"
"Elijah Mitchell","SF","17","0","0","0","0","0","0","0","bye","25","13","15","0","0","0","0","0","10","80","16.0"
"Raheem Blackshear","CAR","0","0","0","0","0","0","5","7","17","8","11","3","bye","14","2","6","3","3","79","7.2"
"Trestan Ebner","CHI","4","0","15","14","0","0","8","3","0","0","15","0","1","bye","5","0","5","8","78","7.8"
"Malik Davis","DAL","0","0","0","0","0","0","0","19","bye","11","13","0","3","0","0","0","26","6","78","13.0"
"Demetric Felton Jr.","CLE","11","12","0","0","0","0","0","0","bye","0","0","0","38","9","4","0","0","0","74","14.8"
"Zander Horvath","LAC","15","8","3","8","10","17","0","bye","0","5","8","0","0","0","0","0","0","0","74","9.3"
"Corey Clement","ARI","0","0","0","0","0","0","0","0","0","0","0","1","bye","3","0","0","32","36","72","18.0"
"Tyrion Davis-Price","SF","0","30","0","0","0","0","13","0","bye","0","0","0","0","0","0","13","5","8","69","13.8"
"Adam Prentice","NO","0","10","0","0","0","0","0","0","0","0","0","8","3","bye","5","18","25","0","69","11.5"
"Phillip Lindsay","IND","0","0","0","0","30","27","0","0","9","0","0","0","0","bye","0","0","0","0","66","22.0"
"Marlon Mack","Multi","0","0","0","0","0","0","0","0","0","0","0","6","5","23","20","10","0","0","64","12.8"
"Tony Jones Jr.","Multi","0","34","0","0","0","0","0","0","0","0","0","0","23","5","0","0","0","0","62","20.7"
"Derek Watt","PIT","0","1","0","0","2","3","7","3","bye","6","0","5","7","0","9","2","4","6","55","4.6"
"Kevin Harris","NE","0","0","0","0","0","12","0","0","0","bye","0","0","1","29","7","4","0","0","53","10.6"
"Isaiah Spiller","LAC","0","0","0","0","0","0","4","bye","13","10","16","8","0","0","0","0","0","0","51","10.2"
"David Johnson","NO","0","0","0","0","0","0","0","0","0","0","10","0","0","bye","18","15","0","7","50","12.5"
"Michael Burton","KC","9","7","5","0","0","3","7","bye","5","2","2","0","3","4","1","0","2","0","50","4.2"
"Khari Blasingame","CHI","0","0","15","0","0","6","0","0","0","0","0","10","0","bye","7","11","0","0","49","9.8"
"Darrynton Evans","CHI","0","0","0","0","0","0","0","0","0","0","0","18","13","bye","16","0","0","0","47","15.7"
"Pierre Strong Jr.","NE","0","3","0","0","0","4","0","0","0","bye","0","0","0","19","17","2","2","0","47","7.8"
"Jordan Wilkins","IND","0","0","0","0","0","0","0","0","19","3","0","0","0","bye","0","8","10","0","40","10.0"
"Myles Gaskin","MIA","0","0","0","0","13","0","0","0","0","0","bye","26","0","0","0","0","0","0","39","19.5"
"Benny Snell Jr.","PIT","0","0","0","0","0","0","0","0","bye","0","0","28","9","2","0","0","0","0","39","13.0"
"Ke'Shawn Vaughn","TB","0","0","0","0","0","0","0","0","3","5","bye","9","0","0","0","2","2","16","37","6.2"
"Trayveon Williams","CIN","0","0","0","0","0","0","0","0","0","bye","8","14","11","2","0","1","0","0","36","7.2"
"Ronald Jones II","KC","0","0","0","0","0","0","0","bye","0","0","0","11","0","0","2","1","4","17","35","7.0"
"D'Ernest Johnson","CLE","0","0","0","1","0","9","0","8","bye","12","0","0","0","0","3","2","0","0","35","5.8"
"Salvon Ahmed","MIA","0","0","0","0","0","0","0","3","0","7","bye","0","0","5","14","0","2","4","35","5.8"
"Zamir White","LV","0","6","0","3","3","bye","5","0","1","2","0","3","4","3","3","0","0","2","35","3.2"
"Mike Davis","BAL","7","18","0","0","5","0","0","0","3","bye","1","0","0","0","0","0","0","0","34","6.8"
"Snoop Conner","JAC","0","0","0","0","0","0","0","0","0","0","bye","10","4","0","3","6","11","0","34","6.8"
"Jaret Patterson","WAS","0","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","33","33","33.0"
"Patrick Taylor Jr.","GB","0","0","0","0","0","0","0","0","0","0","0","0","6","bye","9","5","12","0","32","8.0"
"Tevin Coleman","SF","0","0","0","0","19","12","0","0","bye","0","0","0","0","0","0","0","0","0","31","15.5"
"Spencer Brown","CAR","0","0","0","0","0","0","0","18","13","0","0","0","bye","0","0","0","0","0","31","15.5"
"Julius Chestnut","TEN","0","0","0","0","0","bye","0","0","0","0","0","0","7","7","1","0","14","0","29","7.3"
"Dwayne Washington","NO","0","4","0","0","2","0","1","13","5","0","0","1","0","bye","0","0","0","0","26","4.3"
"Giovani Bernard","TB","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","25","25","25.0"
"Ronnie Rivers","LAR","0","0","0","0","0","3","bye","21","0","0","0","0","0","0","0","0","0","0","24","12.0"
"Ty Montgomery","NE","21","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","21","21.0"
"Anthony McFarland Jr.","PIT","0","0","0","0","0","0","0","0","bye","0","0","21","0","0","0","0","0","0","21","21.0"
"Larry Rountree III","LAC","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","13","8","21","10.5"
"Kene Nwangwu","MIN","0","0","0","0","0","0","bye","0","0","0","7","0","0","0","0","0","1","10","18","6.0"
"J.J. Taylor","NE","0","0","0","0","0","0","0","0","17","bye","0","0","0","0","0","0","0","0","17","17.0"
"Chris Evans","CIN","0","0","2","3","0","3","0","2","1","bye","0","4","2","0","0","0","0","0","17","2.4"
"Jerome Ford","CLE","0","0","0","0","0","0","0","0","bye","0","0","0","7","0","0","0","7","0","14","7.0"
"Ty Chandler","MIN","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","12","12","12.0"
"Devine Ozigbo","DEN","0","0","0","0","2","0","0","0","bye","0","0","4","0","0","5","0","0","0","11","3.7"
"Damien Williams","ATL","10","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","10","10.0"
"Jonathan Ward","Multi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","10","5.0"
"Tyler Badie","DEN","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","9","9","9.0"
"Duke Johnson Jr.","BUF","0","0","0","0","0","0","bye","0","0","5","0","0","0","0","0","0","0","0","5","5.0"
"Godwin Igwebuike","SEA","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","4","1","5","2.5"
"Trey Sermon","PHI","0","0","0","5","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","5","5.0"
"Jordan Howard","NO","0","0","0","0","0","0","0","0","0","3","0","0","0","bye","0","0","0","0","3","3.0"
"Reggie Bonnafon","WAS","0","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","3","3","3.0"
"Ty'Son Williams","ARI","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","2","2","2.0"
"Kylin Hill","GB","0","0","0","0","0","0","0","0","1","0","0","0","0","bye","0","0","0","0","1","1.0"
"Rico Dowdle","DAL","0","1","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","1","1.0"
""
""
