"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Saquon Barkley","NYG","50","61","66","61","42","57","62","52","bye","55","58","47","58","20","54","63","50","0","856","53.5"
"Dalvin Cook","MIN","48","42","44","45","45","45","bye","54","57","70","34","59","51","55","77","57","34","24","841","49.5"
"Josh Jacobs","LV","35","48","45","67","52","bye","45","32","41","55","53","61","46","50","51","43","47","50","821","48.3"
"Christian McCaffrey","Multi","43","53","49","45","59","38","23","43","0","46","38","44","69","44","57","39","57","30","777","45.7"
"Najee Harris","PIT","37","42","47","48","37","44","58","54","bye","50","67","20","43","31","45","49","45","46","763","44.9"
"Austin Ekeler","LAC","33","47","34","41","42","61","55","bye","47","40","45","46","45","47","49","41","28","33","734","43.2"
"Devin Singletary","BUF","35","37","67","56","30","63","bye","44","46","54","47","60","33","29","47","37","0","24","709","44.3"
"Rhamondre Stevenson","NE","14","42","41","32","54","60","40","49","46","bye","49","45","53","13","43","51","34","33","699","41.1"
"Leonard Fournette","TB","47","58","59","39","49","59","40","49","52","22","bye","0","48","36","43","49","36","3","689","43.1"
"Miles Sanders","PHI","40","39","41","55","54","44","bye","29","42","29","44","43","39","45","40","38","22","29","673","39.6"
"Travis Etienne Jr.","JAC","36","26","33","24","40","29","57","57","56","50","bye","5","49","54","51","51","24","27","669","39.4"
"James Conner","ARI","47","18","50","50","24","0","0","0","45","65","55","64","bye","71","59","74","41","0","663","51.0"
"Nick Chubb","CLE","42","36","45","40","35","31","34","37","bye","32","41","47","32","45","46","37","32","48","660","38.8"
"Derrick Henry","TEN","44","26","43","37","41","bye","44","43","30","36","47","32","30","50","44","45","0","56","648","40.5"
"Alvin Kamara","NO","38","0","48","0","56","50","52","46","45","37","40","38","35","bye","34","38","40","45","642","42.8"
"Aaron Jones","GB","37","40","39","45","46","41","40","44","30","45","40","35","25","bye","40","25","25","33","630","37.1"
"David Montgomery","CHI","38","33","11","0","36","56","40","55","52","40","55","39","40","bye","40","42","28","24","629","39.3"
"Joe Mixon","CIN","73","53","45","53","44","41","49","38","48","bye","14","0","0","39","42","49","0","36","624","44.6"
"Kenneth Walker III","SEA","0","12","9","25","30","47","52","49","56","45","bye","46","14","0","48","40","41","61","575","38.3"
"Tony Pollard","DAL","38","24","28","24","23","27","41","31","bye","72","39","44","28","41","41","39","0","29","569","35.6"
"Ezekiel Elliott","DAL","40","41","41","39","36","41","31","0","bye","0","21","38","38","35","38","34","53","32","558","37.2"
"Raheem Mostert","MIA","25","39","24","46","46","48","44","44","27","19","bye","0","28","37","45","26","30","24","552","34.5"
"Patrick Ricard","BAL","36","37","39","49","0","45","56","39","46","bye","38","53","25","45","35","0","0","0","543","41.8"
"AJ Dillon","GB","31","39","33","42","20","36","16","28","49","24","29","21","45","bye","26","38","29","31","537","31.6"
"Jerick McKinnon","KC","27","27","33","18","38","29","28","bye","62","24","34","26","26","39","48","25","29","22","535","31.5"
"Jeff Wilson Jr.","Multi","40","37","41","33","39","31","26","19","28","42","0","46","17","8","0","30","46","42","525","32.8"
"Jonathan Taylor","IND","70","37","54","58","0","0","35","40","0","61","49","59","59","bye","2","0","0","0","524","47.6"
"Dameon Pierce","HOU","20","39","35","39","46","bye","34","42","47","46","43","34","47","36","0","0","0","0","508","39.1"
"Tyler Allgeier","ATL","0","19","21","24","39","33","29","40","23","30","30","22","28","bye","36","42","34","47","497","31.1"
"Michael Carter","NYJ","50","43","38","31","25","27","43","33","31","bye","25","19","0","37","33","23","20","18","496","31.0"
"Kareem Hunt","CLE","45","31","32","36","33","30","28","33","bye","24","32","32","24","28","17","33","18","16","492","28.9"
"Antonio Gibson","WAS","49","40","34","30","20","15","29","22","37","40","46","26","42","bye","38","21","0","0","489","32.6"
"Rachaad White","TB","17","9","6","24","31","16","29","18","29","48","bye","62","33","40","29","29","39","10","469","27.6"
"Jamaal Williams","DET","23","21","35","36","22","bye","26","22","38","25","32","30","23","26","21","16","33","30","459","27.0"
"Samaje Perine","CIN","26","14","23","12","19","14","20","13","27","bye","46","56","60","29","25","34","0","30","448","28.0"
"Latavius Murray","Multi","0","0","0","26","0","27","31","27","0","25","32","49","36","38","44","31","42","39","447","34.4"
"Kyle Juszczyk","SF","25","40","35","32","38","32","38","0","bye","0","25","30","46","41","0","0","31","27","440","33.8"
"Cam Akers","LAR","12","27","24","28","20","0","bye","0","11","10","25","16","46","27","34","49","38","61","428","28.5"
"D'Andre Swift","DET","46","31","32","0","0","bye","0","33","10","19","21","24","39","25","27","37","25","24","393","28.1"
"Cordarrelle Patterson","ATL","49","36","35","16","0","0","0","0","24","24","27","33","25","bye","37","26","31","19","382","29.4"
"Kenyan Drake","BAL","33","16","0","0","27","34","17","44","46","bye","35","18","34","11","0","0","0","51","366","30.5"
"Brian Robinson Jr.","WAS","0","0","0","0","18","27","35","15","28","43","23","30","40","bye","24","32","36","0","351","29.3"
"Isiah Pacheco","KC","16","5","5","17","2","10","19","bye","22","35","26","39","25","29","27","26","27","21","351","20.6"
"D'Onta Foreman","CAR","7","3","0","4","3","10","27","54","21","45","22","35","bye","34","14","30","25","15","349","21.8"
"Jaylen Warren","PIT","23","17","12","16","38","20","17","22","bye","36","3","0","13","22","23","21","28","31","342","21.4"
"Eno Benjamin","Multi","22","37","22","11","37","62","48","58","17","1","0","0","0","8","0","0","6","6","335","25.8"
"Darrell Henderson Jr.","LAR","55","35","24","44","37","46","bye","24","28","34","4","0","0","0","0","0","0","0","331","33.1"
"Kenneth Gainwell","PHI","23","19","22","22","16","17","bye","14","18","16","11","27","20","12","29","30","15","20","331","19.5"
"Alec Ingold","MIA","22","26","12","0","0","26","0","27","0","42","bye","34","25","20","32","27","11","0","304","25.3"
"Khalil Herbert","CHI","17","8","38","48","14","16","29","22","21","23","0","0","0","bye","0","26","20","19","301","23.2"
"Chase Edmonds","Multi","38","36","19","18","10","31","18","16","0","15","3","0","0","0","0","28","41","24","297","22.8"
"Alexander Mattison","MIN","14","19","28","27","34","7","bye","17","9","13","16","10","17","10","13","15","23","25","297","17.5"
"James Robinson","Multi","34","45","44","22","31","27","12","13","24","0","11","0","9","0","0","0","0","0","272","24.7"
"James Cook","BUF","3","18","11","2","10","10","bye","15","14","13","16","14","32","24","28","26","0","33","269","16.8"
"Joshua Kelley","LAC","18","19","13","14","27","0","0","bye","0","0","0","14","32","32","25","23","23","28","268","22.3"
"Matt Breida","NYG","13","11","8","9","18","16","18","14","bye","14","15","18","9","23","11","11","12","44","264","15.5"
"Justice Hill","BAL","11","21","28","25","0","0","20","16","17","bye","28","14","17","2","24","7","17","17","264","17.6"
"Chuba Hubbard","CAR","3","2","7","3","0","4","23","0","0","12","23","28","bye","23","29","31","35","41","264","18.9"
"Melvin Gordon III","DEN","27","23","28","10","41","9","40","34","bye","43","0","0","0","0","0","0","0","0","255","28.3"
"Rex Burkhead","HOU","50","23","24","18","12","bye","23","10","13","16","0","11","0","5","12","11","13","10","251","16.7"
"Zack Moss","Multi","22","13","16","6","16","0","0","0","0","1","4","1","5","0","53","36","34","42","249","19.2"
"Deon Jackson","IND","0","2","0","0","46","54","5","2","39","0","13","0","8","bye","25","8","14","30","246","20.5"
"Damien Harris","NE","22","27","25","26","6","0","9","32","0","bye","15","11","0","0","0","0","29","36","238","21.6"
"Breece Hall","NYJ","38","19","40","46","41","37","12","0","0","bye","0","0","0","0","0","0","0","0","233","33.3"
"Clyde Edwards-Helaire","KC","27","25","25","45","31","28","17","bye","17","4","5","0","0","0","0","0","0","0","224","22.4"
"J.D. McKissic","WAS","31","34","41","38","26","17","12","22","0","0","0","0","0","bye","0","0","0","0","221","27.6"
