"Player","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Christian McCaffrey","CAR","57","63","67","bye","69","60","59","64","61","54","58","59","70","74","58","83","10","966","60.4"
"Ezekiel Elliott","DAL","59","50","56","53","50","63","66","bye","52","61","56","65","63","86","61","49","0","890","59.3"
"Saquon Barkley","NYG","55","58","44","54","48","50","59","68","bye","54","47","48","57","31","65","56","59","853","53.3"
"Todd Gurley II","LAR","59","50","64","53","66","58","36","70","54","58","68","bye","65","62","63","0","0","826","59.0"
"David Johnson","ARI","36","35","43","55","48","55","48","53","bye","56","43","37","52","62","34","40","51","748","46.8"
"James Conner","PIT","77","72","56","49","45","66","bye","56","68","23","58","67","49","0","0","0","32","718","55.2"
"Kyle Juszczyk","SF","26","40","53","37","68","39","35","47","34","46","bye","38","39","42","46","33","41","664","41.5"
"Alvin Kamara","NO","52","51","68","59","31","bye","39","38","41","35","44","37","36","41","48","40","0","660","44.0"
"Jordan Howard","CHI","50","48","46","33","bye","36","46","38","26","30","48","35","34","39","34","40","41","624","39.0"
"Lamar Miller","HOU","57","51","52","46","0","41","45","34","40","bye","46","40","41","51","11","0","64","619","44.2"
"Peyton Barber","TB","48","36","44","31","bye","41","35","43","35","33","48","36","40","32","32","48","35","617","38.6"
"James White","NE","36","34","25","40","43","33","45","62","56","42","bye","37","33","33","26","29","27","601","37.6"
"Dion Lewis","TEN","49","34","30","48","34","32","45","bye","59","49","44","29","40","38","23","22","24","600","37.5"
"Joe Mixon","CIN","44","39","0","0","47","42","44","55","bye","29","34","53","39","47","52","38","32","595","42.5"
"Tevin Coleman","ATL","36","40","53","40","27","38","37","bye","39","50","34","35","29","33","34","31","25","581","36.3"
"Kenyan Drake","MIA","46","36","29","22","41","49","36","37","28","34","bye","24","30","24","28","39","42","545","34.1"
"Melvin Gordon III","LAC","62","36","40","49","45","38","0","bye","45","45","64","26","0","0","0","42","32","524","43.7"
"Jamaal Williams","GB","37","47","30","28","33","27","bye","13","31","14","4","13","38","24","59","85","39","522","32.6"
"T.J. Yeldon","JAC","40","40","38","48","77","31","56","37","bye","27","23","24","35","12","19","0","0","507","36.2"
"Kareem Hunt","KC","40","40","46","45","52","31","46","49","49","44","61","bye","0","0","0","0","0","503","45.7"
"Nyheim Hines","IND","37","25","43","63","56","30","17","28","bye","20","16","26","45","28","29","23","14","500","31.3"
"Tarik Cohen","CHI","28","21","30","29","bye","35","42","38","27","31","29","22","42","30","38","33","19","494","30.9"
"Dalvin Cook","MIN","57","50","0","18","0","0","0","0","28","bye","59","41","47","50","42","46","53","491","44.6"
"LeSean McCoy","BUF","34","30","0","36","47","47","2","46","37","49","bye","37","54","9","0","31","31","490","35.0"
"Adrian Peterson","WAS","42","25","32","bye","13","37","34","41","32","34","42","27","16","19","37","38","10","479","29.9"
"Latavius Murray","MIN","14","23","38","41","46","58","58","61","22","bye","6","28","12","8","27","15","4","461","28.8"
"Alfred Blue","HOU","10","17","16","40","79","25","27","29","22","bye","18","26","36","22","41","34","19","461","28.8"
"Duke Johnson Jr.","CLE","42","23","29","29","41","35","35","23","35","17","bye","18","20","19","26","32","37","461","28.8"
"Chris Carson","SEA","25","19","51","0","36","28","bye","42","10","0","30","32","34","35","39","43","32","456","32.6"
"Phillip Lindsay","DEN","27","28","11","24","29","20","35","41","38","bye","32","36","25","48","39","21","0","454","30.3"
"Marlon Mack","IND","0","18","0","0","0","24","37","49","bye","33","38","36","29","40","44","43","53","444","37.0"
"Theo Riddick","DET","41","28","21","25","19","bye","0","0","39","46","27","29","38","25","25","33","19","415","29.6"
"Jalen Richard","LV","37","8","20","34","27","24","0","22","22","27","32","26","32","33","30","23","16","413","25.8"
"Derrick Henry","TEN","20","25","32","28","21","12","24","bye","14","15","21","27","28","24","49","35","26","401","25.1"
"James Develin","NE","35","20","8","33","15","33","15","26","17","12","bye","30","35","36","21","36","26","398","24.9"
"Nick Chubb","CLE","4","3","5","3","11","7","45","31","37","42","bye","46","27","33","40","39","22","395","24.7"
"Mike Davis","SEA","0","9","8","47","25","23","bye","20","58","39","22","18","10","18","33","35","25","390","26.0"
"Carlos Hyde","Multi","47","36","45","49","28","32","0","28","0","9","11","15","23","3","0","16","43","385","27.5"
"Aaron Jones","GB","0","0","17","29","22","19","bye","32","43","42","44","40","39","42","7","0","0","376","31.3"
"Jacquizz Rodgers","TB","15","18","25","11","bye","10","30","33","26","26","23","34","15","31","13","33","25","368","23.0"
"Matt Breida","SF","30","25","29","38","13","27","5","32","27","44","bye","31","10","0","45","9","0","365","26.1"
"Doug Martin","LV","9","16","13","6","6","6","0","28","26","30","14","28","40","33","27","34","43","359","22.4"
"Mark Ingram II","NO","0","0","0","0","36","bye","35","23","34","31","30","27","21","29","33","32","19","350","29.2"
"Austin Ekeler","LAC","22","23","18","23","23","21","42","bye","9","20","18","26","48","39","0","0","15","347","24.8"
"Kerryon Johnson","DET","16","36","32","20","29","bye","38","48","39","55","33","0","0","0","0","0","0","346","34.6"
"Isaiah Crowell","NYJ","24","31","29","20","25","29","33","25","23","19","bye","26","43","5","0","0","0","332","25.5"
"Frank Gore","MIA","18","24","16","25","26","30","25","29","29","29","bye","29","20","23","7","0","0","330","23.6"
"Giovani Bernard","CIN","12","39","57","44","0","0","0","0","bye","12","26","23","28","26","30","14","19","330","27.5"
"Wendell Smallwood","PHI","1","24","29","37","29","44","35","31","bye","21","4","1","2","4","20","16","26","324","20.3"
"Sony Michel","NE","0","13","23","33","27","37","6","0","0","18","bye","30","30","33","23","23","25","321","24.7"
"Devontae Booker","DEN","20","22","26","21","22","22","6","32","26","bye","11","6","13","17","15","24","35","318","19.9"
"Elijah McGuire","NYJ","0","0","0","0","0","0","0","0","36","32","bye","35","25","40","56","51","43","318","39.8"
"Alex Collins","BAL","27","42","36","36","27","35","28","33","31","bye","17","0","0","0","0","0","0","312","31.2"
"Javorius Allen","BAL","30","42","40","33","50","28","30","23","26","bye","5","1","0","0","3","0","0","311","22.2"
"Ito Smith","ATL","0","19","10","30","12","31","28","bye","28","22","20","26","24","32","29","0","0","311","22.2"
"Chris Thompson","WAS","33","50","25","bye","40","0","0","26","0","0","0","0","29","25","29","23","30","310","31.0"
"Royce Freeman","DEN","29","16","29","16","30","25","18","0","0","bye","13","15","21","9","18","25","44","308","22.0"
"Chris Ivory","BUF","7","9","54","22","19","16","36","19","30","0","bye","19","12","27","0","0","31","301","23.2"
"Gus Edwards","BAL","0","0","0","0","0","14","7","8","2","bye","49","43","40","31","33","22","36","285","25.9"
"LeGarrette Blount","DET","13","17","26","14","18","bye","21","7","11","9","12","33","30","19","11","22","18","281","17.6"
"Leonard Fournette","JAC","21","0","0","24","0","0","0","0","bye","39","35","31","0","55","26","49","0","280","35.0"
"Ty Montgomery","Multi","23","25","20","20","29","26","0","6","0","0","9","28","27","19","0","11","21","264","20.3"
