"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"46","Rhamondre Stevenson (NE)","3","3","1.0","2","37.5%","0","0","0%","0","0","0","0%","0","12","12.3","1.0","78.2%"
"47","Darrell Henderson Jr. (FA)","3","2","0.7","2","12.0%","0","1","0.0%","0","0","0","25.0%","0","4","12.2","3.1","6.3%"
"48","Rico Dowdle (DAL)","4","2","0.5","2","17.4%","0","0","0%","0","0","0","0%","0","16","12.2","0.8","7.5%"
"49","Dameon Pierce (HOU)","9","-2","-0.2","2","47.4%","0","0","0%","0","0","0","0.0%","0","14","11.8","0.8","56.5%"
"50","Jerick McKinnon (KC)","0","0","0","0","0.0%","1","1","100.0%","3","3.0","1","25.0%","0","12","11.5","1.0","31.2%"
"51","Patrick Ricard (BAL)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","1","100.0%","0","17","7.4","0.4","0.1%"
"52","Kyle Juszczyk (SF)","1","0","0.0","0","4.2%","1","1","100.0%","1","1.0","1","16.7%","0","17","7.1","0.4","0.4%"
"53","Cordarrelle Patterson (ATL)","1","-4","-4.0","0","10.0%","1","1","100.0%","2","2.0","1","25.0%","0","14","6.8","0.5","2.0%"
"54","Elijah Mitchell (SF)","4","5","1.3","1","16.7%","0","0","0%","0","0","0","0.0%","0","11","6.5","0.6","16.3%"
"55","Royce Freeman (LAR)","5","5","1.0","1","20.0%","0","0","0%","0","0","0","0.0%","0","11","6.5","0.6","8.3%"
"56","Hunter Luepke (DAL)","2","4","2.0","1","8.7%","0","0","0%","0","0","0","0%","0","17","6.4","0.4","0.1%"
"57","Damien Harris (BUF)","3","4","1.3","1","15.0%","0","0","0%","0","0","0","0.0%","0","7","6.4","0.9","6.6%"
"58","J.K. Dobbins (BAL)","1","4","4.0","1","3.6%","0","0","0%","0","0","0","0.0%","0","1","6.4","6.4","16.4%"
"59","Jordan Mason (SF)","1","3","3.0","1","4.2%","0","0","0%","0","0","0","0.0%","0","16","6.3","0.4","8.5%"
"60","Joshua Kelley (LAC)","3","3","1.0","1","16.7%","0","0","0%","0","0","0","0.0%","0","17","6.3","0.4","11.0%"
"61","Jaleel McLaughlin (DEN)","2","2","1.0","1","18.2%","0","0","0%","0","0","0","0.0%","0","17","6.2","0.4","10.1%"
"62","Clyde Edwards-Helaire (KC)","2","1","0.5","1","18.2%","0","1","0.0%","0","0","0","25.0%","0","15","6.1","0.4","35.4%"
"63","Nick Bawden (NYJ)","1","1","1.0","1","25.0%","0","0","0%","0","0","0","0.0%","0","16","6.1","0.4","0.0%"
"64","Pierre Strong Jr. (CLE)","2","1","0.5","1","11.1%","0","0","0%","0","0","0","0.0%","0","17","6.1","0.4","3.0%"
"65","Cam Akers (MIN)","2","1","0.5","1","14.3%","0","0","0%","0","0","0","0.0%","0","7","6.1","0.9","20.5%"
"66","Miles Sanders (CAR)","4","0","0.0","1","26.7%","0","0","0%","0","0","0","0%","0","16","6.0","0.4","45.1%"
"67","Samaje Perine (DEN)","2","0","0.0","1","18.2%","0","0","0%","0","0","0","0.0%","0","17","6.0","0.4","27.1%"
"68","Zamir White (LV)","3","-1","-0.3","1","23.1%","0","0","0%","0","0","0","0.0%","0","15","5.9","0.4","58.8%"
"69","Chris Rodriguez Jr. (WAS)","3","-1","-0.3","1","23.1%","0","0","0%","0","0","0","0.0%","0","11","5.9","0.5","1.8%"
"70","Devin Singletary (HOU)","7","-2","-0.3","1","36.8%","0","0","0%","0","0","0","0.0%","0","17","5.8","0.3","80.7%"
"71","Zach Charbonnet (SEA)","6","-6","-1.0","1","28.6%","0","0","0%","0","0","0","0%","0","16","5.4","0.3","51.3%"
"72","Craig Reynolds (DET)","4","6","1.5","1","12.9%","0","0","0%","0","0","0","0.0%","1","15","4.6","0.3","1.7%"
"73","Kenneth Gainwell (PHI)","3","0","0.0","1","16.7%","0","0","0%","0","0","0","0%","1","16","4.0","0.3","20.9%"
"74","Darrynton Evans (BUF)","1","4","4.0","0","6.7%","0","0","0%","0","0","0","0.0%","0","6","0.4","0.1","0.1%"
"75","Dalvin Cook (BAL)","1","4","4.0","0","25.0%","0","0","0%","0","0","0","0.0%","0","15","0.4","0.0","22.5%"
"76","Tyjae Spears (TEN)","2","3","1.5","0","11.8%","0","1","0.0%","0","0","0","100.0%","0","17","0.3","0.0","43.2%"
