"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"70","Nick O'Leary (FA)","12","8","86","10.8","21","2.6","21","2.6","65","8.1","20","2.5","0","10","2.3%","8","0","0","4","0","0","0","0","19"
"71","Robert Tonyan (CHI)","16","4","77","19.3","67","16.8","67","16.8","10","2.5","4","1.0","0","6","1.0%","5","1","0","2","1","1","1","1","54"
"72","Seth DeValve (FA)","13","5","74","14.8","59","11.8","59","11.8","15","3.0","6","1.2","0","7","1.3%","5","1","0","3","2","0","0","0","26"
"73","Adam Shaheen (FA)","6","5","48","9.6","35","7.0","35","7.0","13","2.6","9","1.8","0","6","1.2%","5","0","1","2","1","0","0","0","23"
"74","Derek Carrier (FA)","16","7","67","9.6","51","7.3","51","7.3","16","2.3","6","0.9","0","12","2.3%","7","0","2","2","1","0","0","0","23"
"75","Dalton Schultz (HOU)","11","12","116","9.7","50","4.2","50","4.2","66","5.5","22","1.8","2","17","3.3%","13","1","1","5","0","0","0","0","17"
"76","Chris Manhertz (DEN)","16","2","52","26.0","7","3.5","7","3.5","45","22.5","0","0.0","0","5","0.9%","3","1","1","1","1","1","1","1","50"
"77","A.J. Derby (FA)","4","3","48","16.0","39","13.0","39","13.0","9","3.0","8","2.7","1","5","1.1%","3","0","1","3","0","0","0","0","19"
"78","Jeremy Sprinkle (FA)","16","5","41","8.2","20","4.0","20","4.0","21","4.2","4","0.8","1","9","1.8%","5","0","1","1","0","0","0","0","15"
"79","Darren Waller (NYG)","4","6","75","12.5","19","3.2","19","3.2","56","9.3","44","7.3","1","6","1.1%","6","0","0","2","1","1","1","0","44"
"80","Niles Paul (FA)","6","10","98","9.8","66","6.6","66","6.6","32","3.2","9","0.9","0","13","2.5%","10","0","0","4","1","0","0","0","22"
"81","Luke Willson (FA)","14","13","87","6.7","29","2.2","29","2.2","58","4.5","21","1.6","2","19","3.4%","15","2","0","3","0","0","0","0","13"
"82","Jake Butt (FA)","3","8","85","10.6","41","5.1","41","5.1","44","5.5","13","1.6","1","13","2.3%","8","0","2","3","2","0","0","0","22"
