RANK,NAME,TGT_SHARE,G,REC,REC_YDS,Y/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,RZ_TGT,REC_TD,RUS_ATT,RUS_YDS,RUS_TD,FL,FPTS,FPTS/G
1.0,Travis Kelce,0.237,15.0,105.0,1416.0,13.5,833.0,7.9,583.0,5.6,261.0,2.5,10.0,145.0,20.0,11.0,0.0,0.0,0.0,1.0,312.8,20.9
2.0,Darren Waller,0.27699999999999997,16.0,107.0,1196.0,11.2,624.0,5.8,572.0,5.3,215.0,2.0,7.0,145.0,22.0,9.0,0.0,0.0,0.0,2.0,278.6,17.4
3.0,Robert Tonyan,0.11800000000000001,16.0,52.0,586.0,11.3,352.0,6.8,234.0,4.5,28.0,0.5,0.0,59.0,11.0,11.0,0.0,0.0,0.0,0.0,176.6,11.0
4.0,Mark Andrews,0.22399999999999998,14.0,58.0,701.0,12.1,519.0,8.9,182.0,3.1,69.0,1.2,2.0,88.0,16.0,7.0,0.0,0.0,0.0,0.0,170.1,12.2
5.0,T.J. Hockenson,0.18,16.0,67.0,723.0,10.8,394.0,5.9,329.0,4.9,78.0,1.2,4.0,101.0,15.0,6.0,1.0,0.0,0.0,1.0,175.3,11.0
6.0,Mike Gesicki,0.155,15.0,53.0,703.0,13.3,539.0,10.2,164.0,3.1,66.0,1.2,0.0,85.0,14.0,6.0,0.0,0.0,0.0,0.0,159.3,10.6
7.0,Logan Thomas,0.192,16.0,72.0,670.0,9.3,382.0,5.3,288.0,4.0,93.0,1.3,3.0,110.0,17.0,6.0,3.0,5.0,0.0,0.0,176.6,11.0
8.0,Rob Gronkowski,0.127,16.0,45.0,623.0,13.8,377.0,8.4,246.0,5.5,92.0,2.0,1.0,77.0,14.0,7.0,0.0,0.0,0.0,0.0,149.3,9.3
9.0,Jonnu Smith,0.139,15.0,41.0,448.0,10.9,210.0,5.1,238.0,5.8,58.0,1.4,2.0,65.0,17.0,8.0,2.0,4.0,1.0,0.0,140.2,9.3
10.0,Jimmy Graham,0.128,16.0,50.0,456.0,9.1,258.0,5.2,198.0,4.0,37.0,0.7,1.0,76.0,19.0,8.0,0.0,0.0,0.0,0.0,143.6,9.0
11.0,Hayden Hurst,0.145,16.0,56.0,571.0,10.2,302.0,5.4,269.0,4.8,40.0,0.7,2.0,88.0,15.0,6.0,0.0,0.0,0.0,0.0,149.1,9.3
12.0,Jared Cook,0.11800000000000001,15.0,37.0,504.0,13.6,380.0,10.3,124.0,3.4,60.0,1.6,2.0,60.0,12.0,7.0,0.0,0.0,0.0,1.0,127.4,8.5
13.0,Noah Fant,0.174,15.0,62.0,673.0,10.9,296.0,4.8,377.0,6.1,123.0,2.0,4.0,93.0,10.0,3.0,0.0,0.0,0.0,0.0,149.3,10.0
14.0,Eric Ebron,0.14,15.0,56.0,558.0,10.0,366.0,6.5,192.0,3.4,59.0,1.1,0.0,91.0,16.0,5.0,0.0,0.0,0.0,1.0,141.8,9.5
15.0,Hunter Henry,0.152,14.0,60.0,613.0,10.2,369.0,6.2,244.0,4.1,96.0,1.6,3.0,93.0,14.0,4.0,0.0,0.0,0.0,0.0,145.3,10.4
16.0,Tyler Higbee,0.107,15.0,44.0,521.0,11.8,283.0,6.4,238.0,5.4,106.0,2.4,4.0,60.0,6.0,5.0,1.0,1.0,0.0,0.0,128.2,8.5
17.0,Dalton Schultz,0.14400000000000002,16.0,63.0,615.0,9.8,336.0,5.3,279.0,4.4,115.0,1.8,8.0,89.0,14.0,4.0,0.0,0.0,0.0,1.0,146.5,9.2
