RANK,NAME,TGT_SHARE,G,REC,REC_YDS,Y/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,RZ_TGT,REC_TD,RUS_ATT,RUS_YDS,RUS_TD,FL,FPTS,FPTS/G
1.0,Travis Kelce,0.266,16.0,103.0,1336.0,13.0,767.0,7.4,569.0,5.5,152.0,1.5,7.0,150.0,14.0,10.0,0.0,0.0,0.0,1.0,294.6,18.4
2.0,George Kittle,0.264,16.0,88.0,1377.0,15.6,507.0,5.8,870.0,9.9,253.0,2.9,9.0,136.0,9.0,5.0,1.0,10.0,0.0,0.0,258.7,16.2
3.0,Zach Ertz,0.264,16.0,116.0,1163.0,10.0,810.0,7.0,353.0,3.0,98.0,0.8,3.0,156.0,12.0,8.0,0.0,0.0,0.0,0.0,280.3,17.5
4.0,Eric Ebron,0.174,16.0,66.0,750.0,11.4,500.0,7.6,250.0,3.8,53.0,0.8,0.0,110.0,11.0,13.0,3.0,-8.0,1.0,1.0,222.2,13.9
5.0,Jared Cook,0.191,16.0,68.0,896.0,13.2,553.0,8.1,343.0,5.0,88.0,1.3,4.0,101.0,7.0,6.0,0.0,0.0,0.0,0.0,193.6,12.1
6.0,Trey Burton,0.151,16.0,54.0,569.0,10.5,379.0,7.0,190.0,3.5,32.0,0.6,1.0,76.0,7.0,6.0,1.0,2.0,0.0,1.0,147.1,9.2
7.0,Austin Hooper,0.146,16.0,71.0,660.0,9.3,423.0,6.0,237.0,3.3,56.0,0.8,4.0,88.0,6.0,4.0,0.0,0.0,0.0,0.0,163.0,10.2
8.0,David Njoku,0.158,16.0,56.0,639.0,11.4,333.0,5.9,306.0,5.5,174.0,3.1,6.0,88.0,6.0,4.0,0.0,0.0,0.0,0.0,143.9,9.0
9.0,Kyle Rudolph,0.139,16.0,64.0,634.0,9.9,389.0,6.1,245.0,3.8,59.0,0.9,1.0,82.0,7.0,4.0,0.0,0.0,0.0,0.0,151.4,9.5
10.0,O.J. Howard,0.078,10.0,34.0,565.0,16.6,356.0,10.5,209.0,6.1,98.0,2.9,1.0,48.0,3.0,5.0,0.0,0.0,0.0,0.0,120.5,12.1
11.0,Rob Gronkowski,0.129,13.0,47.0,682.0,14.5,500.0,10.6,182.0,3.9,80.0,1.7,1.0,72.0,2.0,3.0,0.0,0.0,0.0,1.0,131.2,10.1
12.0,Vance McDonald,0.107,15.0,50.0,610.0,12.2,223.0,4.5,387.0,7.7,195.0,3.9,10.0,72.0,5.0,4.0,0.0,0.0,0.0,1.0,133.0,8.9
13.0,Evan Engram,0.111,11.0,45.0,577.0,12.8,189.0,4.2,388.0,8.6,109.0,2.4,1.0,64.0,5.0,3.0,3.0,36.0,0.0,0.0,126.3,11.5
14.0,Jimmy Graham,0.145,16.0,55.0,636.0,11.6,375.0,6.8,261.0,4.7,58.0,1.1,2.0,89.0,5.0,2.0,0.0,0.0,0.0,0.0,130.6,8.2
15.0,Chris Herndon IV,0.111,16.0,39.0,502.0,12.9,325.0,8.3,177.0,4.5,52.0,1.3,1.0,56.0,7.0,4.0,0.0,0.0,0.0,0.0,113.2,7.1
16.0,Mark Andrews,0.09300000000000001,16.0,34.0,552.0,16.2,359.0,10.6,193.0,5.7,67.0,2.0,1.0,50.0,3.0,3.0,0.0,0.0,0.0,0.0,107.2,6.7
17.0,Jordan Reed,0.172,13.0,54.0,558.0,10.3,327.0,6.1,231.0,4.3,48.0,0.9,4.0,84.0,5.0,2.0,0.0,0.0,0.0,1.0,119.8,9.2
18.0,Cameron Brate,0.079,16.0,30.0,289.0,9.6,238.0,7.9,51.0,1.7,14.0,0.5,1.0,49.0,7.0,6.0,0.0,0.0,0.0,1.0,92.9,5.8
