RANK,NAME,TGT_SHARE,G,REC,REC_YDS,Y/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,RZ_TGT,REC_TD,RUS_ATT,RUS_YDS,RUS_TD,FL,FPTS,FPTS/G
1.0,Mark Andrews,0.258,17.0,107.0,1361.0,12.7,903.0,8.4,458.0,4.3,187.0,1.7,4.0,153.0,20.0,9.0,1.0,0.0,0.0,0.0,301.1,17.7
2.0,Travis Kelce,0.21,16.0,92.0,1125.0,12.2,561.0,6.1,564.0,6.1,248.0,2.7,8.0,134.0,16.0,9.0,2.0,3.0,1.0,1.0,262.8,16.4
3.0,Dalton Schultz,0.163,17.0,78.0,808.0,10.4,460.0,5.9,348.0,4.5,109.0,1.4,3.0,104.0,14.0,8.0,0.0,0.0,0.0,0.0,208.8,12.3
4.0,George Kittle,0.188,14.0,71.0,910.0,12.8,460.0,6.5,450.0,6.3,179.0,2.5,8.0,94.0,9.0,6.0,3.0,20.0,0.0,1.0,198.0,14.1
5.0,Rob Gronkowski,0.12300000000000001,12.0,55.0,802.0,14.6,452.0,8.2,350.0,6.4,147.0,2.7,9.0,88.0,10.0,6.0,0.0,0.0,0.0,0.0,171.2,14.3
6.0,Dawson Knox,0.114,15.0,49.0,587.0,12.0,310.0,6.3,277.0,5.7,63.0,1.3,3.0,71.0,18.0,9.0,0.0,4.0,0.0,0.0,164.1,10.9
7.0,Hunter Henry,0.14300000000000002,16.0,50.0,603.0,12.1,459.0,9.2,144.0,2.9,41.0,0.8,1.0,75.0,17.0,9.0,0.0,0.0,0.0,0.0,164.3,10.3
8.0,Dallas Goedert,0.162,15.0,56.0,830.0,14.8,444.0,7.9,386.0,6.9,101.0,1.8,9.0,76.0,6.0,4.0,0.0,0.0,0.0,0.0,165.0,11.0
9.0,Kyle Pitts,0.19899999999999998,17.0,68.0,1026.0,15.1,713.0,10.5,313.0,4.6,137.0,2.0,3.0,110.0,14.0,1.0,0.0,0.0,0.0,0.0,176.6,10.4
10.0,Zach Ertz,0.239,17.0,74.0,763.0,10.3,423.0,5.7,340.0,4.6,74.0,1.0,2.0,112.0,20.0,5.0,1.0,4.0,0.0,0.0,180.7,10.6
11.0,Mike Gesicki,0.187,17.0,73.0,780.0,10.7,559.0,7.7,221.0,3.0,69.0,0.9,1.0,112.0,9.0,2.0,0.0,0.0,0.0,0.0,165.0,9.7
12.0,Pat Freiermuth,0.121,16.0,60.0,497.0,8.3,250.0,4.2,247.0,4.1,117.0,2.0,8.0,79.0,20.0,7.0,0.0,0.0,0.0,1.0,151.7,9.5
13.0,Noah Fant,0.174,16.0,68.0,670.0,9.9,361.0,5.3,309.0,4.5,53.0,0.8,1.0,90.0,12.0,4.0,0.0,0.0,0.0,0.0,159.0,9.9
14.0,Tyler Higbee,0.141,15.0,61.0,560.0,9.2,279.0,4.6,281.0,4.6,78.0,1.3,1.0,85.0,18.0,5.0,0.0,0.0,0.0,0.0,147.0,9.8
15.0,Jared Cook,0.126,16.0,48.0,564.0,11.8,326.0,6.8,238.0,5.0,62.0,1.3,0.0,83.0,13.0,4.0,0.0,0.0,0.0,0.0,132.4,8.3
16.0,T.J. Hockenson,0.14800000000000002,12.0,61.0,583.0,9.6,384.0,6.3,199.0,3.3,56.0,0.9,4.0,84.0,9.0,4.0,0.0,0.0,0.0,0.0,145.3,12.1
17.0,C.J. Uzomah,0.11699999999999999,16.0,49.0,493.0,10.1,193.0,3.9,300.0,6.1,108.0,2.2,5.0,63.0,7.0,5.0,0.0,0.0,0.0,0.0,128.3,8.0
18.0,Darren Waller,0.154,11.0,55.0,665.0,12.1,423.0,7.7,242.0,4.4,80.0,1.5,3.0,93.0,13.0,2.0,0.0,0.0,0.0,0.0,133.5,12.1
19.0,Tyler Conklin,0.151,17.0,61.0,593.0,9.7,266.0,4.4,327.0,5.4,63.0,1.0,0.0,87.0,16.0,3.0,0.0,0.0,0.0,0.0,138.3,8.1
20.0,David Njoku,0.106,15.0,36.0,475.0,13.2,228.0,6.3,247.0,6.9,106.0,2.9,2.0,53.0,8.0,4.0,1.0,1.0,0.0,0.0,107.6,7.2
21.0,Gerald Everett,0.132,15.0,48.0,478.0,10.0,229.0,4.8,249.0,5.2,108.0,2.3,9.0,63.0,8.0,4.0,3.0,20.0,0.0,2.0,117.8,7.9
22.0,Cole Kmet,0.177,17.0,60.0,612.0,10.2,366.0,6.1,246.0,4.1,97.0,1.6,4.0,93.0,12.0,0.0,1.0,0.0,0.0,0.0,121.2,7.1
23.0,Evan Engram,0.129,15.0,46.0,408.0,8.9,225.0,4.9,183.0,4.0,33.0,0.7,0.0,73.0,4.0,3.0,1.0,-3.0,0.0,1.0,102.5,6.8
24.0,Mo Alie-Cox,0.08900000000000001,17.0,24.0,316.0,13.2,166.0,6.9,150.0,6.3,61.0,2.5,2.0,45.0,9.0,4.0,0.0,0.0,0.0,0.0,79.6,4.7
25.0,Foster Moreau,0.073,15.0,30.0,373.0,12.4,184.0,6.1,189.0,6.3,63.0,2.1,2.0,44.0,5.0,3.0,0.0,0.0,0.0,0.0,85.3,5.7
26.0,Austin Hooper,0.122,15.0,38.0,345.0,9.1,160.0,4.2,185.0,4.9,35.0,0.9,1.0,61.0,11.0,3.0,0.0,0.0,0.0,0.0,92.5,6.2
27.0,Jack Doyle,0.085,15.0,29.0,302.0,10.4,177.0,6.1,125.0,4.3,14.0,0.5,0.0,43.0,7.0,3.0,0.0,0.0,0.0,0.0,79.2,5.3
28.0,Cameron Brate,0.08,16.0,30.0,245.0,8.2,164.0,5.5,81.0,2.7,15.0,0.5,0.0,57.0,20.0,4.0,0.0,0.0,0.0,0.0,78.5,4.9
