RANK,NAME,TGT_SHARE,G,REC,REC_YDS,Y/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,RZ_TGT,REC_TD,RUS_ATT,RUS_YDS,RUS_TD,FL,FPTS,FPTS/G
1.0,Tyreek Hill,0.271,16.0,87.0,1479.0,17.0,952.0,10.9,527.0,6.1,185.0,2.1,4.0,137.0,9.0,12.0,22.0,151.0,1.0,0.0,328.0,20.5
2.0,Antonio Brown,0.249,15.0,104.0,1297.0,12.5,812.0,7.8,485.0,4.7,129.0,1.2,5.0,168.0,12.0,15.0,0.0,0.0,0.0,0.0,323.7,21.6
3.0,Davante Adams,0.275,15.0,111.0,1386.0,12.5,911.0,8.2,475.0,4.3,90.0,0.8,4.0,169.0,15.0,13.0,0.0,0.0,0.0,0.0,329.6,22.0
4.0,DeAndre Hopkins,0.33,16.0,115.0,1572.0,13.7,1185.0,10.3,387.0,3.4,84.0,0.7,5.0,163.0,10.0,11.0,1.0,-7.0,0.0,2.0,333.5,20.8
5.0,Julio Jones,0.281,16.0,113.0,1677.0,14.8,1229.0,10.9,448.0,4.0,110.0,1.0,3.0,170.0,13.0,8.0,2.0,12.0,0.0,2.0,325.9,20.4
6.0,Mike Evans,0.223,16.0,86.0,1524.0,17.7,1235.0,14.4,289.0,3.4,70.0,0.8,0.0,138.0,6.0,8.0,0.0,0.0,0.0,1.0,284.4,17.8
7.0,Adam Thielen,0.258,16.0,113.0,1373.0,12.2,957.0,8.5,416.0,3.7,85.0,0.8,3.0,153.0,13.0,9.0,5.0,30.0,0.0,1.0,307.3,19.2
8.0,Michael Thomas,0.28800000000000003,16.0,125.0,1405.0,11.2,891.0,7.1,514.0,4.1,181.0,1.4,6.0,147.0,21.0,9.0,0.0,0.0,0.0,2.0,315.5,19.7
9.0,JuJu Smith-Schuster,0.24600000000000002,16.0,111.0,1426.0,12.8,778.0,7.0,648.0,5.8,171.0,1.5,7.0,166.0,16.0,7.0,1.0,13.0,0.0,1.0,296.9,18.6
10.0,Robert Woods,0.239,16.0,86.0,1219.0,14.2,799.0,9.3,420.0,4.9,124.0,1.4,2.0,130.0,6.0,6.0,19.0,157.0,1.0,0.0,265.6,16.6
11.0,Tyler Lockett,0.124,16.0,57.0,965.0,16.9,752.0,13.2,213.0,3.7,31.0,0.5,0.0,70.0,4.0,10.0,13.0,69.0,0.0,0.0,222.4,13.9
12.0,Stefon Diggs,0.252,15.0,102.0,1021.0,10.0,573.0,5.6,448.0,4.4,104.0,1.0,4.0,149.0,9.0,9.0,10.0,62.0,0.0,0.0,266.3,17.8
13.0,Brandin Cooks,0.215,16.0,80.0,1204.0,15.1,858.0,10.7,346.0,4.3,83.0,1.0,4.0,117.0,9.0,5.0,10.0,68.0,1.0,0.0,243.2,15.2
14.0,Keenan Allen,0.26899999999999996,16.0,97.0,1196.0,12.3,793.0,8.2,403.0,4.2,111.0,1.1,3.0,136.0,9.0,6.0,9.0,75.0,0.0,1.0,260.1,16.3
15.0,T.Y. Hilton,0.18899999999999997,14.0,76.0,1270.0,16.7,815.0,10.7,455.0,6.0,101.0,1.3,4.0,120.0,7.0,6.0,0.0,0.0,0.0,0.0,239.0,17.1
16.0,Odell Beckham Jr.,0.21600000000000003,12.0,77.0,1052.0,13.7,747.0,9.7,305.0,4.0,105.0,1.4,6.0,124.0,7.0,6.0,5.0,19.0,0.0,1.0,230.4,19.2
17.0,Tyler Boyd,0.204,14.0,76.0,1028.0,13.5,610.0,8.0,418.0,5.5,94.0,1.2,1.0,108.0,6.0,7.0,2.0,3.0,0.0,0.0,221.1,15.8
18.0,Calvin Ridley,0.152,16.0,64.0,821.0,12.8,457.0,7.1,364.0,5.7,59.0,0.9,0.0,92.0,5.0,10.0,6.0,27.0,0.0,1.0,206.8,12.9
19.0,Amari Cooper,0.20199999999999999,15.0,75.0,1005.0,13.4,590.0,7.9,415.0,5.5,106.0,1.4,2.0,107.0,7.0,7.0,2.0,20.0,0.0,2.0,215.5,14.4
20.0,Mike Williams,0.13,16.0,43.0,664.0,15.4,546.0,12.7,118.0,2.7,46.0,1.1,5.0,66.0,7.0,10.0,7.0,28.0,1.0,0.0,180.2,11.3
21.0,Kenny Golladay,0.212,15.0,70.0,1063.0,15.2,713.0,10.2,350.0,5.0,109.0,1.6,6.0,119.0,6.0,5.0,1.0,8.0,0.0,0.0,207.1,13.8
22.0,Jarvis Landry,0.268,16.0,81.0,976.0,12.0,702.0,8.7,274.0,3.4,65.0,0.8,3.0,149.0,9.0,4.0,3.0,60.0,1.0,1.0,217.1,13.6
23.0,Julian Edelman,0.19399999999999998,12.0,74.0,850.0,11.5,502.0,6.8,348.0,4.7,89.0,1.2,4.0,108.0,9.0,6.0,9.0,107.0,0.0,0.0,207.4,17.3
24.0,Emmanuel Sanders,0.174,12.0,71.0,868.0,12.2,571.0,8.0,297.0,4.2,116.0,1.6,6.0,98.0,6.0,4.0,4.0,53.0,1.0,0.0,198.2,16.5
25.0,Chris Godwin,0.153,16.0,59.0,842.0,14.3,597.0,10.1,245.0,4.2,54.0,0.9,2.0,95.0,10.0,7.0,0.0,0.0,0.0,1.0,185.2,11.6
26.0,Alshon Jeffery,0.155,13.0,65.0,843.0,13.0,571.0,8.8,272.0,4.2,112.0,1.7,3.0,92.0,8.0,6.0,0.0,0.0,0.0,0.0,185.3,14.3
27.0,Corey Davis,0.264,16.0,65.0,891.0,13.7,624.0,9.6,267.0,4.1,119.0,1.8,5.0,112.0,7.0,4.0,6.0,55.0,0.0,0.0,183.6,11.5
28.0,Larry Fitzgerald,0.237,16.0,69.0,734.0,10.6,529.0,7.7,205.0,3.0,74.0,1.1,3.0,112.0,8.0,6.0,0.0,0.0,0.0,0.0,185.7,11.6
29.0,Sterling Shepard,0.18600000000000003,16.0,66.0,872.0,13.2,563.0,8.5,309.0,4.7,53.0,0.8,1.0,107.0,7.0,4.0,3.0,33.0,0.0,0.0,182.5,11.4
30.0,Mohamed Sanu Sr.,0.156,16.0,66.0,838.0,12.7,437.0,6.6,401.0,6.1,115.0,1.7,4.0,94.0,2.0,4.0,7.0,44.0,0.0,1.0,182.4,11.4
31.0,Adam Humphries,0.17,16.0,76.0,816.0,10.7,393.0,5.2,423.0,5.6,64.0,0.8,7.0,105.0,6.0,5.0,2.0,11.0,0.0,0.0,188.7,11.8
32.0,DeSean Jackson,0.12,12.0,41.0,774.0,18.9,593.0,14.5,181.0,4.4,35.0,0.9,1.0,74.0,1.0,4.0,6.0,29.0,1.0,0.0,151.3,12.6
33.0,Zay Jones,0.213,16.0,56.0,652.0,11.6,510.0,9.1,142.0,2.5,44.0,0.8,1.0,102.0,11.0,7.0,1.0,0.0,0.0,0.0,165.2,10.3
34.0,Golden Tate,0.201,15.0,74.0,795.0,10.7,368.0,5.0,427.0,5.8,178.0,2.4,15.0,113.0,4.0,4.0,4.0,34.0,0.0,0.0,182.9,12.2
35.0,Dede Westbrook,0.193,16.0,66.0,717.0,10.9,355.0,5.4,362.0,5.5,132.0,2.0,5.0,101.0,7.0,5.0,9.0,98.0,0.0,2.0,173.5,10.8
36.0,Robbie Chosen,0.18600000000000003,14.0,50.0,752.0,15.0,567.0,11.3,185.0,3.7,33.0,0.7,1.0,94.0,9.0,6.0,2.0,-8.0,0.0,2.0,156.4,11.2
37.0,A.J. Green,0.146,9.0,46.0,694.0,15.1,531.0,11.5,163.0,3.5,65.0,1.4,1.0,77.0,8.0,6.0,0.0,0.0,0.0,1.0,149.4,16.6
38.0,DJ Moore,0.151,16.0,55.0,788.0,14.3,367.0,6.7,421.0,7.7,218.0,4.0,9.0,82.0,2.0,2.0,13.0,172.0,0.0,3.0,157.0,9.8
39.0,John Brown,0.18,16.0,42.0,715.0,17.0,559.0,13.3,156.0,3.7,46.0,1.1,1.0,97.0,5.0,5.0,3.0,4.0,0.0,0.0,143.9,9.0
40.0,Nelson Agholor,0.16399999999999998,16.0,64.0,736.0,11.5,386.0,6.0,350.0,5.5,76.0,1.2,3.0,97.0,7.0,4.0,3.0,32.0,0.0,0.0,165.4,10.3
41.0,Allen Robinson II,0.187,13.0,55.0,754.0,13.7,538.0,9.8,216.0,3.9,139.0,2.5,5.0,94.0,4.0,4.0,1.0,9.0,0.0,1.0,153.3,11.8
42.0,Curtis Samuel,0.11900000000000001,13.0,39.0,494.0,12.7,383.0,9.8,111.0,2.8,36.0,0.9,4.0,65.0,8.0,5.0,8.0,84.0,2.0,1.0,136.8,10.5
43.0,Demaryius Thomas,0.158,15.0,59.0,677.0,11.5,400.0,6.8,277.0,4.7,97.0,1.6,2.0,89.0,6.0,5.0,0.0,0.0,0.0,0.0,156.7,10.4
44.0,Josh Gordon,0.127,12.0,41.0,737.0,18.0,473.0,11.5,264.0,6.4,191.0,4.7,6.0,71.0,3.0,4.0,0.0,0.0,0.0,0.0,138.7,11.6
45.0,Kenny Stills,0.147,15.0,37.0,553.0,14.9,422.0,11.4,131.0,3.5,60.0,1.6,1.0,64.0,3.0,6.0,0.0,0.0,0.0,0.0,134.4,9.0
46.0,Tyrell Williams,0.128,16.0,41.0,653.0,15.9,458.0,11.2,195.0,4.8,53.0,1.3,0.0,65.0,3.0,5.0,2.0,15.0,0.0,0.0,137.8,8.6
47.0,Cooper Kupp,0.10099999999999999,8.0,40.0,566.0,14.2,263.0,6.6,303.0,7.6,68.0,1.7,2.0,55.0,5.0,6.0,4.0,25.0,0.0,0.0,135.1,16.9
48.0,Courtland Sutton,0.149,16.0,42.0,704.0,16.8,541.0,12.9,163.0,3.9,82.0,2.0,5.0,84.0,5.0,4.0,1.0,-1.0,0.0,0.0,136.3,8.5
49.0,Jordy Nelson,0.166,15.0,63.0,739.0,11.7,498.0,7.9,241.0,3.8,61.0,1.0,2.0,88.0,3.0,3.0,1.0,-2.0,0.0,0.0,156.7,10.4
50.0,Doug Baldwin,0.183,13.0,50.0,618.0,12.4,462.0,9.2,156.0,3.1,77.0,1.5,4.0,73.0,6.0,5.0,0.0,0.0,0.0,0.0,141.8,10.9
51.0,Antonio Callaway,0.11699999999999999,16.0,43.0,586.0,13.6,350.0,8.1,236.0,5.5,85.0,2.0,3.0,79.0,5.0,5.0,2.0,7.0,0.0,1.0,132.3,8.3
52.0,Anthony Miller,0.107,15.0,33.0,423.0,12.8,253.0,7.7,170.0,5.2,48.0,1.5,1.0,54.0,6.0,7.0,6.0,26.0,0.0,0.0,120.2,8.0
53.0,Cole Beasley,0.168,16.0,65.0,672.0,10.3,459.0,7.1,213.0,3.3,46.0,0.7,2.0,87.0,4.0,3.0,0.0,0.0,0.0,0.0,150.2,9.4
54.0,Taylor Gabriel,0.185,16.0,67.0,688.0,10.3,462.0,6.9,226.0,3.4,51.0,0.8,2.0,93.0,4.0,2.0,9.0,61.0,0.0,1.0,151.9,9.5
55.0,Donte Moncrief,0.17,16.0,48.0,668.0,13.9,416.0,8.7,252.0,5.3,72.0,1.5,3.0,89.0,4.0,3.0,0.0,0.0,0.0,1.0,130.8,8.2
56.0,Marvin Jones Jr.,0.111,9.0,35.0,508.0,14.5,407.0,11.6,101.0,2.9,42.0,1.2,2.0,62.0,4.0,5.0,0.0,0.0,0.0,0.0,115.8,12.9
57.0,Christian Kirk,0.139,12.0,43.0,590.0,13.7,365.0,8.5,225.0,5.2,88.0,2.0,1.0,68.0,2.0,3.0,3.0,35.0,0.0,0.0,123.5,10.3
58.0,Rashard Higgins,0.095,13.0,39.0,572.0,14.7,426.0,10.9,146.0,3.7,57.0,1.5,1.0,53.0,3.0,4.0,0.0,0.0,0.0,1.0,118.2,9.1
59.0,Devin Funchess,0.145,14.0,44.0,549.0,12.5,473.0,10.8,76.0,1.7,14.0,0.3,2.0,79.0,9.0,4.0,0.0,0.0,0.0,0.0,122.9,8.8
60.0,Michael Crabtree,0.18600000000000003,16.0,54.0,607.0,11.2,478.0,8.9,129.0,2.4,47.0,0.9,1.0,100.0,5.0,3.0,0.0,0.0,0.0,0.0,132.7,8.3
61.0,Dante Pettis,0.087,12.0,27.0,467.0,17.3,262.0,9.7,205.0,7.6,80.0,3.0,4.0,45.0,4.0,5.0,1.0,-2.0,0.0,0.0,103.5,8.6
62.0,Sammy Watkins,0.098,10.0,40.0,519.0,13.0,281.0,7.0,238.0,6.0,83.0,2.1,2.0,55.0,6.0,3.0,5.0,52.0,0.0,0.0,115.1,11.5
63.0,David Moore,0.133,16.0,26.0,445.0,17.1,352.0,13.5,93.0,3.6,33.0,1.3,0.0,53.0,6.0,5.0,1.0,5.0,0.0,0.0,101.0,6.3
64.0,William Fuller V,0.091,7.0,32.0,503.0,15.7,337.0,10.5,166.0,5.2,26.0,0.8,2.0,45.0,2.0,4.0,0.0,0.0,0.0,0.0,106.3,15.2
65.0,Marquez Valdes-Scantling,0.145,16.0,38.0,581.0,15.3,372.0,9.8,209.0,5.5,42.0,1.1,0.0,73.0,5.0,2.0,2.0,29.0,0.0,0.0,111.0,6.9
66.0,Tre'Quan Smith,0.086,15.0,28.0,427.0,15.3,311.0,11.1,116.0,4.1,18.0,0.6,2.0,44.0,9.0,5.0,0.0,0.0,0.0,0.0,100.7,6.7
67.0,Kendrick Bourne,0.13,16.0,42.0,487.0,11.6,340.0,8.1,147.0,3.5,47.0,1.1,4.0,67.0,9.0,4.0,0.0,0.0,0.0,0.0,114.7,7.2
68.0,Willie Snead IV,0.17600000000000002,16.0,62.0,651.0,10.5,369.0,6.0,282.0,4.5,95.0,1.5,9.0,95.0,3.0,1.0,1.0,13.0,0.0,0.0,134.4,8.4
