RANK,NAME,TGT_SHARE,G,REC,REC_YDS,Y/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,RZ_TGT,REC_TD,RUS_ATT,RUS_YDS,RUS_TD,FL,FPTS,FPTS/G
1.0,Justin Jefferson,0.287,17.0,128.0,1809.0,14.1,1185.0,9.3,624.0,4.9,132.0,1.0,6.0,184.0,28.0,8.0,4.0,24.0,1.0,0.0,368.6,21.7
2.0,Davante Adams,0.32299999999999995,17.0,100.0,1516.0,15.2,1023.0,10.2,493.0,4.9,96.0,1.0,9.0,180.0,22.0,14.0,3.0,-1.0,0.0,0.0,335.5,19.7
3.0,Tyreek Hill,0.302,17.0,119.0,1710.0,14.4,1226.0,10.3,484.0,4.1,58.0,0.5,5.0,170.0,9.0,7.0,7.0,32.0,1.0,0.0,341.2,20.1
4.0,A.J. Brown,0.287,17.0,88.0,1496.0,17.0,953.0,10.8,543.0,6.2,192.0,2.2,7.0,145.0,16.0,11.0,0.0,0.0,0.0,2.0,299.6,17.6
5.0,Stefon Diggs,0.281,17.0,110.0,1455.0,13.2,1023.0,9.3,432.0,3.9,100.0,0.9,2.0,156.0,23.0,11.0,1.0,-3.0,0.0,0.0,321.2,18.9
6.0,CeeDee Lamb,0.28600000000000003,17.0,107.0,1359.0,12.6,869.0,8.0,496.0,4.6,148.0,1.4,10.0,156.0,12.0,9.0,10.0,47.0,0.0,0.0,301.6,17.7
7.0,Jaylen Waddle,0.20800000000000002,17.0,75.0,1356.0,18.1,842.0,11.2,514.0,6.9,149.0,2.0,4.0,117.0,8.0,8.0,3.0,26.0,0.0,1.0,259.2,15.2
8.0,Amari Cooper,0.26,17.0,78.0,1160.0,14.9,835.0,10.7,325.0,4.2,93.0,1.2,4.0,132.0,16.0,9.0,0.0,0.0,0.0,0.0,247.0,14.5
9.0,Amon-Ra St. Brown,0.259,16.0,106.0,1161.0,10.9,632.0,6.0,521.0,4.9,90.0,0.8,7.0,146.0,21.0,6.0,9.0,95.0,0.0,0.0,267.6,16.7
10.0,DeVonta Smith,0.26899999999999996,17.0,95.0,1196.0,12.6,706.0,7.4,490.0,5.2,98.0,1.0,5.0,136.0,12.0,7.0,0.0,0.0,0.0,1.0,254.6,15.0
11.0,Christian Kirk,0.23199999999999998,17.0,84.0,1108.0,13.2,737.0,8.8,371.0,4.4,65.0,0.8,5.0,133.0,22.0,8.0,5.0,11.0,0.0,1.0,241.9,14.2
12.0,Ja'Marr Chase,0.22399999999999998,13.0,87.0,1046.0,12.0,609.0,7.0,437.0,5.0,141.0,1.6,10.0,134.0,24.0,9.0,5.0,8.0,0.0,2.0,242.4,18.6
13.0,Tyler Lockett,0.212,16.0,84.0,1033.0,12.3,759.0,9.0,274.0,3.3,23.0,0.3,1.0,117.0,8.0,9.0,0.0,0.0,0.0,2.0,237.3,14.8
14.0,Terry McLaurin,0.226,17.0,77.0,1191.0,15.5,797.0,10.4,394.0,5.1,143.0,1.9,7.0,120.0,11.0,5.0,7.0,29.0,0.0,0.0,229.0,13.5
15.0,Brandon Aiyuk,0.226,17.0,78.0,1015.0,13.0,628.0,8.1,387.0,5.0,106.0,1.4,4.0,114.0,15.0,8.0,2.0,23.0,0.0,1.0,227.8,13.4
16.0,Mike Evans,0.175,15.0,77.0,1124.0,14.6,908.0,11.8,216.0,2.8,61.0,0.8,2.0,127.0,14.0,6.0,0.0,0.0,0.0,0.0,225.4,15.0
