RANK,NAME,TGT_SHARE,G,REC,REC_YDS,Y/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,RZ_TGT,REC_TD,RUS_ATT,RUS_YDS,RUS_TD,FL,FPTS,FPTS/G
1.0,Cooper Kupp,0.317,17.0,145.0,1947.0,13.4,1101.0,7.6,846.0,5.8,257.0,1.8,10.0,191.0,37.0,16.0,4.0,18.0,0.0,0.0,439.5,25.9
2.0,Deebo Samuel,0.242,16.0,77.0,1405.0,18.9,621.0,8.0,855.0,11.0,295.0,3.8,13.0,121.0,9.0,6.0,59.0,365.0,8.0,2.0,339.0,21.2
3.0,Ja'Marr Chase,0.237,17.0,81.0,1455.0,18.0,804.0,9.9,651.0,8.0,251.0,3.1,8.0,128.0,12.0,13.0,7.0,21.0,0.0,1.0,304.6,17.9
4.0,Justin Jefferson,0.289,17.0,108.0,1616.0,14.9,1141.0,10.5,482.0,4.4,149.0,1.4,5.0,167.0,20.0,10.0,6.0,14.0,0.0,1.0,330.4,19.4
5.0,Davante Adams,0.29600000000000004,16.0,123.0,1553.0,12.6,961.0,7.8,592.0,4.8,146.0,1.2,5.0,169.0,27.0,11.0,0.0,0.0,0.0,0.0,344.3,21.5
6.0,Mike Evans,0.159,16.0,74.0,1035.0,14.0,776.0,10.5,259.0,3.5,63.0,0.9,2.0,114.0,18.0,14.0,1.0,10.0,0.0,0.0,262.5,16.4
7.0,Tyreek Hill,0.25,17.0,111.0,1239.0,11.2,795.0,7.2,444.0,4.0,114.0,1.0,10.0,159.0,23.0,9.0,9.0,96.0,0.0,1.0,296.5,17.4
8.0,Stefon Diggs,0.262,17.0,103.0,1225.0,11.9,899.0,8.7,326.0,3.2,152.0,1.5,7.0,164.0,34.0,10.0,0.0,0.0,0.0,0.0,285.5,16.8
9.0,Mike Williams,0.195,16.0,76.0,1146.0,15.1,731.0,9.6,415.0,5.5,136.0,1.8,2.0,129.0,19.0,9.0,0.0,0.0,0.0,0.0,246.6,15.4
10.0,DK Metcalf,0.271,17.0,75.0,967.0,12.9,639.0,8.5,328.0,4.4,159.0,2.1,8.0,129.0,19.0,12.0,1.0,6.0,0.0,0.0,244.3,14.4
11.0,Tyler Lockett,0.225,16.0,73.0,1175.0,16.1,898.0,12.3,277.0,3.8,65.0,0.9,2.0,107.0,7.0,8.0,2.0,9.0,0.0,0.0,241.4,15.1
12.0,Diontae Johnson,0.259,16.0,107.0,1161.0,10.9,634.0,5.9,527.0,4.9,98.0,0.9,8.0,169.0,21.0,8.0,5.0,53.0,0.0,2.0,274.4,17.2
13.0,Hunter Renfrow,0.212,17.0,103.0,1038.0,10.1,586.0,5.7,452.0,4.4,115.0,1.1,2.0,128.0,23.0,9.0,3.0,3.0,0.0,1.0,259.1,15.2
14.0,CeeDee Lamb,0.188,16.0,79.0,1102.0,13.9,661.0,8.4,441.0,5.6,198.0,2.5,12.0,120.0,10.0,6.0,9.0,76.0,0.0,0.0,232.8,14.6
15.0,Keenan Allen,0.23800000000000002,16.0,106.0,1138.0,10.7,801.0,7.6,337.0,3.2,83.0,0.8,1.0,157.0,23.0,6.0,0.0,0.0,0.0,0.0,257.8,16.1
16.0,Michael Pittman Jr.,0.255,17.0,88.0,1082.0,12.3,734.0,8.3,348.0,4.0,100.0,1.1,2.0,129.0,16.0,6.0,5.0,44.0,0.0,0.0,238.6,14.0
17.0,Tee Higgins,0.204,14.0,74.0,1091.0,14.7,801.0,10.8,290.0,3.9,92.0,1.2,4.0,110.0,11.0,6.0,0.0,0.0,0.0,1.0,219.1,15.7
18.0,DJ Moore,0.281,17.0,93.0,1157.0,12.4,731.0,7.9,426.0,4.6,127.0,1.4,4.0,163.0,13.0,4.0,8.0,48.0,0.0,1.0,237.5,14.0
19.0,Chris Godwin,0.177,14.0,98.0,1103.0,11.3,517.0,5.3,586.0,6.0,190.0,1.9,5.0,127.0,25.0,5.0,4.0,21.0,1.0,2.0,242.4,17.3
20.0,Brandin Cooks,0.256,16.0,90.0,1037.0,11.4,671.0,7.5,357.0,4.0,68.0,0.8,5.0,134.0,10.0,6.0,2.0,21.0,0.0,0.0,231.8,14.5
21.0,Jaylen Waddle,0.23399999999999999,16.0,104.0,1015.0,9.8,576.0,5.5,439.0,4.2,103.0,1.0,4.0,140.0,15.0,6.0,2.0,3.0,1.0,1.0,245.8,15.4
22.0,Darnell Mooney,0.267,17.0,81.0,1055.0,13.0,674.0,8.3,381.0,4.7,123.0,1.5,5.0,140.0,10.0,4.0,6.0,32.0,1.0,0.0,219.7,12.9
23.0,Amon-Ra St. Brown,0.21,16.0,90.0,912.0,10.1,488.0,5.4,424.0,4.7,97.0,1.1,2.0,119.0,14.0,5.0,7.0,61.0,1.0,0.0,227.3,14.2
24.0,Terry McLaurin,0.243,17.0,77.0,1053.0,13.7,736.0,9.6,317.0,4.1,121.0,1.6,4.0,130.0,9.0,5.0,1.0,12.0,0.0,0.0,213.5,12.6
25.0,Marquise Brown,0.247,16.0,91.0,1008.0,11.1,620.0,6.8,388.0,4.3,88.0,1.0,4.0,146.0,16.0,6.0,1.0,5.0,0.0,1.0,226.3,14.1
26.0,Amari Cooper,0.163,15.0,68.0,865.0,12.7,630.0,9.3,235.0,3.5,81.0,1.2,4.0,104.0,17.0,8.0,0.0,0.0,0.0,0.0,202.5,13.5
27.0,Adam Thielen,0.16399999999999998,13.0,67.0,726.0,10.8,487.0,7.3,239.0,3.6,60.0,0.9,1.0,95.0,13.0,10.0,1.0,2.0,0.0,0.0,199.8,15.4
28.0,Christian Kirk,0.18100000000000002,17.0,77.0,982.0,12.9,769.0,10.0,228.0,3.0,63.0,0.8,1.0,103.0,10.0,5.0,1.0,11.0,0.0,0.0,207.6,12.2
29.0,Kendrick Bourne,0.134,17.0,55.0,800.0,14.5,415.0,7.5,385.0,7.0,91.0,1.7,5.0,70.0,7.0,5.0,12.0,125.0,0.0,1.0,180.5,10.6
30.0,DeVonta Smith,0.222,17.0,64.0,916.0,14.3,696.0,10.9,220.0,3.4,62.0,1.0,2.0,104.0,8.0,5.0,0.0,0.0,0.0,1.0,185.6,10.9
31.0,Van Jefferson,0.14800000000000002,17.0,50.0,802.0,16.0,586.0,11.7,216.0,4.3,78.0,1.6,2.0,89.0,15.0,6.0,2.0,20.0,0.0,0.0,168.2,9.9
32.0,A.J. Brown,0.201,13.0,63.0,869.0,13.8,621.0,9.9,248.0,3.9,99.0,1.6,2.0,105.0,11.0,5.0,2.0,10.0,0.0,0.0,180.9,13.9
33.0,Tyler Boyd,0.174,16.0,67.0,828.0,12.4,439.0,6.6,389.0,5.8,60.0,0.9,2.0,94.0,7.0,5.0,2.0,22.0,0.0,0.0,183.8,11.5
