"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"143","Jake Kumerow (FA)","5","8","103","12.9","80","10.0","80","10.0","23","2.9","1","0.1","0","11","1.8%","8","0","0","3","1","1","1","0","49"
"144","Andre Holmes (FA)","15","13","162","12.5","112","8.6","112","8.6","50","3.8","29","2.2","1","24","5.0%","15","2","0","7","5","0","0","0","24"
"145","Deonte Thompson (FA)","13","17","161","9.5","123","7.2","123","7.2","38","2.2","11","0.6","1","30","5.8%","19","2","0","10","0","0","0","0","15"
"146","Marcus Johnson (FA)","5","6","102","17.0","74","12.3","74","12.3","28","4.7","8","1.3","0","8","1.3%","7","1","0","4","1","1","0","0","34"
"147","DJ Chark Jr. (CAR)","11","14","174","12.4","129","9.2","129","9.2","45","3.2","14","1.0","0","32","6.1%","16","2","2","7","2","2","0","0","38"
"148","Cameron Meredith (FA)","6","9","114","12.7","76","8.4","76","8.4","38","4.2","5","0.6","0","10","2.0%","9","0","1","5","2","1","1","0","46"
"149","Vyncint Smith (IND)","7","5","91","18.2","85","17.0","85","17.0","6","1.2","0","0.0","0","10","2.0%","6","1","1","4","2","1","0","0","35"
"150","Damion Ratley (FA)","13","13","144","11.1","93","7.2","93","7.2","51","3.9","14","1.1","0","20","3.6%","15","2","1","4","3","0","0","0","27"
"151","Deontay Burnett (FA)","5","10","143","14.3","118","11.8","118","11.8","25","2.5","6","0.6","1","15","3.0%","11","1","1","7","3","0","0","0","29"
"152","Andy Jones (FA)","8","11","80","7.3","54","4.9","54","4.9","26","2.4","11","1.0","2","24","4.3%","13","1","1","2","0","0","0","0","15"
"153","Andre Roberts (FA)","16","10","79","7.9","62","6.2","62","6.2","17","1.7","7","0.7","1","18","3.2%","12","2","3","5","1","0","0","0","20"
"154","Trey Quinn (DET)","3","9","75","8.3","58","6.4","58","6.4","17","1.9","1","0.1","0","10","2.1%","9","0","1","5","0","0","0","0","15"
"155","Brandon Powell (MIN)","6","11","129","11.7","14","1.3","14","1.3","115","10.5","27","2.5","1","17","4.3%","11","0","0","5","1","1","1","0","41"
"156","Brice Butler (FA)","8","6","60","10.0","59","9.8","59","9.8","1","0.2","-1","-0.2","0","10","1.9%","6","0","0","3","1","0","0","0","23"
