"30","Hunter Renfrow","WR","LV","13","10.7","18.7","16.5","11.6","6.6","12.8","BYE","17.9","17.6","7.5","21.6","19.2","28.7","6.2","13","20.6","16.9","15.2","259.1"
"31","Keenan Allen","WR","LAC","19","14.8","19","10.6","13.5","10","BYE","19.7","22.4","17.8","20.2","15.5","22.4","-","19.8","7.5","14.4","11.2","16.1","257.8"
"32","James Conner","RB","ARI","5.3","2.6","18.3","20.6","10.7","8.1","12.4","14.2","40.3","15.4","20.9","BYE","19.1","33.5","9","-","-","27.3","17.2","257.7"
"33","Leonard Fournette","RB","FA","10.9","11.6","6.4","16.9","21","30.7","17","7.3","-","17.2","13.4","44.1","22.2","23.2","13.7","-","-","-","18.3","255.6"
"34","Lamar Jackson","QB","BAL","18","34.3","20.3","19.4","41.9","13.8","23.1","BYE","32.6","16.4","-","13.4","18.6","1.2","-","-","-","-","21.1","253"
"35","Ezekiel Elliott","RB","FA","5.9","17.7","26.6","20.3","25.2","18.9","-","11.3","12.6","20.8","12.8","16.9","6.7","9","16.2","17.2","4","10","14.8","252.1"
"36","Russell Wilson","QB","DEN","27.1","23.3","16.6","22.6","10.1","-","-","-","-","7.6","8.5","19.5","17.7","21.2","5.2","16.5","27.8","25","17.8","248.8"
"37","Mike Williams","WR","LAC","22.2","22.1","33.2","2.1","36.5","4.7","BYE","3.9","7.8","7.3","20.7","7.9","16","12.1","7.9","-","15.3","26.9","15.4","246.6"
"38","Jaylen Waddle","WR","MIA","16.1","8.8","17.8","6.3","5.3","29","15.3","6.9","16.3","10.1","20.6","28.7","18","BYE","-","25.2","7.7","13.7","15.4","245.8"
"39","DK Metcalf","WR","SEA","16","11.3","22.7","16.5","26.8","11.8","17.6","22.3","BYE","5.6","7.1","2.3","11","8.3","11.2","12.1","30.9","10.8","14.4","244.3"
"40","Chris Godwin","WR","TB","23.5","16.2","19.6","8.5","14","9.3","25.1","28","BYE","12.7","19.2","4.7","30.2","20.5","10.9","-","-","-","17.3","242.4"
"41","Tyler Lockett","WR","SEA","26","31.8","7.1","6.4","10.7","5.5","3.2","26.2","BYE","4.3","15.5","12.6","19.8","27.2","-","6","12.1","27","15.1","241.4"
"42","Jimmy Garoppolo","QB","LV","14.8","19.6","15.7","9.6","-","-","7.2","27.3","20.3","15.4","15.6","12.2","18","20.1","13.8","15.2","-","14.7","16","239.5"
"43","Michael Pittman Jr.","WR","IND","5.9","20.3","13.3","11.9","20.9","5.8","20.5","30.6","17.4","12.1","4.3","9.3","17","BYE","1.7","16.5","10.7","20.4","14","238.6"
"44","Mac Jones","QB","NE","15.2","7.4","14.6","17.9","12.5","15.8","22.2","11.7","7","19.9","11.4","21.5","0.5","BYE","19.2","7.1","22.3","11.8","14","237.9"
"45","Taylor Heinicke","QB","ATL","10.6","21","23.4","27.9","11.9","10.3","21.2","13.8","-","15.7","23.1","12.2","15.8","8.7","-","6.7","10.3","5.1","14.9","237.9"
