Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
1,Justin Jefferson,MIN,13,24,WR,WR1,1
2,Christian McCaffrey,SF,9,27,RB,RB1,2
3,Ja'Marr Chase,CIN,7,23,WR,WR2,3
4,Austin Ekeler,LAC,5,28,RB,RB2,4
5,Travis Kelce,KC,10,33,TE,TE1,5
6,Cooper Kupp,LAR,10,30,WR,WR3,6
7,Tyreek Hill,MIA,10,29,WR,WR4,7
8,Saquon Barkley,NYG,13,26,RB,RB3,8
9,Bijan Robinson,ATL,11,21,RB,RB4,9
10,Stefon Diggs,BUF,13,29,WR,WR5,10
11,CeeDee Lamb,DAL,7,24,WR,WR6,11
12,A.J. Brown,PHI,10,26,WR,WR7,12
13,Davante Adams,LV,13,30,WR,WR8,13
14,Nick Chubb,CLE,5,27,RB,RB5,14
15,Jonathan Taylor,IND,11,24,RB,RB6,15
16,Amon-Ra St. Brown,DET,9,23,WR,WR9,16
17,Derrick Henry,TEN,7,29,RB,RB7,17
18,Garrett Wilson,NYJ,7,23,WR,WR10,18
19,Patrick Mahomes II,KC,10,27,QB,QB1,19
20,Tony Pollard,DAL,7,26,RB,RB8,20
21,Josh Jacobs,LV,13,25,RB,RB9,21
22,Josh Allen,BUF,13,27,QB,QB2,22
23,Jaylen Waddle,MIA,10,24,WR,WR11,23
24,Rhamondre Stevenson,NE,11,25,RB,RB10,24
25,DeVonta Smith,PHI,10,24,WR,WR12,25
26,Jalen Hurts,PHI,10,25,QB,QB3,26
27,Chris Olave,NO,11,23,WR,WR13,27
28,Najee Harris,PIT,6,25,RB,RB11,28
29,Mark Andrews,BAL,13,27,TE,TE2,29
30,Tee Higgins,CIN,7,24,WR,WR14,30
31,Breece Hall,NYJ,7,22,RB,RB12,31
32,Travis Etienne Jr.,JAX,9,24,RB,RB13,32
33,DK Metcalf,SEA,5,25,WR,WR15,33
34,Joe Mixon,CIN,7,27,RB,RB14,34
35,Deebo Samuel,SF,9,27,WR,WR16,35
36,Jahmyr Gibbs,DET,9,21,RB,RB15,36
37,Lamar Jackson,BAL,13,26,QB,QB4,37
38,Amari Cooper,CLE,5,29,WR,WR17,38
39,Aaron Jones,GB,6,28,RB,RB16,39
40,Kenneth Walker III,SEA,5,22,RB,RB17,40
41,Calvin Ridley,JAX,9,28,WR,WR18,41
42,Keenan Allen,LAC,5,31,WR,WR19,42
43,Joe Burrow,CIN,7,26,QB,QB5,43
44,T.J. Hockenson,MIN,13,26,TE,TE3,44
45,DeAndre Hopkins,TEN,7,31,WR,WR20,45
46,Terry McLaurin,WAS,14,27,WR,WR21,46
47,Justin Herbert,LAC,5,25,QB,QB6,47
48,Dameon Pierce,HOU,7,23,RB,RB18,48
49,Justin Fields,CHI,13,24,QB,QB7,49
50,Miles Sanders,CAR,7,26,RB,RB19,50
51,DJ Moore,CHI,13,26,WR,WR22,51
52,Jerry Jeudy,DEN,9,24,WR,WR23,52
53,George Kittle,SF,9,29,TE,TE4,53
54,Christian Watson,GB,6,24,WR,WR24,54
55,J.K. Dobbins,BAL,13,24,RB,RB20,55
56,Cam Akers,LAR,10,24,RB,RB21,56
57,Chris Godwin,TB,5,27,WR,WR25,57
58,Drake London,ATL,11,22,WR,WR26,58
59,Alexander Mattison,MIN,13,25,RB,RB22,59
60,Trevor Lawrence,JAX,9,23,QB,QB8,60
61,Mike Williams,LAC,5,28,WR,WR27,61
62,Rachaad White,TB,5,24,RB,RB23,62
63,James Conner,ARI,14,28,RB,RB24,63
64,D'Andre Swift,PHI,10,24,RB,RB25,64
65,Dalvin Cook,MIN,13,28,RB,RB26,65
66,Christian Kirk,JAX,9,26,WR,WR28,66
67,Tyler Lockett,SEA,5,30,WR,WR29,67
68,Brandon Aiyuk,SF,9,25,WR,WR30,68
69,Dallas Goedert,PHI,10,28,TE,TE5,69
70,Darren Waller,NYG,13,30,TE,TE6,70
71,Michael Pittman Jr.,IND,11,25,WR,WR31,71
72,Kyle Pitts,ATL,11,22,TE,TE7,72
73,Alvin Kamara,NO,11,28,RB,RB27,73
74,Javonte Williams,DEN,9,23,RB,RB28,74
75,Diontae Johnson,PIT,6,27,WR,WR32,75
76,Isiah Pacheco,KC,10,24,RB,RB29,76
77,Mike Evans,TB,5,29,WR,WR33,77
78,Marquise Brown,ARI,14,26,WR,WR34,78
79,David Montgomery,DET,9,26,RB,RB30,79
80,James Cook,BUF,13,23,RB,RB31,80
81,Deshaun Watson,CLE,5,27,QB,QB9,81
82,George Pickens,PIT,6,22,WR,WR35,82
83,Dak Prescott,DAL,7,30,QB,QB10,83
84,Jaxon Smith-Njigba,SEA,5,21,WR,WR36,84
85,AJ Dillon,GB,6,25,RB,RB32,85
86,Jahan Dotson,WAS,14,23,WR,WR37,86
87,Jordan Addison,MIN,13,21,WR,WR38,87
88,Brandin Cooks,DAL,7,29,WR,WR39,88
89,Treylon Burks,TEN,7,23,WR,WR40,89
90,Evan Engram,JAX,9,28,TE,TE8,90
91,Tua Tagovailoa,MIA,10,25,QB,QB11,91
92,Pat Freiermuth,PIT,6,24,TE,TE9,92
93,Courtland Sutton,DEN,9,27,WR,WR41,93
94,Antonio Gibson,WAS,14,25,RB,RB33,94
95,Brian Robinson,WAS,14,24,RB,RB34,95
96,David Njoku,CLE,5,27,TE,TE10,96
97,Gabe Davis,BUF,13,24,WR,WR42,97
98,Michael Thomas,NO,11,30,WR,WR43,98
99,Jamaal Williams,NO,11,28,RB,RB35,99
100,Khalil Herbert,CHI,13,25,RB,RB36,100
101,JuJu Smith-Schuster,NE,11,26,WR,WR44,101
102,Kirk Cousins,MIN,13,34,QB,QB12,102
103,Kadarius Toney,KC,10,24,WR,WR45,103
104,Samaje Perine,DEN,9,27,RB,RB37,104
105,Daniel Jones,NYG,13,26,QB,QB13,105
106,Aaron Rodgers,NYJ,7,39,QB,QB14,106
107,Rashaad Penny,PHI,10,27,RB,RB38,107
108,San Francisco 49ers,SF,9,null,DST,DST1,108
109,Odell Beckham Jr.,BAL,13,30,WR,WR46,109
110,Zach Charbonnet,SEA,5,22,RB,RB39,110
111,Quentin Johnston,LAC,5,21,WR,WR47,111
112,Geno Smith,SEA,5,32,QB,QB15,112
113,Zay Flowers,BAL,13,22,WR,WR48,113
114,Dalton Schultz,HOU,7,27,TE,TE11,114
115,Damien Harris,BUF,13,26,RB,RB40,115
116,De'Von Achane,MIA,10,21,RB,RB41,116
117,Jerick McKinnon,KC,10,31,RB,RB42,117
118,Elijah Moore,CLE,5,23,WR,WR49,118
119,Anthony Richardson,IND,11,22,QB,QB16,119
120,Elijah Mitchell,SF,9,25,RB,RB43,120
121,Allen Lazard,NYJ,7,27,WR,WR50,121
122,Philadelphia Eagles,PHI,10,null,DST,DST2,122
123,Adam Thielen,CAR,7,32,WR,WR51,123
124,Jameson Williams,DET,9,22,WR,WR52,124
125,Russell Wilson,DEN,9,34,QB,QB17,125
126,Skyy Moore,KC,10,22,WR,WR53,126
127,Jared Goff,DET,9,28,QB,QB18,127
128,Dallas Cowboys,DAL,7,null,DST,DST3,128
129,Jakobi Meyers,LV,13,26,WR,WR54,129
130,Buffalo Bills,BUF,13,null,DST,DST4,130
131,Tyler Allgeier,ATL,11,23,RB,RB44,131
132,Justin Tucker,BAL,13,33,K,K1,132
133,Rashod Bateman,BAL,13,23,WR,WR55,133
134,Cole Kmet,CHI,13,24,TE,TE12,134
135,D'Onta Foreman,CHI,13,27,RB,RB45,135
136,Devin Singletary,HOU,7,25,RB,RB46,136
137,Tyler Higbee,LAR,10,30,TE,TE13,137
138,Raheem Mostert,MIA,10,31,RB,RB47,138
139,Dalton Kincaid,BUF,13,23,TE,TE14,139
140,Greg Dulcich,DEN,9,23,TE,TE15,140
141,Chigoziem Okonkwo,TEN,7,23,TE,TE16,141
142,Rondale Moore,ARI,14,23,WR,WR56,142
143,Darnell Mooney,CHI,13,25,WR,WR57,144
144,New England Patriots,NE,11,null,DST,DST5,145
145,Tyler Boyd,CIN,7,28,WR,WR58,146
146,Nico Collins,HOU,7,24,WR,WR59,147
147,Jeff Wilson Jr.,MIA,10,27,RB,RB48,148
148,Jaylen Warren,PIT,6,24,RB,RB49,149
149,Tank Bigsby,JAX,9,21,RB,RB50,150
150,Daniel Carlson,LV,13,28,K,K2,151
151,Romeo Doubs,GB,6,23,WR,WR60,152
152,Zay Jones,JAX,9,28,WR,WR61,153
153,Kendre Miller,NO,11,21,RB,RB51,154
154,Tyler Bass,BUF,13,26,K,K3,155
155,Dawson Knox,BUF,13,26,TE,TE17,156
156,New York Jets,NYJ,7,null,DST,DST6,157
157,Sam LaPorta,DET,9,22,TE,TE18,158
158,Baltimore Ravens,BAL,13,null,DST,DST7,159
159,Derek Carr,NO,11,32,QB,QB19,160
160,Gerald Everett,LAC,5,29,TE,TE19,161
161,Matthew Stafford,LAR,10,35,QB,QB20,162
162,Evan McPherson,CIN,7,24,K,K4,163
163,Cordarrelle Patterson,ATL,11,32,RB,RB52,164
164,Juwan Johnson,NO,11,26,TE,TE20,165
165,Michael Gallup,DAL,7,27,WR,WR62,166
166,Harrison Butker,KC,10,28,K,K5,167
167,Kenny Pickett,PIT,6,25,QB,QB21,168
168,Donovan Peoples-Jones,CLE,5,24,WR,WR63,169
169,Kenneth Gainwell,PHI,10,24,RB,RB53,170
170,Roschon Johnson,CHI,13,22,RB,RB54,172
171,K.J. Osborn,MIN,13,26,WR,WR64,173
172,Jalin Hyatt,NYG,13,21,WR,WR65,174
173,DJ Chark Jr.,CAR,7,26,WR,WR66,175
174,Bryce Young,CAR,7,22,QB,QB22,176
175,Kyler Murray,ARI,14,26,QB,QB23,177
176,Rashee Rice,KC,10,23,WR,WR67,178
177,Michael Mayer,LV,13,22,TE,TE21,179
178,Jonathan Mingo,CAR,7,22,WR,WR68,180
179,Mike Gesicki,NE,11,27,TE,TE22,181
180,New Orleans Saints,NO,11,null,DST,DST8,182
181,Irv Smith Jr.,CIN,7,25,TE,TE23,183
182,Miami Dolphins,MIA,10,null,DST,DST9,184
183,Tyjae Spears,TEN,7,22,RB,RB55,185
184,Chuba Hubbard,CAR,7,24,RB,RB56,186
185,Clyde Edwards-Helaire,KC,10,24,RB,RB57,187
186,Jacksonville Jaguars,JAX,9,null,DST,DST10,188
187,Kansas City Chiefs,KC,10,null,DST,DST11,189
188,Pittsburgh Steelers,PIT,6,null,DST,DST12,190
189,Younghoe Koo,ATL,11,29,K,K6,191
190,Jerome Ford,CLE,5,23,RB,RB58,192
191,Denver Broncos,DEN,9,null,DST,DST13,194
192,Gus Edwards,BAL,13,28,RB,RB59,195
193,Nick Folk,NE,11,38,K,K7,196
194,Brock Purdy,SF,9,23,QB,QB24,197
195,Michael Carter,NYJ,7,24,RB,RB60,198
196,Jordan Love,GB,6,24,QB,QB25,199
197,Jason Myers,SEA,5,32,K,K8,200
198,Zamir White,LV,13,23,RB,RB61,201
199,Hunter Renfrow,LV,13,27,WR,WR69,202
200,Alec Pierce,IND,11,23,WR,WR70,203
201,Tampa Bay Buccaneers,TB,5,null,DST,DST14,204
202,Taysom Hill,NO,11,32,TE,TE24,205
203,Curtis Samuel,WAS,14,26,WR,WR71,206
